date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,PHILLIP SECURITIES (HONG KONG) LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-04,0.0,0.0,0.0,0.0,76.20861349530307,0.0,23.791386504696934,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,41.49971525206971,45.306702304959565,13.193582442970722,0.0,0.0
2024-03-06,0.0,0.0,0.0,0.0,41.698102023128705,45.04524444525181,13.256653531619483,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,41.617962419257296,45.48007369227346,12.901963888469245,0.0,0.0
2024-03-11,83.93246613350932,0.0,0.0,0.0,6.687044757414314,7.307441680382068,2.073047428694293,0.0,0.0
2024-03-13,83.97124215294541,0.0,0.0,0.0,6.687044757414314,7.307441680382068,2.0342714092582015,0.0,0.0
2024-03-14,84.10168729939859,0.0,0.0,0.0,6.697432748711753,7.318793427429698,1.8820865244599478,0.0,0.0
2024-03-15,79.9226654271995,0.0,0.0,0.0,6.362400063715344,6.955121796176297,1.899284877932192,4.8605278349766685,0.0
2024-03-18,80.07634288946326,0.0,0.0,0.0,6.374633858602843,6.968495292438698,1.7180496587832483,4.862478300711956,0.0
2024-03-22,59.196936355984576,0.0,25.801017695642432,0.0,4.712487873494921,5.151503645626051,1.5434369915283879,3.594617437723636,0.0
2024-03-26,59.28120232607357,0.0,25.837745065659217,0.0,4.7137210872679445,5.158836735458694,1.4087604626513448,3.5997343228892307,0.0
2024-03-27,59.26497870542457,0.0,25.830673991559454,0.0,4.712431072562366,5.157424904947466,1.4357421500464544,3.5987491754596883,0.0
2024-03-28,59.17105653996877,0.0,25.789737963411557,0.0,4.699498118165126,5.149251502613923,1.597409939003046,3.593045936837576,0.0
2024-04-02,59.28444811614262,0.0,25.839159745069384,0.0,4.708503931649034,5.159119194322326,1.4088375957144395,3.599931417102202,0.0
2024-04-03,59.15812511574246,0.0,25.78410179495705,0.0,4.698471075428856,5.142662592696066,1.6243787196200892,3.592260701555483,0.0
2024-04-05,59.29036285949346,0.0,25.84173768925458,0.0,4.708973693841431,5.094899129521944,1.4637360496389087,3.6002905782496764,0.0
2024-04-08,59.14462427678412,0.0,25.77821744677431,0.0,4.697398808496534,5.082375620769886,1.705942957490538,3.591440889684617,0.0
2024-04-09,59.27413422517559,0.0,25.83466442994445,0.0,4.707684779279196,5.09350458155712,1.4907068576686862,3.5993051263749605,0.0
2024-04-10,59.176948677930696,0.0,25.792306055025392,0.0,4.699966084986799,5.08515329922084,1.6522221575189633,3.593403725317305,0.0
2024-04-11,59.16401467848581,0.0,25.786668764160442,0.0,4.693474717090373,5.084041863578776,1.679181643024464,3.592618333660133,0.0
2024-04-12,59.30984895465551,0.0,25.850230714688728,0.0,4.705043734030944,5.096573595396174,1.4368291682064398,3.601473833022211,0.0
2024-04-15,59.147855127713115,0.0,25.779625614951957,0.0,4.692192781721325,5.082653252054159,1.7060361468117384,3.591637076747714,0.0
2024-04-18,59.35862027547355,0.0,25.871487722042946,0.0,4.708912757497702,5.1007645793604715,1.3557792901472827,3.604435375478042,0.0
2024-04-19,59.217403899811025,0.0,25.809938486023825,0.0,4.689506500965711,5.08862966982817,1.5986611543368223,3.595860289034445,0.0
2024-04-22,59.20263942788521,0.0,25.803503382708104,0.0,4.688337282416438,5.0849551566215085,1.6256010048298,3.5949637455389474,0.0
2024-04-23,59.33240385305349,0.0,25.86006127972322,0.0,4.698613503178333,5.096100711773813,1.4099772174404928,3.602843434830655,0.0
2024-04-30,59.511761576098706,0.0,25.938234443251666,0.0,4.712817084437012,5.1115058691703785,1.414239480332994,3.3114415467092337,0.0
2024-05-02,59.528120608931644,0.0,25.945364536827253,0.0,4.714112578426404,5.112910957679354,1.3871394979011387,3.3123518202342024,0.0
2024-05-03,59.495411532107624,0.0,25.931108267467813,0.0,4.711522302286194,5.110101552719171,1.441324572064484,3.310531773354712,0.0
2024-05-06,59.39749961963637,0.0,25.888433305860115,0.0,4.758625367619701,5.101691831648849,1.4115241554014255,3.4422257198335435,0.0
2024-05-07,59.36493389139306,0.0,25.874239515059443,0.0,4.756016367215206,5.09889473899622,1.4107502623529298,3.4951652249831424,0.0
2024-05-08,59.316152199268046,0.0,25.85297798736531,0.0,4.752108226315201,5.0947048461246025,1.409591012599712,3.574465728327128,0.0
