date,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,UOB KAY HIAN (HONG KONG) LTD,CHINA GALAXY INTERNATIONAL SECURITIES,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,58.743729086993326,41.256270913006674,0.0
2024-03-08,0.0,86.7537507668952,0.0,0.0,0.0,7.750452670604078,5.495796562500723,0.0
2024-03-11,0.0,86.7531935416768,0.0,0.0,0.0,7.750778706118446,5.496027752204765,0.0
2024-03-12,0.0,86.74972292719345,0.0,0.0,0.0,7.754040570571133,5.496236502235416,0.0
2024-03-13,0.0,86.74888643054035,0.0,0.0,0.0,7.75453008705065,5.496583482409001,0.0
2024-03-14,47.70670768774083,45.35880832766563,0.0,0.0,0.0,4.0574043996797675,2.877079584913767,0.0
2024-03-18,47.71196105872366,45.35279134463093,0.0,0.0,0.0,4.057851193256017,2.8773964033893904,0.0
2024-03-19,42.491924641560196,40.43695836354309,10.792642879439853,0.0,0.0,3.626641832636854,2.6518322828200054,0.0
2024-03-20,40.75913769788422,38.787971312818065,10.352527473347855,0.0,4.082624145456358,3.4740467023238195,2.5436926681696805,0.0
2024-03-21,40.767958399761014,38.79636543376076,10.354767868107691,0.0,4.083507667839216,3.453157480777394,2.544243149753919,0.0
2024-03-22,39.09462193571933,37.2039537580027,9.92975245574666,4.12799795411549,3.915898531890205,3.2933754169445986,2.4343999475810127,0.0
2024-03-25,39.168485701025304,37.02564553979676,9.953033317214933,4.135797223093399,3.9232970689728024,3.2995977845444604,2.4941433653523317,0.0
2024-03-26,38.65653436623317,36.35166705452419,9.824726653456418,4.081740323244016,3.8720176504479724,3.3010796056836855,2.481171728162807,1.4310626182477384
2024-03-27,38.6634333430599,36.2885519384435,9.830941772998775,4.082468785646673,3.872708683942854,3.3061304591958303,2.5244469987502285,1.4313180179622433
2024-03-28,38.65032739181395,35.865020379069314,9.83028544723481,4.509264331739742,3.8713959311215733,3.3273107729751215,2.515562909624014,1.430832836421473
2024-04-02,38.6965827392344,35.77754860368894,9.843836201805797,4.514660860109627,3.876029081107104,3.331292781050229,2.5275045263538765,1.4325452066500182
2024-04-03,38.70003907062267,35.737871198258084,9.844715441202064,4.515064104089679,3.8763752832786276,3.357492772952147,2.5357689697629358,1.4326731598337972
2024-04-08,38.71317876277679,35.473022940552504,9.848057983828603,4.7042302018560695,3.8776914157456557,3.3586327310117694,2.590239391734618,1.4349465724939883
2024-04-09,38.71317876277679,35.473022940552504,9.848057983828603,4.7042302018560695,3.8776914157456557,3.3586327310117694,2.5884524097016244,1.4367335545269821
2024-04-10,38.71975195537808,35.22971966017559,9.849730106447959,4.9284396241208945,3.8783498171825483,3.35920300037542,2.59782833575987,1.436977500559637
2024-04-11,38.69554596020291,35.207695489537834,9.843572460611071,4.970012769306896,3.875925232513965,3.357102964928054,2.6140659615254225,1.4360791613738524
