date,RIFA SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD,CMB WING LUNG BANK LTD,JIMEI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,0.0,71.75600868922277,0.0,0.0,0.0,0.0,0.0,25.439271795279776,0.0,2.8047195154974536
2024-03-04,0.0,43.64868862058559,0.0,39.043817734451835,0.0,0.0,0.0,15.47453479660143,0.0,1.8329588483611474
2024-03-05,0.0,43.609170246890166,0.0,39.00846848964089,0.0,0.0,0.0,15.457506647883523,0.0,1.9248546155854214
2024-03-06,0.0,43.63550787368626,0.0,38.97767230803327,0.0,0.0,0.0,15.460802692557507,0.0,1.9260171257229686
2024-03-07,0.0,34.32025063395983,0.0,30.67293072141698,0.0,0.0,21.468773153335043,11.960920371560961,0.0,1.5771251197271838
2024-03-08,0.0,28.95505196111151,0.0,25.877908419450552,0.0,0.0,18.114615150626303,10.097104018571326,15.57670879143773,1.378611658802575
2024-03-11,0.0,29.211715445127055,0.0,26.101237933220084,0.0,0.0,17.501840531290174,10.004880531717918,15.714783913985448,1.4655416446593204
2024-03-12,0.0,29.20212004093599,0.0,26.098076129105007,0.0,0.0,17.52394766019639,9.904740702854879,15.712880285177732,1.5582351817299982
2024-03-13,0.0,29.19556199841611,0.0,26.12142974160877,0.0,0.0,17.536166605550942,9.873633777191449,15.714783913985448,1.5584239632472823
2024-03-14,0.0,26.08854419008455,0.0,23.30927869122517,0.0,10.742086010333704,15.668868410875481,8.82587103732924,13.97106869983833,1.3942829603135227
2024-03-15,0.0,26.089956313951628,0.0,23.31054037867405,0.0,10.75168881270007,15.669716537275018,8.741548042815387,13.971824927530296,1.464724987053546
2024-03-18,0.0,26.07913393605917,0.0,23.300870930637434,0.0,10.747228903380448,15.663216580287989,8.779402972163561,13.966029273164551,1.4641174043068492
