date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BETA INTERNATIONAL SECURITIES LIMITED,CMB INTERNATIONAL SECURITIES LTD,DONGXING SECURITIES (HONG KONG) CO LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,HAFOO SECURITIES LTD,INNOVAX SECURITIES LTD,SOOCHOW SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING
2024-03-06,58924228.0,48240000.0,0.0,52670000.0,0.0,37980000.0,0.0,0.0,0.0,61322000.0
2024-03-11,58724228.0,48140000.0,0.0,52660000.0,0.0,0.0,15680000.0,0.0,0.0,61752000.0
2024-03-20,11752845.0,9224000.0,8784000.0,10532000.0,29968756.0,7594000.0,3640000.0,3488000.0,230531913.0,12550400.0
2024-04-25,14361603.0,14833696.0,0.0,13872666.0,0.0,8375665.0,4628000.0,50993691.0,291189589.0,13020360.0
2024-09-30,16693603.0,11373871.0,8404000.0,0.0,0.0,7715665.0,5448000.0,0.0,0.0,13532030.0
2024-10-02,16723603.0,11383871.0,8348000.0,0.0,0.0,7885665.0,6208000.0,0.0,0.0,0.0
2024-10-09,16747364.0,11503874.0,0.0,14212666.0,28108756.0,0.0,8338000.0,0.0,0.0,13558030.0
2024-10-10,15101364.0,11433874.0,0.0,0.0,27778756.0,0.0,8148000.0,52383691.0,0.0,13888030.0
2024-10-14,15429031.0,11673874.0,0.0,0.0,0.0,7925665.0,7500000.0,52443691.0,0.0,0.0
2024-10-15,15539031.0,11713874.0,0.0,0.0,0.0,0.0,7460000.0,52483691.0,0.0,13788030.0
