date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,REALINK FINANCIAL TRADE LTD,BANK OF CHINA (HONG KONG) LTD
2024-04-03,100.0,0.0,0.0,0.0
2024-04-05,49.43723882471259,0.0,0.0,50.562761175287406
2024-04-08,49.32808741432052,0.0,0.0,50.67191258567948
2024-04-09,49.255587183878546,0.0,0.0,50.744412816121454
2024-04-10,49.039359570608234,0.0,0.0,50.960640429391766
2024-04-11,48.93195611965654,0.0,0.0,51.06804388034346
2024-04-12,48.82502209946965,0.0,0.0,51.17497790053035
2024-04-16,48.75399202994245,0.0,0.0,51.24600797005755
2024-04-17,48.401919307206505,0.0,0.0,51.5980806927935
2024-04-18,48.29728690730924,0.0,0.0,51.70271309269076
2024-04-22,48.17447396028327,0.0,0.0,51.82552603971673
2024-04-23,48.07074433859039,0.0,0.0,51.92925566140961
2024-05-09,28.753873798685035,0.0,40.18425511334986,31.06187108796509
2024-05-21,29.0281000423176,0.0,40.02958596963012,30.942313988052277
2024-05-29,29.040519700222973,0.0,40.04671260771913,30.912767692057898
2024-05-31,0.9936134659718024,0.0,1.3716512317256786,1.0576719206940008
2024-06-03,28.861396577542624,0.0,40.20375898724205,30.934844435215325
2024-06-07,28.641292290478127,0.0,40.341206870866344,31.017500838655536
2024-06-11,27.999948155244798,0.0,40.741336795410874,31.258715049344328
2024-06-13,27.987856292260872,0.0,40.76692782979808,31.245215877941053
2024-06-14,28.036286515523322,0.0,40.88073100803447,31.082982476442204
2024-06-17,28.253549282380224,0.0,40.75730962939961,30.98914108822017
2024-07-05,28.144302989879073,0.0,40.98637976200833,30.869317248112598
2024-07-12,28.08397487355861,0.0,41.19861828151174,30.717406844929645
2024-07-30,28.180624429337918,0.0,41.426437423172345,30.392938147489733
2024-08-02,28.168506870800147,0.0,41.451623826513774,30.37986930268608
2024-08-26,28.17456434716319,0.0,41.460537761238484,30.364897891598325
2024-09-05,28.23528270841482,0.0,41.549888420877956,30.214828870707223
2024-09-09,28.21096398630121,0.0,41.60023082529734,30.188805188401457
2024-09-16,28.198820327557648,0.0,41.625369522007745,30.1758101504346
2024-10-03,28.21096398630121,0.0,41.60023082529734,30.188805188401457
2024-10-18,28.21947077251791,0.0,41.61277503578117,30.167754191700922
2024-10-22,28.223118108743584,0.0,41.61815344216811,30.15872844908831
2024-10-29,28.21096398630121,0.0,41.64329524644153,30.145740767257262
2024-10-30,28.198820327557648,0.0,41.66841540569131,30.13276426675104
2024-11-01,28.150350059784646,0.0,41.76868015053054,30.080969789684815
2024-11-05,28.126177358016662,0.0,41.81868337696602,30.055139265017317
2024-11-07,28.102046134822473,0.0,41.868600801552056,30.029353063625475
2024-11-18,28.19753213356596,0.0,41.81299608752882,29.989471778905212
2024-12-16,28.185457149861737,0.0,41.83791341436128,29.97662943577698
2025-02-11,28.13726045521925,0.0,41.93736968047871,29.92536986430204
2025-02-14,62.708525917343216,0.0,21.762409065407688,15.529065017249094
2025-02-18,47.96340013095622,23.513749638801453,16.64525068239589,11.877599547846442
2025-02-20,47.895529587908726,23.513749638801453,16.713121225443377,11.877599547846442
2025-02-24,47.87116177481395,23.501786546185386,16.75549509859371,11.871556580406958
2025-02-27,47.85493033654072,23.493817911552505,16.783720401527624,11.867531350379151
2025-02-28,4.1324587169795715,2.0286385025885223,1.4492366269033319,1.024734724628016
2025-03-05,47.84785714879158,23.497004716865163,16.785997019552973,11.869141114790278
2025-03-07,47.63310349932004,23.524926185408944,16.95872511128845,11.883245203982568
2025-03-11,47.634720764855984,23.525724916744092,16.959300903324685,11.88025341507524
2025-03-25,47.626635535195774,23.52173180235567,16.95642233406936,11.895210328379195
2025-04-09,47.61047330710929,23.513749638801453,16.98460339763332,11.891173656455939
2025-04-16,47.60513920562677,23.516143718968337,16.98633270507094,11.892384370333955
