date,EMPEROR SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BOCOM INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA INDUSTRIAL SECURITIES,CMB WING LUNG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA SUNRISE SECURITIES (INTL) LTD
2024-03-18,0.0,0.0,88.72148961499563,0.0,0.0,11.278510385004374,0.0,0.0,0.0,0.0
2024-03-19,0.0,0.0,18.651794267872884,0.0,78.98818891704612,2.3600168150809995,0.0,0.0,0.0,0.0
2024-04-12,0.0,0.0,18.644603363835017,0.0,78.99517120364378,2.360225432521203,0.0,0.0,0.0,0.0
2024-04-24,0.0,0.0,65.47454781743424,0.0,26.23701129026525,8.288440892300514,0.0,0.0,0.0,0.0
2024-05-21,0.0,0.0,65.48793951940536,0.0,26.22683450144423,8.285225979150411,0.0,0.0,0.0,0.0
2024-05-24,0.0,0.0,65.48660081671892,0.0,26.227851825049804,8.285547358231277,0.0,0.0,0.0,0.0
2024-05-27,0.0,0.0,65.51335515329555,0.0,26.207520336641988,8.279124510062468,0.0,0.0,0.0,0.0
2024-06-04,0.0,0.0,51.04878748604976,0.0,20.40913777369316,6.447378103726208,22.094696636530873,0.0,0.0,0.0
2024-06-05,0.0,66.51060304664813,17.09593108107622,0.0,6.8348971637885825,2.15918804624036,7.399380662246707,0.0,0.0,0.0
2024-06-21,0.0,63.924841018677014,16.431285033719625,0.0,6.569173854396597,2.0752443409442036,7.111711679099432,0.0,3.887744073163125,0.0
2024-06-26,0.0,63.962126128115536,16.382542344125085,0.0,6.57300542225314,2.07645475791405,7.115859690170323,0.0,3.890011657421871,0.0
2024-06-27,0.0,63.95715226738854,16.29184141419672,0.0,6.572494288313306,2.1734965275940703,7.115306342475456,0.0,3.8897091600319054,0.0
2024-06-28,0.0,63.969588369914185,16.27556484143667,0.0,6.5737722722435,2.1739191515649328,7.116689873105566,0.0,3.89046549173515,0.0
2024-07-03,0.0,63.975808234950115,16.238254703002255,0.0,6.574411450599219,2.2033000033476835,7.117381840204951,0.0,3.890843767895779,0.0
2024-07-31,0.0,47.61050150287018,12.084434277126105,8.358946778205253,4.892646687630942,1.6396857033117023,5.296722747997386,0.0,2.895547991805367,17.221514311053067
2024-08-07,0.0,47.77991023390306,12.127433376306247,8.38868976602868,4.9100558104206655,1.645520068956308,5.315569663090627,0.0,2.9058509941987984,16.926970087095615
2024-10-04,0.0,47.78199209838427,12.123604596083945,8.389055277708847,4.910269751190802,1.6455917674958804,5.31580127289535,0.0,2.905977607830823,16.92770762841008
2024-10-07,0.0,47.78893295711419,12.118102633981659,8.390273880052595,4.910983021759317,1.638567759040573,5.31657345136785,0.0,2.906399732969656,16.93016656371416
2024-10-08,0.0,47.79615358958979,12.119352477791889,8.391541602102633,4.911725043003563,1.6242870449423785,5.317376754989555,0.0,2.906838873226623,16.932724614353564
2024-10-09,0.0,47.79823686985226,12.115522043652607,8.391907362350654,4.911939129265078,1.624357842378724,5.317608522301563,0.0,2.9069655729628145,16.9334626572363
2024-10-10,0.0,47.773943227701054,12.196493528486098,8.387642142380676,4.865877993540368,1.5218814683708963,5.314905826825728,0.0,3.014399654549963,16.924856158145218
2024-10-14,0.0,47.774220729825096,12.196564373650455,8.387690863259735,4.865325392705231,1.5218903084479651,5.314936699254429,0.0,3.014417164143066,16.924954468714027
2024-10-22,0.0,47.77435948209605,12.196599796541271,8.387715223911517,4.865049089880257,1.521894728525011,5.314952135603274,0.0,3.0144259190158977,16.925003624426722
2024-10-28,0.0,47.800181428620384,12.20319203453544,8.392248767350322,4.813628837643978,1.5227173096066133,5.317824856688659,0.0,3.016055210245047,16.93415155530956
