date,SFGHK LTD,FUTU SECURITIES INTERNATIONAL,CLSA LTD,BANK OF CHINA (HONG KONG) LTD,ZHONGRONG PT SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,ICBC (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,72.22721195160345,0.0,27.772788048396553,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,72.1618021064472,0.0,27.838197893552806,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,71.98516379493988,0.0,28.014836205060124,0.0,0.0,0.0,0.0,0.0
2024-03-19,0.0,72.00164906638622,0.0,27.99835093361378,0.0,0.0,0.0,0.0,0.0
2024-03-26,0.0,71.98516379493988,0.0,28.014836205060124,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,57.97462615724721,0.0,22.50705509611667,0.0,19.518318746636123,0.0,0.0,0.0
2024-04-08,0.0,57.593489806557876,0.0,22.711175989275056,0.0,19.695334204167075,0.0,0.0,0.0
2024-04-09,0.0,52.554865858733336,0.0,20.758675036336406,0.0,18.132994958495303,0.0,8.553464146434957,0.0
2024-04-11,0.0,52.49268496878492,0.0,20.78588104831787,0.0,18.15675979306384,0.0,8.56467418983337,0.0
2024-04-12,0.0,45.47148806370686,0.0,18.005650550057865,13.375572061618227,15.728189302887664,0.0,7.419100021729391,0.0
2024-04-15,0.0,45.663116731371275,0.0,17.917504015622196,13.385407318942644,15.65119206381855,0.0,7.382779870245337,0.0
2024-04-18,0.0,45.70077436906699,0.0,17.917504015622196,13.385407318942644,15.613534426122833,0.0,7.382779870245337,0.0
2024-04-19,0.0,43.10062017176664,0.0,16.89808423741162,12.623842039066751,14.725199433264253,0.0,6.962735213838898,5.689518904651831
2024-04-29,0.0,43.1113378958849,0.0,16.90228624202923,12.626981178497875,14.728861112016972,0.0,6.939599868390942,5.690933703180081
2024-04-30,0.0,42.969242172959056,0.0,16.866762311297766,12.626981178497875,14.728861112016972,0.0,6.939599868390942,5.868553356837387
2024-05-02,0.0,42.9337182422276,0.0,16.866762311297766,12.698029039960797,14.693337181285509,0.0,6.939599868390942,5.868553356837387
2024-05-03,0.0,42.939819806965374,0.0,16.86915934669029,12.699833632001775,14.695425338372669,0.0,6.9263745042908,5.869387371679098
2024-05-06,0.0,42.960085506348584,0.0,16.863168035218592,12.69532311328746,14.690206058110874,0.0,6.92391450814209,5.8673027788924
2024-05-07,0.0,42.980336815564904,0.0,16.857180978027507,12.690815797379809,14.684990483929617,0.0,6.921456258775197,5.865219666322967
2024-05-08,0.0,43.347258348328324,0.0,16.347159510009927,12.736033493576828,14.737313474741251,0.0,6.946117581683599,5.88611759166007
2024-05-13,0.0,43.16910708950084,0.0,16.347159510009927,12.914184752404312,14.737313474741251,0.0,6.946117581683599,5.88611759166007
