date,YUANTA SECURITIES (HONG KONG) CO LTD,GRAND CHINA SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,0.0,0.0,84.81278951049542,0.0,0.0,0.0,0.0,15.18721048950458
2024-03-18,0.0,0.0,47.80154418767205,44.27096645583867,0.0,0.0,0.0,0.0,7.927489356489284
2024-03-26,0.0,0.0,39.17660314821215,36.5681629859341,0.0,0.0,17.758119394791276,0.0,6.497114471062475
2024-04-03,0.0,0.0,35.97222209561365,33.53038690963077,0.0,0.0,16.305625386998567,8.226071138292763,5.965694469464245
2024-04-10,0.0,0.0,35.97222209561365,33.99786470168921,0.0,0.0,15.838147594940125,8.226071138292763,5.965694469464245
2024-04-15,0.0,0.0,27.556281950307,25.957892592339064,23.48160978901819,0.0,12.132707830411317,6.301527190273823,4.569980647650604
2024-04-16,0.0,0.0,27.556281950307,25.92208176639334,23.517420614963918,0.0,12.132707830411317,6.301527190273823,4.569980647650604
2024-04-22,0.0,0.0,27.546417350735247,25.91280217790775,23.54479985361479,0.0,12.128364562887638,6.299271369167961,4.568344685686613
2024-04-30,0.0,0.0,27.510619344351277,25.91280217790775,23.580597859998758,0.0,12.128364562887638,6.299271369167961,4.568344685686613
2024-05-09,0.0,0.0,27.510619344351277,25.91280217790775,23.616395866382724,0.0,12.128364562887638,6.299271369167961,4.532546679302647
2024-05-21,0.0,0.0,27.53427547641406,25.935084361480737,23.636703390996004,0.0,12.138793633575357,6.218698962450229,4.536444175083611
2024-05-22,0.0,0.0,27.53427547641406,25.920752845974743,23.636703390996004,0.0,12.138793633575357,6.218698962450229,4.550775690589603
2024-05-23,0.0,0.0,27.573792900465264,25.778553476036226,23.720859281527847,0.0,12.156215332428447,6.227624091573617,4.5429549179686
2024-05-24,0.0,0.0,23.791086631321516,21.065723223993533,20.466717080721008,14.894887253942416,10.488566920292062,5.373288499147061,3.9197303905824064
2024-05-27,0.0,0.0,23.781648363532927,21.06833215683563,20.469251828272473,14.896731945440683,10.489865900935353,5.3739539663938505,3.920215838589077
2024-05-29,0.0,0.0,23.814090781565568,21.09707312670594,20.373159300509933,14.93565618653953,10.504175952512195,5.381284999903422,3.8945596522634096
2024-05-31,0.0,0.0,23.88221177277829,21.064143751232635,20.275973646904955,15.003254322615073,10.534223493874215,5.396678342926846,3.8435146696679876
2024-06-04,0.0,0.0,23.88072673787479,21.062833948397763,20.274712853773458,15.00232139577617,10.533568458665647,5.396342768660172,3.849493836852
