date,LUEN FAT SECURITIES CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,ZHESHANG INTERNATIONAL FINANCIAL,OCBC BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,1.5523008770769608,0.0,0.0,1.5523008770769608
2024-03-07,7.4317011208699935,0.0,0.0,1.5517016487901139,0.0,0.0,8.983402769660106
2024-03-12,7.4317011208699935,0.0,0.0,1.5508028063598436,0.0,0.0,8.982503927229837
2024-03-13,7.4317011208699935,0.0,0.0,1.55050319221642,0.0,0.0,8.982204313086413
2024-03-18,7.4317011208699935,0.0,0.0,1.5490051214993028,0.0,0.0,8.980706242369296
2024-04-03,7.4317011208699935,0.0,2.560422023299404,1.5490051214993028,0.0,0.0,11.5411282656687
2024-05-03,7.4317011208699935,0.0,2.5445424736979603,1.5496043497861496,0.0,0.0,11.525847944354103
2024-05-06,7.4317011208699935,0.0,2.5460405444150775,1.5457093659216448,0.0,0.0,11.523451031206717
2024-05-13,7.4317011208699935,0.0,2.5550289687177816,1.5367209416189407,0.0,0.0,11.523451031206717
2024-05-20,7.4317011208699935,0.0,2.5535308980006644,1.5367209416189407,0.0,0.0,11.521952960489598
2024-05-21,7.4317011208699935,0.0,2.553830512144088,1.5349232567584,0.0,0.0,11.520454889772482
2024-06-04,6.65270434796899,0.0,2.553830512144088,1.5349232567584,0.8988424302703885,0.0,11.640300547141866
2024-06-06,6.65270434796899,0.0,2.553830512144088,1.5250359900254256,0.8988424302703885,0.0,11.630413280408893
2024-06-28,7.551546778239378,0.0,2.553830512144088,1.5250359900254256,0.8988424302703885,0.0,12.52925571067928
2024-07-04,7.551546778239378,0.0,2.552032827283547,1.529829816320201,0.8988424302703885,0.7271964836445208,13.259448335758037
2024-07-16,7.551546778239378,0.0,2.557126267721746,1.5247363758820023,0.8988424302703885,0.7271964836445208,13.259448335758037
2024-07-18,7.551546778239378,0.0,2.557126267721746,1.5235379193083085,0.8988424302703885,0.7271964836445208,13.258249879184342
2024-07-22,7.645026390987499,0.0,3.0934355844497445,1.5235379193083085,0.8988424302703885,0.7271964836445208,13.888038808660461
2024-08-02,7.645026390987499,0.0,3.0934355844497445,1.5295302021767776,0.8988424302703885,0.7271964836445208,13.89403109152893
2024-08-16,7.645026390987499,0.0,3.092836356162897,1.5295302021767776,0.8988424302703885,0.7271964836445208,13.893431863242084
2024-08-20,7.645026390987499,0.0,3.092836356162897,1.5310282728938949,0.8988424302703885,0.7271964836445208,13.8949299339592
2024-08-22,7.645026390987499,0.0,3.092836356162897,1.530429044607048,0.8988424302703885,0.7271964836445208,13.894330705672353
2024-08-26,7.645026390987499,0.0,3.092836356162897,1.5250359900254256,0.8988424302703885,0.7271964836445208,13.88893765109073
2024-08-28,7.645026390987499,0.0,3.092836356162897,1.5253356041688493,0.8988424302703885,0.7271964836445208,13.889237265234156
2024-09-03,7.645026390987499,0.0,3.092836356162897,1.5250359900254256,0.8988424302703885,0.7271964836445208,13.88893765109073
2024-09-05,7.645026390987499,0.0,3.092836356162897,1.5283317456030838,0.8988424302703885,0.7271964836445208,13.892233406668389
2024-09-20,7.645026390987499,0.0,3.092836356162897,1.5280321314596603,0.8988424302703885,0.7271964836445208,13.891933792524966
2024-09-23,7.645026390987499,0.0,3.092836356162897,1.527732517316237,0.8988424302703885,0.7271964836445208,13.891634178381542
2024-09-25,7.645026390987499,0.0,3.235153074289042,1.5280321314596603,0.8988424302703885,0.7271964836445208,14.03425051065111
2024-10-04,7.645026390987499,0.0,3.231258090424537,1.5280321314596603,0.8988424302703885,0.7271964836445208,14.030355526786606
2024-10-08,7.645026390987499,0.0,3.2310183991097987,1.5325263436110121,0.8988424302703885,0.7271964836445208,14.03461004762322
2024-10-14,7.645026390987499,0.0,3.2298199425361043,1.5313278870373184,0.8988424302703885,0.7271964836445208,14.032213134475832
2024-10-15,7.645026390987499,0.0,3.2298199425361043,1.529230588033354,0.8988424302703885,0.7271964836445208,14.030115835471868
2024-10-16,7.6255514716649735,0.0,3.2298199425361043,1.5295302021767776,0.8988424302703885,0.7271964836445208,14.010940530292764
2024-10-17,7.6255514716649735,0.0,3.2298199425361043,1.529230588033354,0.8988424302703885,0.7271964836445208,14.010640916149342
2024-10-22,7.6255514716649735,0.0,3.240306437555926,1.529230588033354,0.8988424302703885,0.7271964836445208,14.021127411169163
2024-10-23,7.6255514716649735,0.0,3.240306437555926,1.529829816320201,0.8988424302703885,0.7271964836445208,14.02172663945601
2024-10-25,7.6255514716649735,0.0,3.240306437555926,1.5295302021767776,0.8988424302703885,0.7271964836445208,14.021427025312585
2024-10-29,7.615664204931999,0.0,3.240306437555926,1.5295302021767776,0.8988424302703885,0.7271964836445208,14.01153975857961
2024-10-31,7.615664204931999,4.77661630857009,3.240306437555926,1.5316275011807419,0.8988424302703885,0.7271964836445208,18.790253366153667
2024-11-01,7.615664204931999,4.77661630857009,3.240306437555926,1.5319271153241654,0.8988424302703885,0.7271964836445208,18.79055298029709
2024-11-04,7.615664204931999,4.77661630857009,3.240306437555926,1.5337248001847061,0.8988424302703885,0.7271964836445208,18.79235066515763
2024-11-05,7.615664204931999,4.77661630857009,3.240306437555926,1.529230588033354,0.8988424302703885,0.7271964836445208,18.787856453006277
2024-11-06,7.615664204931999,4.77661630857009,3.240306437555926,1.5352228709018234,0.8988424302703885,0.7271964836445208,18.793848735874747
2024-11-07,7.615664204931999,4.77661630857009,3.240306437555926,1.5307286587504714,0.8988424302703885,0.7271964836445208,18.789354523723397
2024-11-15,7.615664204931999,4.77661630857009,3.240306437555926,1.5091564404239821,0.8988424302703885,0.7271964836445208,18.767782305396906
2024-11-18,7.615664204931999,4.77661630857009,3.3215018704236843,1.5091564404239821,0.8988424302703885,0.7271964836445208,18.848977738264665
2024-11-19,7.615664204931999,4.77661630857009,3.3253968542881895,1.522639076878038,0.8988424302703885,0.7271964836445208,18.866355358583224
2024-11-20,7.615664204931999,4.77661630857009,3.3391791048856687,1.5130514242884872,0.8988424302703885,0.7271964836445208,18.870549956591155
2024-11-21,7.615664204931999,4.77661630857009,3.338879490742245,1.5124521960016404,0.8988424302703885,0.7271964836445208,18.869651114160884
2024-11-22,7.615664204931999,4.77661630857009,3.338879490742245,1.510354896997676,0.8988424302703885,0.7271964836445208,18.86755381515692
2024-11-26,7.615664204931999,4.77661630857009,3.338879490742245,1.5106545111410996,0.8988424302703885,0.7271964836445208,18.867853429300343
2024-11-28,7.615664204931999,4.77661630857009,3.338879490742245,1.5082575979937118,0.8988424302703885,0.7271964836445208,18.865456516152957
2024-12-02,6.567014702949879,4.77661630857009,3.3391791048856687,1.5082575979937118,1.0486495019821198,0.7271964836445208,17.96691370002599
2024-12-04,6.567014702949879,5.016607237452283,3.3394787190290915,1.5082575979937118,1.0486495019821198,0.7271964836445208,18.20720424305161
2024-12-06,6.567014702949879,5.016607237452283,3.3397783331725153,1.5037633858423598,1.0486495019821198,0.7271964836445208,18.20300964504368
2024-12-09,6.567014702949879,5.016607237452283,3.333786050304046,1.5037633858423598,1.0486495019821198,0.7271964836445208,18.19701736217521
2024-12-13,6.567014702949879,5.016607237452283,3.3191049572762963,1.5040629999857833,1.0486495019821198,0.7271964836445208,18.18263588329088
2024-12-19,6.567014702949879,4.77661630857009,3.3179065007026027,1.5040629999857833,1.0486495019821198,0.7271964836445208,17.941446497834995
2025-01-02,6.552033995778707,4.77661630857009,3.3179065007026027,1.5040629999857833,1.0486495019821198,0.7271964836445208,17.926465790663823
2025-01-17,6.552033995778707,4.77751515100036,3.3179065007026027,1.5040629999857833,1.0486495019821198,0.7271964836445208,17.927364633094093
2025-01-22,6.552033995778707,4.77751515100036,3.3215018704236843,1.5040629999857833,1.0486495019821198,0.7271964836445208,17.930960002815173
2025-01-24,6.552033995778707,4.77751515100036,3.3215018704236843,1.5037633858423598,1.0486495019821198,0.7271964836445208,17.93066038867175
2025-02-18,6.552033995778707,4.77751515100036,3.324498011857919,1.5007672444081253,1.0486495019821198,0.7271964836445208,17.93066038867175
2025-02-24,6.552033995778707,4.77751515100036,3.324524977130827,1.5007672444081253,1.0486495019821198,0.7271964836445208,17.93068735394466
2025-02-26,6.552033995778707,4.77751515100036,3.3281203468519087,1.5007672444081253,1.0486495019821198,0.7271964836445208,17.93428272366574
2025-02-28,7.600683497760826,4.77751515100036,3.3281203468519087,1.5007672444081253,1.0486495019821198,0.7271964836445208,18.98293222564786
2025-03-03,6.552033995778707,4.77751515100036,3.329618417569026,1.5007672444081253,1.0486495019821198,0.7271964836445208,17.935780794382858
2025-03-05,6.552033995778707,4.77751515100036,3.3263226619913677,1.5004676302647018,1.0486495019821198,0.7271964836445208,17.932185424661775
2025-03-11,6.552033995778707,4.77751515100036,3.3260230478479444,1.5004676302647018,1.0486495019821198,0.7271964836445208,17.931885810518352
