date,UBS SECURITIES HONG KONG LTD,EVERBRIGHT SECURITIES INVESTMENT,THE HONGKONG AND SHANGHAI BANKING,UOB KAY HIAN (HONG KONG) LTD,FULBRIGHT SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-05-23,0.0,0.04735659305919852,0.0,0.0,0.0,0.0,0.0,0.04735659305919852
2024-06-13,0.0,0.04735659305919852,0.04101739867769046,0.0,0.0,0.0,0.0,0.088373991736889
2024-06-21,0.0,0.04735659305919852,0.04101739867769046,0.011591873539347305,0.0,0.0,0.0,0.09996586527623628
2024-07-08,0.0,0.04735659305919852,0.04101739867769046,0.011146032249372408,0.0,0.0,0.012483556119297098,0.11200358010555851
2024-08-23,31.332389004327727,0.04783230571560174,0.04101739867769046,0.011146032249372408,0.022794527632546528,0.01214449381827119,0.012483556119297098,31.479807318540505
2024-09-12,31.332389004327727,0.04783230571560174,0.04101739867769046,0.012037714829322201,0.022794527632546528,0.01214449381827119,0.012483556119297098,31.480699001120456
2024-09-19,31.332389004327727,0.04783230571560174,0.04101739867769046,0.013375238699246892,0.022794527632546528,0.0108069699483465,0.012483556119297098,31.480699001120456
2024-09-25,31.332389004327727,0.04783230571560174,0.04101739867769046,0.014266921279196683,0.022794527632546528,0.0108069699483465,0.012483556119297098,31.481590683700407
2024-10-18,31.332389004327727,0.04783230571560174,0.04101739867769046,0.017387810309020958,0.022794527632546528,0.0108069699483465,0.009362667089472823,31.481590683700407
2025-02-20,31.332389004327727,0.04783230571560174,0.04101739867769046,0.017387810309020958,0.015661066992948183,0.0108069699483465,0.009362667089472823,31.47445722306081
2025-02-21,31.332389004327727,0.04783230571560174,0.04101739867769046,0.01961701675889544,0.015661066992948183,0.0108069699483465,0.009362667089472823,31.476686429510682
2025-04-07,31.332389004327727,0.04783230571560174,0.04101739867769046,0.02808800126841847,0.01120265409319922,0.0108069699483465,0.00980850837944772,31.48114484241043
2025-04-28,31.332389004327727,0.04783230571560174,0.04101739867769046,0.02808800126841847,0.01120265409319922,0.0108069699483465,0.010700190959397511,31.48203652499038
