date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,LIVERMORE HOLDINGS LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,QUAM SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,REALINK FINANCIAL TRADE LTD,TOTAL_CCASS_PCT
2024-03-05,0.0,2.3525,0.0,0.0,0.0,0.605,0.0,0.46449999999999997,3.422
2024-03-11,0.0,2.3525,0.0,0.0,0.0,0.597,0.0,0.46449999999999997,3.4139999999999997
2024-03-12,3.025,2.3525,0.0,0.9464999999999999,0.0,0.5925,0.0,0.46449999999999997,7.381
2024-03-13,3.025,2.3545,0.0,0.946,0.0,0.5945,0.0,0.46449999999999997,7.384499999999999
2024-03-14,3.0349999999999997,2.36,2.4299999999999997,0.9339999999999999,0.0,0.626,0.0,0.48050000000000004,9.8655
2024-03-18,3.0349999999999997,2.3645,2.4299999999999997,0.9339999999999999,0.0,0.6255000000000001,0.0,0.48050000000000004,9.8695
2024-03-19,3.0349999999999997,2.3645,2.4299999999999997,0.9299999999999999,0.0,0.659,0.0,0.48050000000000004,9.899
2024-03-20,3.0349999999999997,2.4025000000000003,2.4299999999999997,0.9299999999999999,0.0,0.6705,0.0,0.48050000000000004,9.948500000000001
2024-04-02,3.0349999999999997,2.402,2.4299999999999997,0.9299999999999999,0.0,0.6715,0.0,0.48050000000000004,9.949
2024-04-08,3.0349999999999997,2.402,2.4299999999999997,0.9299999999999999,0.0,0.6685,0.0,0.48050000000000004,9.946000000000002
2024-04-09,3.031,2.402,2.4255,0.9299999999999999,0.0,0.677,0.0,0.48050000000000004,9.946000000000002
2024-04-11,3.031,2.402,2.4255,0.9299999999999999,0.0,0.6845,0.0,0.48050000000000004,9.9535
2024-04-12,3.031,2.4065,2.4255,0.9299999999999999,0.0,0.6905,0.0,0.48050000000000004,9.964
2024-04-15,3.031,2.407,2.4255,0.9299999999999999,0.0,0.683,0.0,0.48050000000000004,9.957
2024-04-17,3.031,2.407,2.4255,0.9299999999999999,0.0,0.7075,0.0,0.48450000000000004,9.9855
2024-04-23,3.031,2.399,2.4255,0.9299999999999999,0.0,0.714,0.0,0.48450000000000004,9.984
2024-04-25,3.031,2.41,2.4255,0.9299999999999999,0.0,0.703,0.0,0.48450000000000004,9.984
2024-04-26,3.031,2.41,2.4255,0.9299999999999999,0.0,0.694,0.611,0.48450000000000004,10.586
2024-04-29,3.031,2.41,2.4255,0.9299999999999999,0.0,0.6935,0.611,0.48450000000000004,10.5855
2024-05-02,3.031,2.4105000000000003,2.4255,0.9299999999999999,0.0,0.692,0.611,0.48450000000000004,10.5845
2024-05-06,3.031,2.4105000000000003,2.4255,0.9299999999999999,0.0,0.6915,0.611,0.48450000000000004,10.584
2024-05-08,3.031,2.4105000000000003,2.424,0.9299999999999999,0.0,0.6935,0.611,0.48450000000000004,10.5845
2024-05-10,3.031,2.4105000000000003,2.4219999999999997,0.9299999999999999,0.0,0.6955,0.611,0.48450000000000004,10.5845
2024-05-14,3.0140000000000002,2.4285,2.4185000000000003,0.9299999999999999,0.0,0.7015,0.611,0.48450000000000004,10.588000000000001
2024-05-16,3.0140000000000002,2.4305,2.4185000000000003,0.9299999999999999,0.0,0.699,0.611,0.48450000000000004,10.5875
2024-05-20,3.0140000000000002,2.4405,2.4185000000000003,0.9299999999999999,0.0,0.6910000000000001,0.611,0.48450000000000004,10.589500000000001
2024-05-27,3.0140000000000002,2.4405,2.4185000000000003,0.9299999999999999,0.0,0.6905,0.611,0.48450000000000004,10.589
2024-05-31,3.0140000000000002,2.4405,2.4185000000000003,0.9299999999999999,0.0,0.6895,0.611,0.48450000000000004,10.588000000000001
2024-06-03,3.0140000000000002,2.4395,2.4185000000000003,0.9299999999999999,0.0,0.6905,0.611,0.48450000000000004,10.588000000000001
2024-06-07,3.0140000000000002,2.4395,2.4185000000000003,0.9275,0.0,0.6930000000000001,0.611,0.48450000000000004,10.588000000000001
2024-06-11,3.0140000000000002,2.4295,2.4185000000000003,0.9275,0.0,0.703,0.611,0.48450000000000004,10.588000000000001
2024-06-14,3.004,2.429,2.4185000000000003,0.9275,0.0,0.7095,0.611,0.48450000000000004,10.584
2024-06-17,3.004,2.431,2.4185000000000003,0.9275,0.0,0.7075,0.611,0.48450000000000004,10.584
2024-06-18,2.994,2.431,2.4185000000000003,0.9275,0.0,0.7185,0.611,0.48450000000000004,10.585
2024-06-19,2.994,2.4410000000000003,2.4185000000000003,0.9275,0.0,0.709,0.611,0.48450000000000004,10.5855
2024-06-20,2.994,2.4410000000000003,2.4185000000000003,0.9275,0.0,0.712,0.611,0.48450000000000004,10.5885
2024-06-24,2.994,2.4490000000000003,2.4185000000000003,0.9275,0.0,0.6995,0.611,0.48450000000000004,10.584
2024-06-25,2.994,2.4490000000000003,2.4185000000000003,0.9275,0.0,0.7005,0.611,0.48450000000000004,10.585
2024-06-27,2.994,2.469,2.4185000000000003,0.9275,0.0,0.6779999999999999,0.611,0.48450000000000004,10.5825
2024-06-28,2.994,2.469,2.4185000000000003,0.9275,0.0,0.6815,0.611,0.48450000000000004,10.586
2024-07-02,2.994,2.469,2.4185000000000003,0.9275,0.0,0.6795,0.611,0.48450000000000004,10.584
2024-07-05,2.988,2.48,2.4185000000000003,0.9275,0.0,0.661,0.611,0.4915,10.577499999999999
2024-07-15,2.9895,2.48,2.4185000000000003,0.9275,0.0,0.6635,0.611,0.4915,10.5815
2024-07-16,2.9895,2.48,2.4185000000000003,0.9275,0.0,0.6629999999999999,0.611,0.4915,10.581
2024-07-23,2.9895,2.48,2.4185000000000003,0.9275,0.0,0.668,0.611,0.4915,10.586
2024-07-25,2.9895,2.48,2.4185000000000003,0.9275,0.0,0.673,0.611,0.4915,10.591000000000001
2024-07-26,2.987,2.48,2.4185000000000003,0.9275,0.0,0.6755,0.611,0.4915,10.591000000000001
2024-07-29,2.987,2.4899999999999998,2.4185000000000003,0.9275,0.0,0.6655,0.611,0.4915,10.591000000000001
2024-07-31,2.987,2.4899999999999998,2.4185000000000003,0.9275,0.0,0.664,0.611,0.4915,10.589500000000001
2024-08-06,2.987,2.4899999999999998,2.4185000000000003,0.9275,0.0,0.66,0.611,0.4915,10.5855
