date,PRUDENTIAL BROKERAGE LTD,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-11,0.0,89.53811895349479,0.0,0.0,0.0,10.46188104650522,0.0
2024-03-13,0.0,81.65204470113294,0.0,0.0,0.0,9.53559806010416,8.812357238762894
2024-03-20,0.0,54.28183252525521,33.52302818122983,0.0,0.0,6.337924019093386,5.8572152744215735
2024-04-03,0.0,54.28183252525521,32.810889977661716,0.0,0.0,6.337924019093386,6.569353477989691
2024-04-12,0.0,54.327216712012415,32.778318778056246,0.0,0.0,6.331632394926813,6.56283211500453
2024-04-18,0.0,54.3297354138907,32.77651116294874,0.0,0.0,6.331283226488684,6.5624701966718835
2024-04-24,0.0,47.90337611322455,28.89956172171237,11.784677114845124,0.0,5.58239128844154,5.829993761776412
2024-04-30,0.0,48.04229058105955,28.735806297621675,11.79729693051895,0.0,5.588369284138221,5.836236906661604
2024-05-06,0.0,48.047348249531524,28.733009096144674,11.796148557786449,0.0,5.587825300974717,5.835668795562636
2024-05-07,0.0,48.08788102583775,28.648216113276924,11.835402634426988,0.0,5.590274059576597,5.8382261668817375
2024-05-14,0.0,48.089555458109125,28.62312902495998,11.868823166473554,0.0,5.585378686737536,5.833113663719805
2024-05-16,0.0,48.017331478178534,28.75210815842106,11.849799023817202,0.0,5.556997380119066,5.82376395946414
2024-06-04,0.0,48.007229964828404,28.757695401490057,11.852101731747348,0.0,5.5580772416348,5.824895660299386
2024-06-11,0.0,48.02155577695121,28.749771658609504,11.848836066491303,0.0,5.55654579850773,5.8232906994402525
2024-06-13,0.0,48.01903117699363,28.751168038847403,11.849411566036895,0.0,5.556815680677097,5.823573537444979
2024-07-09,0.0,48.01300995741594,28.76010209793557,11.84792574037243,0.0,5.5561188984525085,5.822843305823552
2024-08-07,0.0,48.01805886384851,28.75730895556736,11.846775085786849,0.0,5.555579295670668,5.822277799126615
2024-08-14,0.0,48.023106789690324,28.754516355678916,11.845624654679607,0.0,5.5550397976896395,5.821712402261511
2024-08-29,0.0,48.025630384978975,28.753120259115217,11.84504952291002,0.0,5.55477008798989,5.821429745005896
2024-09-10,0.0,47.96295303631551,28.712692347613277,11.828394961264785,0.0,5.546959883340545,5.9489997714658776
2024-09-16,0.0,47.965475877515686,28.71130030929733,11.827821501318816,0.0,5.546690957647296,5.948711354220877
2024-09-17,0.0,47.95637402018995,28.70295091308576,11.824381908999056,0.0,5.545077950922779,5.971215206802454
2024-10-03,0.0,48.21950780932697,28.837126708062634,11.879656568651795,0.0,5.5709991617601835,5.492709752198422
2024-10-04,0.0,48.26887627938723,28.806427439884448,11.797150385713525,0.0,5.636975010336654,5.490570884678147
2024-10-07,0.0,48.21889442025025,28.78821092569523,11.78969014241046,0.0,5.63341031855131,5.56979419309275
2024-10-08,0.0,48.21355170742049,28.802455116049437,11.795523592465383,0.0,5.615919498675435,5.572550085389251
2024-10-10,0.0,48.19590313819635,28.8122708523994,11.799543449426427,0.0,5.617833376674359,5.574449183303465
2024-10-15,0.0,48.19842509881044,28.810868194758516,11.798969016405751,0.0,5.617559885669386,5.574177804355907
2024-10-23,0.0,48.128238531033645,28.879759409724283,11.82718216518658,0.0,5.630992334946881,5.533827559108612
2024-11-06,0.0,48.135831298409684,28.875532113622036,11.825450952666488,0.0,5.630168094287131,5.533017541014653
2024-11-12,0.0,48.13836172693828,28.87412328991836,11.824873994446522,0.0,5.629893401019636,5.532747587677204
2024-11-18,0.0,48.12192680285933,28.898406384353727,11.820836862741785,0.0,5.6279712984116745,5.530858651633488
2024-11-20,0.0,42.818924167520876,25.964170634972124,10.482596980195236,9.59313515594251,5.2806108811584425,5.860562180210807
2024-11-21,0.0,42.54972476487138,25.93453750916205,10.47063310430266,9.668590275471875,5.533795611185807,5.842718735006232
2024-11-28,29.441270707838857,28.453893733786163,17.724688390336095,7.0875668851255,6.603151175806578,5.471182152153775,5.218246954953034
