date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,BNP PARIBAS,DBS BANK (HONG KONG) LTD,HANG SENG BANK LTD
2024-03-01,2117411042.0,1686069161.0,745024042.0,393986556.0,303486273.0,197640911.0,146538151.0,104597083.0,119101974.0,564637560.0
2024-03-04,2119445702.0,1684037561.0,745190906.0,384777281.0,305717875.0,197352107.0,146791351.0,103102685.0,119105164.0,564647310.0
2024-03-05,2114250134.0,1680538361.0,744875717.0,391349685.0,307057435.0,198291439.0,145224951.0,101901110.0,119086993.0,564737310.0
2024-03-06,2117864170.0,1677715161.0,745495563.0,391669580.0,307283435.0,201149279.0,145199351.0,101870675.0,119099793.0,564733491.0
2024-03-07,2120962274.0,1675590676.0,747276965.0,382332788.0,306936730.0,220903956.0,145106151.0,113739767.0,119139793.0,564824691.0
2024-03-08,2119973404.0,1672715876.0,747212817.0,386869711.0,305980484.0,220555156.0,145022151.0,110318078.0,119194193.0,564761255.0
2024-03-11,2122426920.0,1673159076.0,747852141.0,388576929.0,306624000.0,220421156.0,144924551.0,109339744.0,119301065.0,564775632.0
2024-03-12,2120406101.0,1673452676.0,748013268.0,399750429.0,306663948.0,205412856.0,0.0,100344310.0,119316196.0,564771762.0
2024-03-13,2092374494.0,1673408978.0,748357636.0,400825764.0,306744231.0,205935805.0,144690216.0,100402453.0,119185814.0,564617090.0
2024-03-14,2098512559.0,1673341778.0,748958906.0,393265668.0,306976276.0,206384089.0,142391816.0,100964705.0,119168214.0,564847712.0
2024-03-15,2106126476.0,1673628978.0,748620993.0,401772867.0,309928637.0,201855322.0,142640216.0,103472627.0,119166524.0,564861193.0
2024-03-18,2110799314.0,1673460257.0,748632818.0,399660683.0,309914004.0,199155937.0,142623312.0,104305015.0,119163008.0,564880493.0
2024-03-19,2111292521.0,1673495857.0,749268357.0,402724667.0,310259360.0,201951597.0,142533312.0,101974754.0,119178990.0,564888689.0
2024-03-20,2113835423.0,1673460257.0,749191430.0,394127098.0,310032177.0,201853425.0,142593712.0,101393464.0,119165078.0,564801648.0
2024-03-21,2117511242.0,1673626657.0,749012231.0,391125657.0,310178952.0,201664023.0,0.0,100853189.0,119147478.0,564715565.0
2024-03-22,2121775530.0,1675121057.0,748947173.0,387564649.0,306734305.0,203393196.0,142697712.0,100562707.0,119146968.0,564761317.0
2024-03-25,2125633558.0,1673455457.0,747508298.0,386045444.0,306124619.0,203190867.0,142693712.0,101274779.0,119104968.0,564772311.0
2024-03-26,2115632952.0,1674139057.0,746849415.0,385151320.0,305994141.0,200704067.0,143278512.0,102437502.0,119060968.0,564763947.0
2024-03-27,2116873297.0,1672355457.0,745731778.0,386172180.0,306026503.0,207038667.0,143229974.0,103001879.0,119024064.0,564914307.0
2024-03-28,2113403828.0,1670654281.0,744543987.0,389178828.0,305922159.0,207013067.0,0.0,104536100.0,118992107.0,564907968.0
2024-04-02,2117098139.0,1668308678.0,744192200.0,392483652.0,306500183.0,206818657.0,0.0,104777049.0,118994067.0,564957099.0
2024-04-03,2115127957.0,1667452678.0,743662816.0,391565810.0,309920459.0,206781327.0,0.0,104254652.0,118980867.0,564955099.0
2024-04-05,2117770681.0,1664786678.0,742861029.0,393259577.0,309658118.0,207872183.0,143211974.0,104818019.0,118955944.0,564908452.0
2024-04-08,2123532623.0,1663430278.0,743050051.0,396455464.0,310922763.0,208070483.0,143202774.0,98862415.0,118984639.0,0.0
2024-04-09,2096731733.0,0.0,740981389.0,400283242.0,310406204.0,208262168.0,143802774.0,99717629.0,118928839.0,564959364.0
2024-04-10,2100512765.0,1659555878.0,739803941.0,404056247.0,305694588.0,207402506.0,143899574.0,99900817.0,118897365.0,565128330.0
2024-04-11,2103587674.0,1656584278.0,738616699.0,399492284.0,305516077.0,207454468.0,143994530.0,102986114.0,118832565.0,565416770.0
2024-04-12,2106685034.0,1651955078.0,736509304.0,400991313.0,305153123.0,208643219.0,143994130.0,109037974.0,118771329.0,565421223.0
2024-04-15,2111881168.0,1649128678.0,735822537.0,399324030.0,305025805.0,210216863.0,144538530.0,107588489.0,118742911.0,565420430.0
2024-04-16,2116099872.0,1645607878.0,736124588.0,400240476.0,305051502.0,209533307.0,144468930.0,106510978.0,118722094.0,0.0
2024-04-17,2120338437.0,1643235078.0,735832207.0,401051592.0,305188942.0,208263347.0,0.0,107204609.0,118692894.0,565417584.0
2024-04-18,2121105611.0,1639324278.0,734563962.0,402677666.0,305408904.0,210304647.0,144740330.0,106866176.0,118695294.0,565427624.0
2024-04-19,2125951723.0,1637192278.0,734827236.0,401249891.0,305585690.0,209602866.0,145158730.0,105117405.0,118701374.0,565423764.0
2024-04-22,2126881240.0,1634890278.0,734801234.0,402217095.0,305419460.0,207567098.0,145354730.0,106506607.0,118702174.0,565481343.0
2024-04-23,2128930498.0,1632324539.0,736285950.0,398508021.0,305447122.0,209906473.0,145372669.0,110347379.0,118733464.0,565510753.0
2024-04-24,2075781360.0,1626481339.0,737180948.0,396764821.0,305498792.0,265423625.0,145335918.0,114719898.0,118696659.0,565529172.0
2024-04-25,2074817788.0,1617736139.0,736330433.0,399703801.0,305054925.0,261070079.0,145933313.0,105691475.0,118597689.0,565575066.0
2024-04-26,2032001685.0,1609020139.0,734114266.0,404119794.0,304609822.0,260461176.0,146123111.0,107921168.0,118599116.0,565581700.0
