date,BNP PARIBAS,BANK CONSORTIUM TRUST CO LTD,ABN AMRO CLEARING HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,PHILLIP SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD
2024-03-05,99.81683021842375,0.0,0.18316978157624833,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,99.37520448117958,0.0,0.6247955188204187,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,98.55379847033709,0.0,0.25389595052243374,0.0,0.0,0.0,1.1923055791404864,0.0,0.0
2024-03-11,97.73515982249899,0.0,1.0783812529344425,0.0,0.0,0.0,1.1864589245665762,0.0,0.0
2024-03-13,97.72001316455355,0.0,1.0937117841914903,0.0,0.0,0.0,1.186275051254972,0.0,0.0
2024-03-15,94.61505260987107,0.0,4.198872862952892,0.0,0.0,0.0,1.1860745271760382,0.0,0.0
2024-03-18,93.80635977971713,0.0,4.175553695905505,0.0,0.0,0.0,1.175936922855186,0.8421496015221819,0.0
2024-03-20,93.45526208727021,0.0,4.534204666440708,0.0,0.0,0.0,1.1715356355539082,0.8389976107351623,0.0
2024-03-21,93.46176409363586,0.0,4.527562780311489,0.0,0.0,0.0,1.17161714334694,0.8390559827057064,0.0
2024-03-25,93.43056271150228,0.0,4.559435407859288,0.0,0.0,0.0,1.171226009340875,0.8387758712975627,0.0
2024-03-26,88.86974262830675,0.0,4.233414949423827,4.711075858427011,0.0,0.0,1.3864838240019173,0.7992827398404934,0.0
2024-03-27,88.86502812124027,0.0,4.237672334394342,4.711388108111548,0.0,0.0,1.3865757200251758,0.7993357162286625,0.0
2024-04-02,37.99484043972567,54.978177630977854,4.077907138343912,2.0144457712259407,0.0,0.0,0.5928574618763179,0.34177155785030566,0.0
2024-04-03,38.235078072412946,54.978177630977854,4.1403328752952095,1.7117824015873615,0.0,0.0,0.5928574618763179,0.34177155785030566,0.0
