date,CHINA MERCHANTS SECURITIES (HK) CO LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,RIFA SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-01,0.0,0.0,62.010320517479464,0.0,37.989679482520536
2024-03-05,0.0,49.12976365434564,31.544796605939606,0.0,19.32543973971476
2024-03-06,0.0,48.65761083046342,32.27215010642283,0.0,19.07023906311376
2024-03-07,0.0,48.364437084284944,32.64028534772204,0.0,18.995277567993014
2024-03-08,0.10173217189103757,48.280090468967146,32.58336133995803,0.0,19.034816019183783
2024-03-11,0.10076563891712927,47.82139290501939,33.15189520373553,0.0,18.925946252327954
2024-03-12,0.09959008011666266,47.26349578965152,33.93176301117721,0.0,18.705151119054605
2024-06-18,0.09805552394043127,48.07609809054377,33.40891779970408,0.0,18.416928585811714
2024-07-08,0.07399723831735566,36.28044953322278,25.211916198127604,24.535370019226068,13.898267011106194
2024-11-15,0.07511686709009328,36.82939752248476,25.593389715696073,23.393538608057625,14.10855728667145
2024-11-18,0.07507658481978267,36.80964734114934,25.57966497074024,23.380993558160892,14.15461754512974
2025-01-13,94.15227871226092,2.1541428403867755,1.4969513737941715,1.368282597430312,0.828344476127823
2025-03-26,94.1546425683874,2.1541969238759933,1.4969889573526833,1.3683169505362054,0.8258545998477119
