date,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,SHANGHAI COMMERCIAL BANK LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,FULBRIGHT SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,1.7850000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7850000000000001
2024-03-06,0.0,0.0,1.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.786
2024-03-07,84.961838375,0.0,1.7870000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.748838375
2024-03-08,84.961838375,0.0,1.7819999999999998,1.438,0.0,0.0,0.0,0.0,0.0,0.0,88.181838375
2024-03-11,84.961871375,0.0,1.7819999999999998,1.438,0.0,0.0,0.0,0.0,0.0,0.0,88.181871375
2024-03-12,84.961871375,0.0,1.7739999999999998,1.437,0.0,0.0,0.0,0.0,0.0,0.0,88.172871375
2024-03-14,84.961871375,0.0,1.7745,1.437,0.0,0.0,0.0,0.0,0.0,0.0,88.173371375
2024-03-15,84.960371375,3.1755,1.7745,1.437,0.0,0.0,0.0,0.0,0.0,0.0,91.347371375
2024-03-18,84.957587125,3.1755,1.772,1.437,0.0,0.0,0.0,0.0,0.0,0.0,91.342087125
2024-03-19,84.95444487500001,3.1905,1.7755,1.437,1.418743125,0.0,0.0,0.0,0.0,0.0,92.776188
2024-03-20,84.951605875,3.1925000000000003,1.7755,1.437,1.418243125,0.0,0.0,0.0,0.0,0.0,92.774849
2024-03-25,84.951293375,3.3252499999999996,1.778,1.437,1.415243125,0.0,0.0,0.42131399999999997,0.0,0.0,93.3281005
2024-03-28,84.933793375,3.3252499999999996,1.7950000000000002,1.437,1.415243125,0.0,0.0,0.42131399999999997,0.0,0.0,93.3276005
2024-04-02,84.92946087499999,3.3252499999999996,1.7995,1.437,1.415243125,0.0,0.0,0.42131399999999997,0.0,0.0,93.327768
2024-04-03,84.928460875,3.3252499999999996,1.8055,1.447,1.415243125,0.0,0.0,0.42131399999999997,0.39449999999999996,0.0,93.737268
2024-04-05,84.912460875,3.34075,1.8055,1.447,1.415243125,0.0,0.0,0.42131399999999997,0.39449999999999996,0.0,93.736768
2024-04-09,84.912460875,3.32625,1.82,1.447,1.415243125,0.0,0.0,0.42131399999999997,0.39449999999999996,0.0,93.736768
2024-04-11,84.996745875,3.32625,1.822,1.447,1.415243125,0.0,0.0,0.42131399999999997,0.39449999999999996,0.0,93.823053
2024-04-12,84.995078375,3.3267499999999997,1.8225000000000002,1.447,1.415243125,0.0,0.0,0.42131399999999997,0.39449999999999996,0.0,93.82238550000001
2024-04-18,84.994399875,3.31375,1.833,1.447,1.415243125,0.49,0.0,0.42131399999999997,0.39449999999999996,0.0,94.309207
2024-04-22,84.992212375,3.3147500000000005,1.8365,1.447,1.415243125,0.49,0.0,0.42131399999999997,0.39449999999999996,0.0,94.3115195
2024-04-23,84.986636875,3.3147500000000005,1.8399999999999999,1.447,1.415243125,0.49,0.0,0.42131399999999997,0.39449999999999996,0.0,94.309444
2024-04-25,84.986636875,3.2772500000000004,1.848,1.447,1.415243125,0.49,0.0,0.42131399999999997,0.39449999999999996,0.0,94.279944
2024-04-29,84.986636875,3.27625,1.849,1.447,1.415243125,0.49,0.0,0.42131399999999997,0.39449999999999996,0.0,94.279944
2024-05-03,84.983137125,3.27625,1.847,1.447,1.415243125,0.49,0.0,0.42131399999999997,0.39449999999999996,0.0,94.27444425
2024-05-06,84.96569662499999,3.27625,1.8450000000000002,1.447,1.415243125,0.49,0.0,0.42131399999999997,0.39449999999999996,0.0,94.25500375
2024-05-07,84.96569662499999,3.26725,1.844,1.447,1.415243125,0.49,0.0,0.42131399999999997,0.39449999999999996,0.2525,94.49750375
