date,ZHONGTAI INTERNATIONAL SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,HUATAI FINANCIAL HOLDINGS (HONG KONG),ORIENT SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,TIGER BROKERS (HK) GLOBAL LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-04,0.0,0.0,14.807057717168362,26.07808857891446,0.0,0.0,0.0,0.0,59.11485370391718,0.0
2024-03-05,0.0,0.0,12.095820104591334,21.395692781265964,0.0,0.0,7.974350007697656,10.243473993627884,48.290663112817164,0.0
2024-03-06,0.0,0.0,12.88354911863425,21.22131824538816,0.0,0.0,7.9008089680513445,10.149006641887093,47.845317026039154,0.0
2024-03-07,61.36638989271953,0.0,5.129995952173002,8.31776014180026,0.0,0.0,3.0027529425330663,3.8888111878706924,18.29428988290345,0.0
2024-03-08,60.99120710490714,0.0,4.632102023873008,8.504540189482677,0.0,0.0,2.9739108429392154,3.8388261586001504,18.131770162855602,0.927643517342203
2024-03-11,60.962446730076046,0.0,4.6840586299182645,8.50052987758321,0.0,0.0,2.9655225777782306,3.8370159619427398,18.12322013522067,0.9272060874808377
2024-03-12,61.10759023796359,0.0,4.772238818901354,8.214406886561196,0.0,0.0,2.963829904768889,3.8461513885276135,18.166369120960873,0.9294136423164815
2024-03-13,60.91217470873347,0.0,4.915961032745445,8.22522914490503,0.0,0.0,2.9688548982070526,3.8609134242916983,18.1864269649909,0.9304398261264015
2024-03-14,60.658206503722965,0.0,5.171300503689367,8.383764750788862,0.0,0.0,2.9475716868269815,3.859335301878539,18.05605159043895,0.9237696626543354
2024-03-15,61.038089258924686,0.0,4.772136468459825,8.38092094947203,0.0,0.0,2.960087578751719,3.8582487449136926,18.132720663935412,0.8577963355426321
2024-03-18,60.994390921872764,0.0,4.842058063959222,8.373174743388603,0.0,0.0,2.957968395364919,3.8554865507471914,18.119739101949094,0.8571822227182048
2024-03-19,60.90187211593674,0.0,4.986397552069345,8.360473966850899,0.0,0.0,2.9534816269949196,3.8496383898493405,18.092254334903355,0.855882013395399
2024-03-20,60.66726709035816,0.0,5.217842620229075,8.356977082090214,0.0,0.0,2.9522462921402988,3.8654558890006983,18.084686997367108,0.8555240288144467
2024-03-21,60.919949886630306,0.0,5.521329293190312,7.690024313361671,0.0,0.0,2.964542574537049,3.8815557439924286,18.160010800455108,0.8625873878331235
2024-03-22,60.860305930256885,0.0,5.6855098513740066,7.609066265762462,0.0,0.0,2.961640125531232,3.8777554890367614,18.142231158581815,0.8634911794568333
2024-03-25,60.84966751131198,0.0,5.700248076159719,7.607736196294729,0.0,0.0,2.961122429013973,3.877077654989959,18.139059885406137,0.8650882468235036
2024-03-26,60.83621583003056,0.0,5.7848896711056526,7.592099145230667,0.0,0.0,2.9543572815354158,3.8682198644897006,18.097618365108037,0.8665998424999695
2024-03-27,60.80016350537766,0.0,5.8389797792905735,7.591085927620372,0.0,0.0,2.947377554262794,3.865927507601938,18.086893483492023,0.8695722423546468
2024-03-28,60.63148814746301,0.0,6.004222679302321,7.488583192049683,0.0,0.0,2.9489226112983515,3.867954081525573,18.09637488908515,0.9624543992759079
