date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG BANK LTD,BNP PARIBAS,DBS BANK (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,ABN AMRO CLEARING HONG KONG LTD
2024-03-01,39.73254974538904,18.274306336989703,12.111640130408201,6.991612419539892,8.704037000850432,0.0,2.839007046130529,4.292996713961312,4.650431827651928,2.4034187790789607
2024-03-04,39.873444391415966,18.36985900713648,12.062359380516599,6.9616447037362095,8.666126115839722,0.0,2.7262323870807115,4.274595907716592,4.513292356943639,2.552445749614086
2024-03-05,39.66048437251467,18.40239678709461,12.068851995615377,6.966446976968229,8.676432529526243,0.0,2.805989802433795,4.276702269398044,4.515626086063803,2.6270691803852304
2024-03-06,39.653893754000535,18.465914275896537,12.074915280467598,6.99985316190406,8.679557804739563,0.0,2.8139044693227246,4.278053356202846,4.516997762485145,2.5169101349809924
2024-03-07,39.642778902876195,18.371938572171427,12.039575696089821,6.968074909305446,8.654198202559149,0.0,3.5367971221636303,4.2655500100203865,4.440210695489255,2.0808758893246884
2024-03-08,39.579946413391184,18.378713256514175,12.095830126754583,7.019748764572195,8.736130986895434,0.0,4.690962452678375,4.297182479062378,4.472862715012536,0.728622805119143
2024-03-11,39.4900770526385,18.50332921792469,12.084169638694544,7.006314491929684,8.727371466468616,0.0,4.697220019140427,4.2935241761696075,4.524753602030242,0.6732403350036916
2024-03-12,39.44142943389248,18.50552146681343,12.089230557882859,7.012390377249078,8.731081655235075,0.0,4.688917789473198,4.295322328590366,4.526648594653781,0.7094577962097275
2024-03-13,39.54176926740616,18.52487868215369,12.03498235458903,7.012638133454145,8.707307005918752,0.0,4.803238740538152,4.312706520457348,4.498660024307417,0.5638192711753078
2024-03-14,39.51561436332232,18.47830930885256,12.05706854658646,7.039671811510397,8.742663081107478,0.0,5.094715098959302,4.316096687554278,4.399049073318574,0.35681202878862994
2024-03-15,39.489582156112924,18.50214053271207,12.027617376643542,7.033702741860736,8.732119218017143,0.0,4.870336657794374,4.313145177345831,4.455114710116846,0.5762414293965338
2024-03-18,39.67692482859659,18.515408480701762,12.05153360313769,7.04829171762255,8.746945729116568,0.0,3.452471497638596,4.312339855358497,4.46281973130502,1.7332645565227314
