date,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,KINGSTON SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,HANG SENG BANK LTD,CHIEF SECURITIES LTD,HANG SENG SECURITIES LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,66.5708585248121,14.21722384065787,0.0,6.1296524113181174,3.3773968741034803,4.319819114788408,0.0,2.8872805964062724,1.4691096044427925,1.028659033470968
2024-03-04,66.55671530052358,14.229506516443399,0.0,6.120964954975471,3.3742817372288223,4.3395325228229105,0.0,2.8842029866398513,1.4656154913914434,1.0291804899745172
2024-03-05,66.57190805265313,14.247920692715796,0.0,6.105227288769805,3.352661900247992,4.344268347373602,0.0,2.8863416928369086,1.4622566067060303,1.0294154186967377
2024-03-06,66.59690447511066,14.241238259168721,0.0,6.102247706042665,3.3476491824153007,4.329957736559462,0.0,2.8902095325152026,1.4619911645523858,1.0298019436356007
2024-03-07,66.59280793468888,14.226215895693963,0.0,6.116369217047852,3.3415717274823153,4.336608101034331,0.0,2.8882902925961176,1.4684119720607447,1.0297248593957915
2024-03-08,66.60895551987551,14.228400678595932,0.0,6.127020866641438,3.3380423618845807,4.336251177381802,0.0,2.8899178927606437,1.4652180381279725,1.0061934647321278
2024-03-11,66.61119020952317,14.226937648730582,0.0,6.12796702901419,3.3350067817101827,4.3371668847117135,0.0,2.889792666362373,1.4657115580413917,1.0062272219063941
2024-03-12,66.61675156137495,14.227327651098202,0.0,6.126424094374478,3.340625207772676,4.329877914386485,0.0,2.8879402903850577,1.4647644255234864,1.0062888550846645
2024-03-13,66.61827619278276,14.245807011849134,0.0,6.1208019190235925,3.3305915602882563,4.328192003393349,0.0,2.886976858560999,1.4627240817166856,1.006630372385223
2024-03-14,60.03855536274325,12.843817265859562,9.880168021434642,5.522927374237165,2.9861176676469996,3.901147842981227,0.0,2.602404747558876,1.3176537140262268,0.9072080035120543
2024-03-15,60.04396365102232,12.854518255833657,9.881036057856333,5.515695469951018,2.981680312440931,3.901730909773462,0.0,2.602633385584056,1.3114542499576392,0.9072877075805874
