date,THEIA SECURITIES LTD,QUAM SECURITIES LTD,ROOFER SECURITIES LTD,CITIBANK N.A.,VALUABLE CAPITAL LTD,FUTU SECURITIES INTERNATIONAL,BONUS EVENTUS SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD
2024-03-08,44.04490889309452,55.95509110690548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,49.53052287043894,50.46947712956106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,41.658015948080305,42.447730435919325,0.0,1.5209885656724107,1.657862157527663,12.715402892800295,0.0,0.0,0.0,0.0
2024-03-18,40.95262573041947,41.72896807698414,0.0,1.4952338476191918,1.6297897752613637,12.651280927075224,0.0,0.0,1.5421016426406222,0.0
2024-03-28,40.97740664261348,41.754218763000445,0.0,1.4961386310860998,1.6307759800918258,12.598425196850393,0.0,0.0,1.5430347863577571,0.0
2024-04-17,39.48089728315291,40.523926819819756,0.0,1.44576904241556,1.5758736377391038,12.145044696044966,0.0,0.0,1.4910863733709516,3.3374021474567472
2024-04-25,38.026146275528525,39.030743345512406,0.0,1.392496849634276,1.5178074862545494,11.725696424422901,0.0,3.6565362168859603,1.4361443747492029,3.2144290270121862
2024-04-26,35.76394406483394,36.70877694793157,0.0,1.309656231791938,1.4275120504263998,10.94867312887335,6.028523756554902,3.439006303299963,1.350707134911807,3.023200381376132
2024-04-29,35.6224279835391,36.56352221167036,0.0,1.3044739896591748,1.421863458900496,11.301044634377968,6.004669199113644,3.4253983328057402,1.3453624564735676,3.0112377334599554
2024-04-30,35.64593617189769,36.548055856188796,0.0,1.3053348467650396,1.4228017844415701,11.282105429876198,6.008631840139376,3.4276588443365097,1.3462502969669772,3.013224929387852
2024-05-03,35.58956856337137,36.54297235326675,0.0,1.3032706955169595,1.4205518804522574,11.369686108109532,5.999130274358907,3.422238621089529,1.3441214453258834,3.008460058508816
2024-05-07,35.58066003557078,36.56017390158751,0.0,1.3029444700612607,1.3938475726236743,11.393188854489164,5.997628614715763,3.421381990646202,1.3437849944008957,3.0063895659047493
2024-05-08,35.5619198103891,36.69892685496083,0.0,1.3022582131805913,1.3667785897689118,11.308183553887682,5.994469682006716,3.4195799591809863,1.343077226940549,3.0048061096846403
2024-05-09,35.552557098663854,36.689264792996774,0.0,1.3019153557559402,1.3664187454748897,11.331534259198316,5.99289146317383,3.4186796551043246,1.3427236227209898,3.0040150069110774
2024-05-10,35.543199315654405,36.67960781733237,0.0,1.3015726788181878,1.3660590906099888,11.354872672237942,5.99131407514641,3.4177798249654536,1.3423702046456538,3.0032243205895903
