date,THE HONGKONG AND SHANGHAI BANKING,REALINK FINANCIAL TRADE LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),ICBC (ASIA) SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-27,98.69401472235447,0.0,0.0,1.3059852776455407,0.0,0.0,0.0,0.0,0.0
2024-04-26,97.77673227576193,0.0,0.0,1.3053784544328324,0.0,0.0,0.0,0.0,0.9178892698052483
2024-04-29,97.7782356190332,0.0,0.0,1.3038609983698375,0.0,0.0,0.0,0.0,0.9179033825969671
2024-05-03,97.81742576860584,0.0,0.0,1.2708139459347676,0.0,0.0,0.0,0.0,0.9117602854593837
2024-05-14,95.01826039195714,0.0,2.8608756400285116,1.2344480492688936,0.0,0.0,0.0,0.0,0.8864159187454564
2024-05-16,95.00407115505445,0.0,2.860448420649436,1.2342637070620075,0.0,0.0,0.0,0.0,0.9012167172341083
2024-05-20,94.97074312354242,0.0,2.8967647817294084,1.2338307195150213,0.0,0.0,0.0,0.0,0.8986613752131429
2024-05-21,94.97641432853334,0.0,2.8969377628638853,1.2279328695695013,0.0,0.0,0.0,0.0,0.8987150390332692
2024-05-23,94.97499646378826,0.0,2.8968945156434915,1.2294073980908562,0.0,0.0,0.0,0.0,0.8987016224773934
2024-05-24,93.88250059673113,0.0,2.8635715843091623,1.2152655444309215,0.0,0.0,1.15029840245761,0.0,0.8883638720711753
2024-06-07,92.95982116285771,0.0,2.8233599809536396,1.2181856224081011,0.0,0.0,1.1385458381548692,0.9807999106106411,0.8792874850150498
2024-07-03,92.93267347623423,0.0,2.85246922571194,1.2170997754602226,0.0,0.0,1.1382133408970858,0.9805134809652253,0.8790307007312965
2024-07-19,92.88520315924549,0.0,2.9239840760717475,1.2164780768693304,0.0,0.0,1.1376319377578872,0.9800126314360761,0.8566901186194739
2024-08-26,92.84184414569917,0.0,2.9226191539867274,1.262590438360051,0.0,0.0,1.1371008887110825,0.9795551594220551,0.856290213820918
2024-08-29,92.84116698230285,0.0,2.9225978371900756,1.263310602422029,0.0,0.0,1.1370925950035757,0.9795480148106492,0.8562839682708132
2024-10-04,91.55107614176323,0.0,2.881986362529718,1.245756046723134,1.3816560525129993,0.0,1.1212919239290817,0.965936532287849,0.8522969402539845
2024-10-07,91.55107614176323,0.0,2.881986362529718,1.2536676638900486,1.3816560525129993,0.0,1.1212919239290817,0.965936532287849,0.8443853230870699
2024-10-09,91.55150149540017,0.0,2.8818412714623274,1.253604549094687,1.381586494254837,0.0,1.121235473473863,0.9658879030631161,0.8443428132510039
2024-10-14,91.5409676680518,0.0,2.881509689588704,1.264966213993264,1.3814275302470425,0.0,1.1211064652030918,0.9657767689337731,0.8442456639823154
2024-10-17,91.53175255737902,0.0,2.88121961803527,1.2749055262683893,1.3812884667446352,0.0,1.1209936073164426,0.9656795475471344,0.8441606767091109
2024-10-18,91.53109440618145,0.0,2.881198900873312,1.2756154005725726,1.3812785347086678,0.0,1.120985546908284,0.9656726039113696,0.8441546068443394
2024-10-23,91.51267001456844,0.0,2.8806189412736907,1.2954877372403928,1.3810004956792512,0.0,1.1207599025319899,0.9654782226430163,0.8439846860632175
2024-11-05,91.5034605999811,0.0,2.880329049020584,1.305420905783337,1.3808615181353985,0.0,1.1206471144055627,0.9653810613512963,0.8438997513227267
2024-11-18,91.51078330647846,0.0,2.877846649628455,1.304295834304406,1.379671428484218,0.0,1.119681289436177,0.9645490517721523,0.8431724398961332
2024-11-22,91.50946885567559,0.0,2.8778053125564456,1.3042770995428332,1.37965161103592,0.0,1.1196652064575738,0.9659715860714797,0.8431603286601616
2024-12-23,91.47005288300876,0.0,2.8765657523561887,1.3467884152003564,1.379057352202705,0.0,1.1191829318500868,0.9655555120836221,0.8427971532982694
2025-01-10,90.40631970088774,0.0,2.8431132906499745,1.3311262013785587,1.3630198730568008,1.1629305423946366,1.1061676117103345,0.9543267721298268,0.8329960077921312
2025-01-15,90.40503678717857,0.0,2.8444919984915464,1.3311073119905377,1.3630005310806337,1.1629140397923783,1.106151914604221,0.9543132297258993,0.8329841871362124
2025-03-05,90.39862276475081,0.0,2.844290188546854,1.331012873091376,1.3629038294334017,1.16283153380601,1.106073435755686,0.9542455234710698,0.840019851144793
2025-03-13,90.39990549642579,0.0,2.842911575659086,1.3310317597991586,1.3629231686651122,1.162848034066694,1.1060891306345184,0.9542590639534492,0.8400317707961961
2025-03-14,90.37954955999831,0.0,2.8424275764421134,1.3527954853141833,1.362691134101647,1.162650061838938,1.1059008214807224,0.9540966035224964,0.8398887573015879
2025-04-11,90.36930203261515,0.0,2.845455278170416,1.3542364582567734,1.3641426477078533,1.1638884953634419,1.107078806755098,0.9551128897277785,0.8407833914034869
2025-04-28,85.0343170222654,5.509967689244771,2.677472778414237,1.6665213334175266,1.2849463820540499,1.0951779096134102,1.0417220018836526,0.8987274487065507,0.7911474344004135
2025-04-29,85.00591659455313,5.508127427047872,2.6765785350692237,1.6993635193768053,1.2845172255897475,1.0948121335109704,1.0413740794042725,0.8984272846688561,0.7908832007791269
