date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF COMMUNICATIONS (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,17.430111704296266,18.020416919363978,15.116792268933619,0.0,6.950987073314677,4.385377349315854,6.328737186721739,0.0,5.170280285228949,1.650457035840426,75.0531598230155
2024-03-04,17.448408218387694,17.99800064764264,15.085145819997111,0.0,6.968648706092815,4.41893986005621,6.351543084037771,0.0,5.168970139420252,1.6530694911974775,75.09272596683196
2024-03-05,17.47728204938232,17.99570505603963,15.048927153527616,0.0,6.984225076341518,4.404697577074178,6.352359064692806,0.0,5.175744898974101,1.652931274949129,75.0918721509813
2024-03-06,17.47360174730933,18.024429998087776,15.046541420893073,0.0,6.987992971459549,4.4279179067967815,6.3338288329348265,0.0,5.1768552441817075,1.6536463937992814,75.12481451546232
2024-03-07,17.504483379640302,18.03635866126049,15.046288461120986,0.0,6.990216450237336,4.4322326575061055,6.294314297863618,0.0,4.8782291601670105,1.654992499870157,74.837115567666
2024-03-08,17.43108013146383,18.057187248946448,15.048218044079565,0.0,6.9905770143634625,4.429594529983274,6.331946676177637,0.0,4.878402327097985,1.6531055476100904,74.82011151972229
2024-03-11,17.358441062896272,18.045456896043106,15.052346503323724,5.512144750515477,6.985649304639721,4.448235695304059,6.353843062504316,0.0,4.880428312885086,1.658904620638639,80.2954502087504
2024-03-12,17.3635894378652,18.003048545408422,15.057164216951389,5.512144750515477,7.026188731220643,4.394980373875045,6.406540711418253,0.0,4.8810778090642835,1.6593853728068086,80.30411994912552
2024-03-13,17.33447866816449,17.97620694997908,15.062478355267903,5.512155134762309,7.027883382613441,4.436337079141856,6.402776073396161,0.0,4.887029268511338,1.6592848595472487,80.29862977138382
2024-03-14,17.313915888352312,17.957252093868565,15.058747033371064,5.512155134762309,7.044613558065752,4.438187974989309,6.451373062560063,0.0,4.892969562489286,1.6600051224456007,80.32921943090426
2024-03-15,17.238626348950007,18.001529368557005,15.05610289644613,5.512155134762309,7.043886420411395,4.506010087113869,6.407713181824789,0.0,4.892897449664061,1.6602454985296857,80.31916638625925
2024-03-18,17.208015836804275,18.046359508238844,15.053512916252942,5.512155134762309,7.026585351759383,4.503612335675122,6.39614664522275,0.0,4.893963277220894,1.6634665380564235,80.30381754399293
2024-03-19,17.099464689443668,18.1011472272039,15.132209221763354,5.512155134762309,7.012036589270143,4.527349473978507,6.368017595487049,0.0,4.895796673689426,1.6685805392453301,80.31675714484369
2024-03-20,17.142121769231355,18.068218107445105,15.080354607832716,5.512155134762309,7.0310924033359745,4.527980461199229,6.4578668104528125,0.0,4.897290995653749,1.6684423229969814,80.38552261291024
2024-03-21,17.17476010604123,18.093806141595945,15.053958188911102,5.512155134762309,7.011992119694588,4.529488821126862,6.446751820324727,0.0,4.909051251341952,1.6684423229969814,80.4004059067957
2024-03-22,17.180161548951485,18.106263632153645,15.05464326075074,5.512155134762309,7.032542640326477,4.536519821586347,6.440281713419847,0.0,4.9142422690281995,1.6685625110390239,80.44537253201808
2024-03-25,17.15535478514914,18.094659476694446,15.056529876484293,5.512155134762309,7.026971924577809,4.537649589181545,6.4279141715928105,0.0,4.91542338095496,1.6685625110390239,80.39522085043633
2024-03-26,17.159452332028884,18.08818735063046,15.048537371688466,5.512155134762309,7.077982277607118,4.533731459010962,6.390758038395385,0.0,4.916171190952547,1.6679603689483913,80.39493552402452
2024-03-27,17.162847331727676,18.09408257409264,15.040127646123496,5.512155134762309,7.078098090804431,4.545606037564756,6.391788134047317,0.0,4.9157685610117055,1.6681045945988422,80.40857810473318
2024-03-28,17.193178983578257,18.083397857155067,15.039731025584757,5.512155134762309,7.088168755016406,4.537775786625691,6.48900509232876,0.0,4.917336954866338,1.6681046546928628,80.52885424461044
2024-04-02,17.21294415948703,18.095422670761415,15.041662195025493,5.512155134762309,7.088054576376466,4.541273258649126,6.454579270882413,0.0,4.9215156527120705,1.6679243726297994,80.53553129128612
