date,BOCOM INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,GARY CHENG SECURITIES LTD,DBS BANK (HONG KONG) LTD,DL SECURITIES (HK) LTD,BANK OF CHINA (HONG KONG) LTD,SEAZEN RESOURCES SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,1.376875,0.0,0.0,1.2275,0.0,0.0,2.604375
2024-03-04,0.0,1.076875,1.376375,0.0,0.0,1.2275,0.0,0.0,3.68075
2024-03-05,0.0,1.076875,1.375375,1.4155,0.0,1.2525,0.0,0.0,5.1202499999999995
2024-03-06,0.0,1.076875,1.375875,1.4155,0.0,1.2125000000000001,0.0,0.0,5.08075
2024-03-07,0.0,1.076875,1.374875,1.4155,0.0,1.225,0.0,0.0,5.09225
2024-03-08,0.0,1.076875,1.374875,1.4155,0.0,1.2515,0.0,0.0,5.1187499999999995
2024-03-11,0.0,1.083875,1.358375,1.4155,0.0,1.2255,0.894,0.0,5.97725
2024-03-12,0.0,1.076375,1.354875,1.4155,0.0,1.261,0.894,0.0,6.00175
2024-03-13,0.0,1.076375,1.354875,1.4155,0.0,1.2125000000000001,0.8959999999999999,0.0,5.95525
2024-03-14,0.0,1.076375,1.353375,1.4155,0.0,1.2125000000000001,0.8959999999999999,0.0,5.95375
2024-03-18,0.0,1.076375,1.405375,1.4155,0.0,1.2125000000000001,0.8959999999999999,0.0,6.00575
2024-03-19,0.0,1.076375,1.318875,1.4155,0.0,1.2435,0.9315,0.0,5.98575
2024-03-20,0.0,1.076375,1.333875,1.4155,0.0,1.2125000000000001,0.9315,0.0,5.96975
2024-03-21,0.0,1.084875,1.410375,1.4155,0.0,1.2489999999999999,0.931,0.0,6.09075
2024-03-22,0.0,1.084875,1.3663750000000001,1.4155,0.0,1.2275,0.931,0.0,6.02525
2024-03-25,0.0,1.084875,1.348875,1.4155,0.0,1.2275,0.931,0.0,6.00775
2024-03-27,0.0,1.084875,1.353875,1.4155,0.0,1.2275,0.931,0.0,6.0127500000000005
2024-03-28,0.0,1.084875,1.354875,1.4155,0.0,1.2275,0.931,0.0,6.01375
2024-04-02,0.0,1.087375,1.372375,1.478,0.0,1.2125000000000001,0.931,0.0,6.08125
