date,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,EVERBRIGHT SECURITIES INVESTMENT,HSBC BROKING SECURITIES (HONG KONG) LTD
2024-03-05,0.0,46.833285998295935,53.166714001704065,0.0,0.0,0.0,0.0
2024-03-07,0.0,47.16819221967963,52.83180778032036,0.0,0.0,0.0,0.0
2024-03-13,0.0,44.72965592572365,50.43691971600218,4.833424358274168,0.0,0.0,0.0
2024-03-14,62.570752289801376,16.857054646495833,18.75064320263456,1.821549861068231,0.0,0.0,0.0
2024-03-15,60.952380952380956,18.005012531328322,18.265664160401002,1.7744360902255638,1.0025062656641603,0.0,0.0
2024-04-05,61.53086419753087,17.738271604938273,17.99506172839506,1.748148148148148,0.9876543209876543,0.0,0.0
2024-04-08,61.409561360276,17.900443568260226,17.959586002957124,1.7447018235584033,0.9857072449482503,0.0,0.0
2024-04-11,59.64576352321686,20.25849688846338,17.443752991862134,1.6945907132599332,0.9573958831977023,0.0,0.0
2024-04-15,59.64576352321686,20.25849688846338,17.443752991862134,1.6945907132599332,0.9573958831977023,0.0,0.0
2024-04-18,61.409561360276,17.900443568260226,17.959586002957124,1.7447018235584033,0.9857072449482503,0.0,0.0
2024-04-22,61.3974573765645,17.916625603626688,17.956046122006505,1.7443579383068886,0.9855129594954173,0.0,0.0
2024-04-24,76.99563730692135,10.718075698620446,10.653224855559486,1.0435090201627166,0.5895531187359981,0.0,0.0
2024-04-30,76.98655977363829,10.728601744871492,10.651968875265268,1.0433859938693704,0.5894836123555766,0.0,0.0
2024-05-02,77.03196885690693,10.793912940898903,10.54028547835319,1.0440014155951398,0.5898313082458416,0.0,0.0
2024-05-03,75.67066458079842,12.370357494640476,10.35401819340634,1.025551885972536,0.5794078451822238,0.0,0.0
2024-05-06,75.69259302190797,12.344963486727716,10.357018662339168,1.0258490784745566,0.579575750550597,0.0,0.0
2024-05-08,77.16664712091004,10.730620382315,10.478480121965521,1.0378796763222704,0.5863726984871585,0.0,0.0
2024-05-09,77.18475073313783,10.70967741935484,10.480938416422287,1.0381231671554252,0.5865102639296188,0.0,0.0
2024-05-10,75.41547277936964,12.75644699140401,10.240687679083095,1.0143266475644699,0.5730659025787965,0.0,0.0
2024-05-14,75.2,13.005714285714284,10.211428571428572,1.0114285714285716,0.5714285714285714,0.0,0.0
2024-05-20,74.54401268834259,13.764585929534384,10.122351874929194,1.0026056417808995,0.5664438654129376,0.0,0.0
2024-05-21,75.2,13.005714285714284,10.211428571428572,1.0114285714285716,0.5714285714285714,0.0,0.0
2024-05-22,77.28349565675178,11.45564622269018,9.802579626217426,0.931824164253751,0.5264543300868649,0.0,0.0
2024-06-05,64.52938758734074,17.887381833127826,15.306206329634197,1.4549938347718867,0.8220304151253596,0.0,0.0
2024-07-24,64.52938758734074,17.887381833127826,15.306206329634197,1.4549938347718867,0.8220304151253596,0.0,0.0
