date,CHINA MERCHANTS SECURITIES (HK) CO LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,SINOPAC SECURITIES (ASIA) LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,CITIBANK N.A.,THE BANK OF EAST ASIA LTD,UOB KAY HIAN (HONG KONG) LTD
2024-03-01,0.0,57.55647930136184,42.44352069863815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,30.247078877947015,22.22598753288826,29.10680383193907,18.420129757225656,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,30.278096041556203,22.146233409226603,29.13665168932189,18.439018859895302,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,27.197812986019915,19.899269780999987,26.172491249031925,16.563161234075764,0.0,10.167264749872402,0.0,0.0,0.0
2024-03-14,0.0,23.217140575049704,16.897867999598667,22.37668923331512,14.138976649939275,14.690141848802817,8.679183693294416,0.0,0.0,0.0
2024-03-15,0.0,23.217739150497366,16.895725492182525,22.3772661405674,14.139341175633142,14.690520584427254,8.679407456692312,0.0,0.0,0.0
2024-03-19,0.0,23.213871907808336,16.87252203604836,22.404336839390595,14.139341175633142,14.690520584427254,8.679407456692312,0.0,0.0,0.0
2024-03-20,0.0,23.212882059740117,16.87273953931045,22.40462565313979,14.13952344552871,14.69070995956288,8.679519342718054,0.0,0.0,0.0
2024-03-21,0.0,23.21228360179848,16.874882666952306,22.404048033087392,14.139158910436722,14.690331214173963,8.679295573551137,0.0,0.0,0.0
2024-03-28,0.0,23.206001655960655,16.878048105955294,22.397984820233958,14.135332426494362,14.705686297632138,8.67694669372359,0.0,0.0,0.0
2024-04-02,0.0,23.225756373603495,16.762144927443888,22.417051692349723,14.149945123961007,14.760768710434075,8.68433317220781,0.0,0.0,0.0
2024-04-03,0.0,23.226451393790814,16.761356675931516,22.417722512417573,14.148665951216374,14.761210419718761,8.684593046924956,0.0,0.0,0.0
2024-04-08,0.0,23.22646936900263,16.761369647733854,22.417739861745016,14.148676901027994,14.761221843585432,8.684522376905079,0.0,0.0,0.0
2024-04-09,0.0,22.111121639097888,15.954023708034343,21.3878884453375,13.469249717670644,14.052379917923002,8.267486874672658,4.757849697263964,0.0,0.0
2024-04-15,0.0,22.111393147695342,15.95421961191798,21.3881510731539,13.469415110325041,14.05255247099492,8.267588393437848,4.756680192474973,0.0,0.0
2024-04-17,0.0,22.118183030351172,15.928411152779237,21.39471886537947,13.473551247176797,14.056867675453347,8.270127173091542,4.758140855768438,0.0,0.0
2024-04-18,0.0,22.118454712394943,15.93106344442408,21.39498166096893,13.473716745488057,14.05704033875638,8.270228756709399,4.75451434125821,0.0,0.0
2024-04-24,0.0,22.11166466296073,15.923716950018669,21.427707877780616,13.432742222328345,14.083423598898664,8.267689914696225,4.753054773316751,0.0,0.0
2024-04-26,0.0,22.111121639097888,15.925781716678761,21.427181650701783,13.432412337641628,14.08307773461385,8.267486874672658,4.752938046593429,0.0,0.0
2024-04-29,0.0,22.100524559542215,15.921144696769476,21.419291344949524,13.427466010958902,14.108578320692015,8.271807233612547,4.751187833475319,0.0,0.0
2024-05-03,0.0,22.100795838082053,15.920112649360993,21.419554261518076,13.427630829823872,14.108751500044193,8.271908768025547,4.751246153145265,0.0,0.0
2024-05-06,0.0,22.10502864577382,15.925617136233154,21.423656595872757,13.42946590172681,14.111453648523737,8.27349302767463,4.731285044195098,0.0,0.0
2024-05-07,0.0,22.102315120985885,15.92734485110689,21.421026713588837,13.427817354276497,14.118314302645318,8.272477406805137,4.730704250591437,0.0,0.0
2024-05-09,0.0,22.092680333263484,15.921286107817064,21.45214515579918,13.422709428313146,14.112943712453141,8.269330566107755,4.7289046962462296,0.0,0.0
2024-05-10,0.0,22.09213815110694,15.92334950518352,21.451618693181352,13.422380018144947,14.112597363067653,8.26912762633712,4.728788642978468,0.0,0.0
2024-05-13,0.0,22.089427639450196,15.929984236078349,21.452667504619154,13.420733209798394,14.110865871104409,8.268113076877535,4.728208462071966,0.0,0.0
2024-05-14,0.0,22.08858308903635,15.92990605768608,21.45256222296724,13.420667345869727,14.112023526566354,8.268072500077341,4.728185257796908,0.0,0.0
2024-05-21,0.0,22.064760262807415,15.92375569293293,21.46006493028795,13.40619298032223,14.162985010022174,8.259155275571649,4.723085848055655,0.0,0.0
2024-05-22,0.0,22.04043899667433,15.916335716605111,21.456670916684157,13.39452265470824,14.21221141302292,8.257849050010254,4.721971252294986,0.0,0.0
2024-05-23,0.0,22.035624370481575,15.931944312857132,21.452937992382175,13.392192342642339,14.209738843556083,8.256412390729764,4.721149747350934,0.0,0.0
2024-05-28,0.0,22.011022658945322,15.924990841029684,21.446873446418348,13.367682375887425,14.275537175706585,8.254078379767831,4.7198151222448015,0.0,0.0
2024-05-30,0.0,22.01952786067367,16.101117780102374,21.302994592798083,13.35426987662666,14.261213777945315,8.245796628522259,4.715079483331639,0.0,0.0
2024-06-03,0.0,22.01548713563008,16.100609873847525,21.29908535621957,13.35181928217837,14.274500644431779,8.244283471784657,4.714214235908018,0.0,0.0
2024-06-04,0.0,22.011840170819323,16.098837329706274,21.308972918325154,13.350349357173725,14.272929139831348,8.243375844279784,4.7136952398643945,0.0,0.0
2024-06-05,0.0,22.01173246815676,16.098758559025086,21.308868654751464,13.35028403468543,14.273348597437497,8.243335509917916,4.713672176025848,0.0,0.0
2024-06-07,0.0,22.011694308929247,16.099989672217113,21.30887908106292,13.349067330746896,14.27335558130794,8.24333954333634,4.713674482399546,0.0,0.0
