date,UOB KAY HIAN (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,ROCTEC SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,IFAST SECURITIES (HK) LTD,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,62.268064999423764,0.0,0.0,0.0,25.527255964042872,0.0,0.0,12.204679036533364,0.0,0.0
2024-03-11,62.23220456116102,0.0,0.0,0.0,25.570145127850726,0.0,0.0,12.197650310988251,0.0,0.0
2024-03-12,62.132014719411224,0.0,0.0,0.0,25.689972401103955,0.0,0.0,12.17801287948482,0.0,0.0
2024-03-14,62.10344827586207,0.0,0.0,0.0,25.724137931034484,0.0,0.0,12.172413793103448,0.0,0.0
2024-03-15,62.06064782908339,0.0,0.0,0.0,25.775327360441075,0.0,0.0,12.164024810475533,0.0,0.0
2024-03-18,62.08204067562909,0.0,0.0,0.0,25.749741468459153,0.0,0.0,12.168217855911754,0.0,0.0
2024-03-20,62.0463941203491,0.0,0.0,0.0,25.792374827744602,0.0,0.0,12.161231051906293,0.0,0.0
2024-03-26,60.21017699115044,0.0,0.0,0.0,24.76769911504425,0.0,0.0,11.714601769911505,0.0,3.307522123893805
2024-04-02,60.203517310032076,0.0,0.0,0.0,24.776020351731002,0.0,0.0,11.713306050215683,0.0,3.3071562880212366
2024-04-05,60.335133943335904,0.0,0.0,0.0,24.694080035277256,0.0,0.0,11.674567302392239,0.0,3.2962187189945977
2024-04-11,45.82600686594658,0.0,0.0,24.039186134137154,18.764129615674456,0.0,0.0,8.867118814368249,0.0,2.503558569873566
2024-04-15,45.901913275962904,0.0,0.0,23.986966329685018,18.72336870248141,0.0,0.0,8.84785696382321,0.0,2.539894728047456
2024-04-16,46.286615218654056,0.0,0.0,23.823749066467514,18.579371006555473,0.0,0.0,8.787652476972866,0.0,2.5226122313500956
2024-04-18,46.28215767634855,0.0,0.0,23.82572614107884,18.58091286307054,0.0,0.0,8.78838174273859,0.0,2.5228215767634854
2024-04-19,46.32365145228216,0.0,0.0,23.82572614107884,18.58091286307054,0.0,0.0,8.78838174273859,0.0,2.4813278008298756
2024-04-23,46.31395638112613,0.0,0.0,23.807944273986234,18.625093291317686,0.0,0.0,8.781822705033585,0.0,2.4711833485363632
2024-04-24,46.503554306496945,0.0,0.0,23.73119523888246,18.515457100347167,0.0,0.0,8.753512977351628,0.0,2.4962803769218054
2024-04-29,44.54372924244821,0.0,0.0,22.702830934682904,17.713110865095683,4.238494385576467,0.0,8.374189467025147,0.0,2.427645105171596
2024-04-30,5.683,0.0,0.0,2.871,2.233,0.54,0.0,1.059,0.0,0.307
2024-05-02,45.24258125294395,0.0,0.0,22.53886010362694,17.255456115559742,4.239284032030146,0.0,8.31370701837023,0.0,2.4101114774689907
2024-05-06,45.23828217005574,0.0,0.0,22.540629661615768,17.256810865981002,4.239616864253748,0.0,8.314359739342073,0.0,2.4103006987516684
2024-05-07,45.241834170854275,0.0,0.0,22.542399497487438,17.250314070351756,4.239949748743719,0.0,8.31501256281407,0.0,2.4104899497487438
2024-05-08,45.22613065326633,0.0,0.0,22.542399497487438,17.2660175879397,4.239949748743719,0.0,8.31501256281407,0.0,2.4104899497487438
2024-05-09,45.33343781835279,0.0,0.0,22.498236815296607,17.23219183449573,4.231643288143562,0.0,8.298722670637098,0.0,2.4057675730742107
