date,LEGO SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,SUNHIGH FINANCIAL HOLDINGS LTD,FUTU SECURITIES INTERNATIONAL,BANK OF COMMUNICATIONS TRUSTEE LTD,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-05,0.0,0.0,79.8493065366328,0.0,12.137507785322578,0.0,2.2695164745021192,0.0,5.743669203542511
2024-03-06,0.0,58.10325080417195,31.987157617701527,0.0,4.8244224583292725,0.0,0.9101764304513111,1.8715274393215715,2.303465250024369
2024-03-07,0.0,58.13867124480242,31.95867501932923,0.0,4.821044813374001,0.0,0.9095392033313243,1.870217157050755,2.301852562112274
2024-03-08,0.0,58.14575100920001,31.962566747240302,0.0,4.80945451445759,0.0,0.9096499613368323,1.8704449004195107,2.302132867345758
2024-03-11,0.0,58.153904219247465,31.956340437447878,0.0,4.80851763244882,0.0,0.9094727614734189,1.8700805376481544,2.3016844117342683
2024-03-13,0.0,58.13988864887888,31.972375186345797,0.0,4.793574492683075,0.0,0.9090632510876508,1.8844503939882562,2.300648027016338
2024-03-14,0.0,58.055813783926645,31.9200646482322,0.0,4.7823894326874585,0.0,0.9077486739213649,1.8665354258945337,2.4674480353377928
2024-03-15,0.0,62.49898143772102,28.538756973756403,0.0,4.275788638820532,0.0,0.8115904238848779,1.668812437867701,2.206070087949458
2024-03-18,0.0,62.555051707826316,28.564360204003957,0.0,4.189910721082221,0.0,0.8123185332593874,1.670309594493198,2.208049239334921
2024-03-19,0.0,73.40190099529966,20.290286076232924,0.0,2.9762433521167013,0.0,0.5766326660667318,1.186480609616209,1.5684563006677816
2024-03-20,0.0,73.41040685704574,20.292637328255182,0.0,2.9650001738210108,0.0,0.576699486648615,1.1866180997887108,1.5686380544407403
