date,WELL LINK SECURITIES LTD,CCB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,VC BROKERAGE LTD,CHINA INDUSTRIAL SECURITIES,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-04,0.0,0.0,1.069460285132383,0.0,0.0,0.0,0.0,0.0,1.069460285132383
2024-03-08,0.0,0.0,1.074144602851324,0.0,0.0,0.0,0.0,0.0,1.074144602851324
2024-03-15,0.0,0.0,1.0816802443991853,0.0,2.346232179226069,0.0,0.0,0.0,3.4279124236252545
2024-04-02,0.0,0.0,1.0806619144602851,0.0,2.346232179226069,0.0,0.0,0.0,3.426894093686354
2024-04-08,0.0,0.0,1.084938900203666,0.0,2.346232179226069,0.0,0.0,0.0,3.431171079429735
2024-04-09,0.0,0.0,1.0808655804480654,3.204073319755601,2.346232179226069,0.0,0.0,0.0,6.631171079429735
2024-04-12,0.0,0.0,1.0806619144602851,3.204073319755601,2.346232179226069,0.0,0.0,0.0,6.630967413441955
2024-04-18,0.0,0.0,1.0841242362525458,3.204073319755601,2.346232179226069,0.0,0.0,0.0,6.634429735234216
2024-04-25,0.0,0.0,1.0831059063136457,3.204073319755601,2.346232179226069,0.0,0.0,0.0,6.633411405295315
2024-05-03,0.0,0.0,1.0831059063136457,3.204073319755601,2.346028513238289,0.0,0.0,0.0,6.633207739307536
2024-05-06,0.0,0.0,1.084938900203666,3.204073319755601,2.346028513238289,0.0,0.0,0.0,6.635040733197556
2024-05-17,0.0,0.0,1.0419653767820773,3.204073319755601,2.346028513238289,0.0,0.0,0.0,6.592067209775967
2024-05-22,0.0,0.0,1.0419653767820773,3.2,2.3501018329938903,0.0,0.0,0.0,6.592067209775967
2024-05-23,0.0,0.0,1.0336150712830958,3.2,2.3551934826883913,0.0,0.0,0.0,6.588808553971487
2024-05-30,8.864562118126273,6.010183299389002,1.0594806517311608,3.1973523421588594,2.3372708757637475,0.0,0.0,0.0,21.468849287169043
2024-05-31,8.844195519348268,6.010183299389002,1.0330040733197554,3.106517311608961,2.3266802443991854,0.0,0.0,0.0,21.320580448065172
2024-06-03,8.844195519348268,6.010183299389002,1.2635539714867619,3.105498981670061,2.3226069246435848,0.0,0.0,0.0,21.54603869653768
2024-06-04,8.783095723014258,6.007128309572302,1.70550916496945,3.1075356415478614,2.19857433808554,0.0,0.0,0.0,21.801843177189408
2024-06-05,8.691446028513239,6.007128309572302,1.8523523421588595,3.105295315682281,2.1378818737270877,0.0,0.0,0.0,21.794103869653767
2024-06-06,8.629124236252546,6.016904276985743,2.40591649694501,2.935641547861507,1.994297352342159,0.0,0.0,0.0,21.981883910386966
2024-06-07,8.589613034623218,6.011812627291242,2.789419551934827,2.7413441955193485,2.0177189409368634,0.0,1.6393075356415476,0.0,23.789215885947044
2024-06-11,8.589613034623218,6.011812627291242,2.95622199592668,2.7413441955193485,2.0217922606924645,0.0,1.6393075356415476,0.0,23.9600916496945
2024-06-12,8.589613034623218,6.011812627291242,2.9869755600814663,2.7372708757637474,2.0417515274949083,0.0,1.6393075356415476,0.0,24.00673116089613
