date,REALINK FINANCIAL TRADE LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,PRUDENTIAL BROKERAGE LTD,SINOPAC SECURITIES (ASIA) LTD,EVERBRIGHT SECURITIES INVESTMENT
2024-03-05,0.0,63.00392710274354,0.0,0.0,36.996072897256454,0.0,0.0,0.0
2024-03-20,0.0,40.48905632062637,35.73566254909965,0.0,23.775281130273974,0.0,0.0,0.0
2024-03-26,0.0,35.81008564485076,31.606000552964904,0.0,21.027777154484788,11.556136647699553,0.0,0.0
2024-04-29,0.0,35.811630541792674,31.607364079823917,0.0,21.024370182862878,11.556635195520533,0.0,0.0
2024-05-31,0.0,29.01211958449566,25.60611210831063,18.986878995531594,17.03249845667008,9.362390854992034,0.0,0.0
2024-08-26,26.287421401535983,21.395967466904782,18.88409221627903,13.966716309576077,12.561191256559272,6.904611349144853,0.0,0.0
2024-08-27,26.345124754500905,21.431259364859546,18.915240864102323,13.810464252123728,12.581910501001126,6.916000263412378,0.0,0.0
2024-08-29,26.119442807233145,21.24767138070944,18.75320601207453,13.69215877837346,12.474129266762352,6.856755282745334,0.0,0.8566364721017357
2024-09-02,26.023227670036047,21.16940219127452,18.684125584032724,13.641721525744902,12.42817882028179,6.831497330072869,0.0,1.2218468785571444
2024-09-03,26.02846778441053,21.16790266533918,18.682802101648132,13.640755219986914,12.427298475324399,6.831013423756993,0.0,1.2217603295338486
2024-09-04,26.02109500997299,19.356136271649905,18.677510046545326,13.63689136552465,12.423778342319046,6.829078483845419,0.0,3.0555104801426687
2024-09-13,25.907348779257493,19.271524630930255,18.595864890331452,13.577280307999567,12.369470175920133,6.799226475830383,0.0,3.4792847397307125
2024-09-25,25.861764204004302,19.237615940686904,18.563145038921174,13.55339077143575,12.347705809026374,6.7872630806720515,0.0,3.649115155253445
2024-09-27,25.852666531887714,19.230848516749674,18.55661488089775,13.548622948779343,12.343362123191316,6.784875451831658,0.0,3.6830095466625448
2024-09-30,25.84801100087778,19.227385438327698,18.55327321802089,13.546183121761803,12.35914727229223,6.783653635968849,0.0,3.6823463127507456
2024-10-03,25.842557433803247,19.223328730206045,18.549358738104303,13.54332506749001,12.35653966590305,6.782222380383539,0.0,3.7026679841098047
2024-10-16,25.879047219074515,19.21386973171189,18.540231372140074,13.536660961953595,12.350459527976202,6.778885131555127,0.0,3.7008460555886
2024-10-31,25.880142844245864,19.21468317739785,18.54101629841661,13.533000417195234,12.350982401721208,6.779172125010524,0.0,3.7010027360127076
2025-01-21,25.885732931506123,19.218833531446755,18.545021141033814,13.514323624114546,12.353650202659985,6.780636420009173,0.0,3.701802149229601
2025-02-26,24.71370375182502,18.34866177475396,17.705357610060734,12.902435149755851,11.79431357690548,6.473629322234994,4.527703282662707,3.5341955318012532
2025-03-11,24.52928250884891,18.211738428685347,17.573234797123693,12.806153218418025,11.706300788869116,7.171551807049262,4.493916171042338,3.5078222799633028
2025-03-18,24.53909241454083,18.21902178222032,17.580262796250835,12.771282104127016,11.710982446667243,7.174419899373873,4.495713406400094,3.5092251504197876
2025-03-21,24.53913166991935,18.219050927332304,17.580290919535063,12.771142563663124,11.711001180817677,7.174431376349633,4.495720598228077,3.5092307641547733
2025-03-31,24.53749613554674,18.217836626662308,17.579119192252037,12.776956371443266,11.710220641993951,7.173953200133873,4.495420958221782,3.508996873746042
2025-04-14,24.53749613554674,18.217836626662308,17.579119192252037,12.770291366362367,11.716885647074852,7.173953200133873,4.495420958221782,3.508996873746042
2025-04-28,24.570248301500435,18.242153435729445,17.602583453883458,12.653858871478645,11.73252511497547,7.183528851392539,4.501421357465538,3.5136806135744685
2025-04-30,24.542403392846065,18.221480014368623,17.58263484276892,12.639518538402724,11.83255665495691,7.175387920042208,4.496319998090761,3.5096986385237874
