date,TFI SECURITIES AND FUTURES LTD,ASTRUM CAPITAL MANAGEMENT LTD,HEAD & SHOULDERS SECURITIES LTD,LUK FOOK SECURITIES (HK) LTD,EVERBRIGHT SECURITIES INVESTMENT,FUTU SECURITIES INTERNATIONAL,CELESTIAL SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,0.0,0.0,0.0,77.587890625,0.0,22.412109375
2024-03-04,0.0,0.0,0.0,62.61228889687388,0.0,28.997484728710027,0.0,8.390226374416097
2024-03-06,0.0,0.0,0.0,62.67985611510791,0.0,28.92086330935252,0.0,8.399280575539567
2024-03-07,0.0,0.0,0.0,62.72498200143989,0.0,28.86969042476602,0.0,8.405327573794096
2024-03-08,0.0,0.0,0.0,63.168388617001995,0.0,28.366866050389707,0.0,8.464745332608302
2024-03-11,0.0,0.0,0.0,65.36009002250563,0.0,26.050262565641408,0.0,8.589647411852964
2024-03-12,0.0,0.0,0.0,66.99346405228758,0.0,24.413687043444828,0.0,8.592848904267589
2024-03-13,0.0,0.0,0.0,66.30517503805176,0.0,24.600456621004565,0.0,9.094368340943683
2024-03-14,0.0,0.0,0.0,65.90393343419062,0.0,25.07564296520424,0.0,9.020423600605143
2024-03-15,0.0,0.0,0.0,61.911529578966075,0.0,23.236809379996448,6.608633860365962,8.243027180671522
2024-03-18,0.0,0.0,0.0,61.79078014184397,0.0,23.421985815602834,6.595744680851063,8.191489361702127
2024-03-19,0.0,0.0,0.0,61.81269953884356,0.0,23.394820858460445,6.598084427101809,8.194395175594183
2024-03-20,0.0,0.0,0.0,61.65958952583156,0.0,23.61995753715499,6.581740976645436,8.138711960368012
2024-03-21,0.0,0.0,0.0,61.453006524422506,0.0,23.78769176512079,6.559689649091871,8.199612061364839
2024-03-22,0.0,0.0,0.0,61.49638256573142,0.0,23.733898005999645,6.5643197458973,8.205399682371626
2024-03-25,0.0,0.0,0.0,61.25856916857093,0.0,23.466338548075232,7.1014238003164,8.17366848303744
2024-03-26,0.0,0.0,0.0,61.12962638133661,0.0,23.62743378354675,7.086476056832135,8.156463778284511
2024-03-27,0.0,0.0,0.0,61.12962638133661,0.0,23.381862831082266,7.384669356253289,8.103841431327838
2024-03-28,0.0,0.0,0.0,61.161811161811166,0.0,23.253773253773254,7.3885573885573885,8.195858195858195
2024-04-02,0.0,0.0,0.0,61.172546954537474,0.0,23.257855011409514,7.389854309285589,8.179743724767421
2024-04-03,0.0,0.0,0.0,61.07606028741676,0.0,23.186119873817034,7.378198387662111,8.3596214511041
2024-04-05,0.0,0.0,0.0,61.377245508982035,0.0,22.877773864036634,7.414582599506869,8.330398027474462
2024-04-08,0.0,0.0,0.0,61.43134144191785,0.0,22.80980081085845,7.421117574475586,8.337740172748106
2024-04-09,0.0,0.0,0.0,61.453006524422506,0.0,22.81784517721742,7.423734791042144,8.305413507317933
2024-04-10,0.0,0.0,0.0,61.51809355692851,0.0,22.736098852603707,7.431597528684907,8.314210061782877
2024-04-11,0.0,0.0,0.0,61.48553281580804,0.0,22.776993648553283,7.427664079040226,8.309809456598447
2024-04-12,0.0,0.0,0.0,61.409691629955944,0.0,22.87224669603524,7.418502202643172,8.299559471365638
2024-04-15,0.0,0.0,0.0,61.366437753125545,0.0,22.891354111639373,7.41327698538475,8.328931149850325
2024-04-16,0.0,0.0,0.0,61.55068880254328,0.0,22.659837513246202,7.4355351465913095,8.353938537619216
2024-04-17,0.0,0.0,0.0,61.60509103765247,0.0,22.573802368746684,7.44210712391727,8.378999469683578
2024-04-18,0.0,0.0,0.0,61.55068880254328,0.0,22.64217590957259,7.4355351465913095,8.371600141292829
2024-04-19,0.0,0.0,0.0,61.539819883453994,0.0,22.65583612926011,7.434222143740067,8.370121843545823
2024-04-22,0.0,0.0,0.0,61.55068880254328,0.0,22.64217590957259,7.4355351465913095,8.371600141292829
2024-04-24,0.0,0.0,0.0,61.48553281580804,0.0,22.72406492589979,7.427664079040226,8.362738179251942
2024-04-25,0.0,0.0,0.0,61.46384479717813,0.0,22.75132275132275,7.425044091710759,8.35978835978836
2024-04-29,0.0,0.0,0.0,61.48553281580804,0.0,22.72406492589979,7.427664079040226,8.362738179251942
2024-04-30,0.0,0.0,0.0,61.49638256573142,0.0,22.710428798305983,7.428974766190224,8.364213869772366
2024-05-02,0.0,0.0,0.0,61.42051462812831,0.0,22.805780754317944,7.419809658089531,8.353894959464222
2024-05-03,0.0,0.0,0.0,61.51809355692851,0.0,22.68314210061783,7.431597528684907,8.367166813768756
2024-05-06,0.0,0.0,0.0,61.301671064204044,0.0,22.95514511873351,7.405452946350044,8.3377308707124
2024-05-07,0.0,0.0,0.0,61.086765994741455,0.0,23.22524101665206,7.379491673970201,8.308501314636283
2024-05-08,0.0,0.0,0.0,61.06535833187314,0.0,23.252146486770634,7.376905554582091,8.305589626774138
2024-05-09,0.0,0.0,0.0,61.02258798809316,0.0,23.305900893013483,7.371738749781125,8.299772369112238
2024-05-10,0.0,0.0,0.0,61.011904761904766,0.0,23.319327731092436,7.370448179271709,8.298319327731091
2024-05-13,0.0,0.0,0.0,61.02258798809316,0.0,23.44598143932761,7.371738749781125,8.159691822798107
2024-05-14,0.0,0.0,0.0,61.03327495621716,0.0,23.432574430823117,7.373029772329247,8.161120840630472
2024-05-17,0.0,0.0,0.0,60.92657342657343,0.0,23.54895104895105,7.36013986013986,8.164335664335665
2024-05-20,0.0,0.0,0.0,60.91592378954728,0.0,23.544834819087573,7.358853347316903,8.180388044048243
2024-05-21,0.0,0.0,0.0,60.86273140062871,0.0,23.61159622773315,7.352427523576669,8.173244848061474
2024-05-24,0.0,0.0,0.0,60.735447891251304,0.0,23.7887765772046,7.337051237364936,8.138724294179156
2024-05-27,0.0,0.0,0.0,60.79902302861131,0.0,23.674110258199583,7.3447313328681085,8.182135380321006
2024-05-28,0.0,0.0,0.0,60.90527787486892,0.0,23.558196434813002,7.357567284166374,8.178958406151695
2024-05-30,0.0,0.0,0.0,60.53500086850791,0.0,24.022928608650336,7.312836546812576,8.129233976029182
2024-05-31,0.0,0.0,0.0,60.49296997049124,0.0,24.075681305328935,7.307759069605971,8.123589654573857
2024-06-05,0.0,0.0,0.0,60.79902302861131,0.0,23.69155617585485,7.3447313328681085,8.164689462665736
2024-06-06,0.0,0.0,0.0,60.756624825662485,0.0,23.744769874476987,7.339609483960949,8.158995815899582
2024-06-11,0.0,0.0,0.0,60.990549527476375,0.0,23.36366818340917,7.367868393419672,8.277913895694784
2024-06-12,0.0,0.0,0.0,60.94788387548093,0.0,23.382301504022386,7.362714235746765,8.307100384749914
2024-06-13,0.0,0.0,0.0,60.90527787486892,0.0,23.435861586857744,7.357567284166374,8.301293254106955
2024-06-17,0.0,0.0,0.0,61.001225275687034,0.0,23.315245930334324,7.369158060563627,8.314370733415018
2024-06-18,0.0,0.0,0.0,61.03327495621716,0.0,23.274956217162874,7.373029772329247,8.318739054290718
2024-06-19,0.0,0.0,0.0,61.011904761904766,0.0,23.301820728291318,7.370448179271709,8.315826330532213
