date,THE HONGKONG AND SHANGHAI BANKING,RAFFAELLO SECURITIES (HK) LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHIEF SECURITIES LTD,HANG SENG BANK LTD
2024-04-24,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,65.3978996825752,0.0,34.60210031742481,0.0,0.0,0.0,0.0
2024-05-08,56.56985956721058,0.0,29.92149794975385,13.508642483035574,0.0,0.0,0.0
2024-05-09,56.6740587244459,0.0,29.97661201391161,13.34932926164249,0.0,0.0,0.0
2024-05-20,56.58628658543962,0.0,29.930186693123932,13.483526721436437,0.0,0.0,0.0
2024-05-21,50.15388904974852,0.0,26.52789842250319,12.045169385194479,0.0,11.273043142553806,0.0
2024-05-22,49.72726982743038,0.0,26.51490180650512,12.580676030579804,0.0,11.177152335484694,0.0
2024-05-23,49.73150009038611,0.0,26.517157410065824,12.573239331780819,0.0,11.17810316776725,0.0
2024-05-29,49.71881146016053,0.0,26.51039175038537,12.595545633338649,0.0,11.175251156115452,0.0
2024-06-05,49.706129303106636,0.0,26.503629542241917,12.617840555218995,0.0,11.172400599432454,0.0
2024-06-17,44.08706554425392,0.0,23.507508413382226,11.191448044418888,0.0,9.909408847955808,11.30456914998916
2024-06-21,44.033933094182224,0.0,23.479177847451723,11.177960436497848,0.0,10.017983410068826,11.290945211799377
2024-07-02,44.15366169126047,0.0,23.059638787398153,11.397173365055089,0.0,10.067880779071196,11.321645377215095
2024-07-22,51.6253547157776,0.0,19.974484997669304,9.87234320949289,0.0,8.720896950466548,9.806920126593665
2024-08-01,51.61184829086033,0.0,19.80574427902185,9.869760368889652,0.0,8.908292658997818,9.804354402230343
2024-08-02,51.58568590419661,0.0,19.80574427902185,9.869760368889652,0.0,8.93445504566154,9.804354402230343
2024-08-09,51.58568590419661,0.0,19.740338312362546,9.869760368889652,0.0,8.99986101232085,9.804354402230343
2024-08-12,51.73117759430676,0.0,19.664832867367938,10.028777804196148,0.0,8.743205240675909,9.832006493453255
2024-08-14,50.260879262687496,0.0,20.061814445143664,11.273170459705106,0.0,8.851573639644089,9.552562192819646
2024-08-15,50.257676530327764,0.0,20.06053606276634,11.278824325938906,0.0,8.851009598152057,9.551953482814927
2024-08-16,50.254474206112164,0.0,20.059257843301236,11.284477471665353,0.0,8.850445628539342,9.55134485038191
2024-08-19,40.606236123177915,19.188467355278824,16.208128197702482,9.128294236895453,0.0,7.151269427550922,7.717604659394407
2024-08-20,40.604145617884974,19.187479487493,16.207293764841403,9.132972527720039,0.0,7.150901263248666,7.717207338811916
