date,HANG SENG SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,WEST BULL SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD
2024-03-08,0.0,0.0,0.0,48.2175670709298,0.0,51.7824329290702,0.0,0.0
2024-03-14,0.0,0.0,0.0,48.2365907421014,0.0,51.76340925789861,0.0,0.0
2024-03-18,0.0,0.0,0.0,33.66261398176292,0.0,35.68895643363729,30.648429584599796,0.0
2024-03-25,0.0,0.0,0.0,33.712984054669704,0.0,35.66185775752974,30.625158187800555,0.0
2024-03-27,0.0,0.0,0.0,26.64270021969243,0.0,28.140603155582184,24.166167365688036,21.050529259037347
2024-04-02,0.0,0.0,0.0,26.730500698184716,0.0,28.10692200279274,24.137243167763813,21.025334131258727
2024-04-03,0.0,0.0,0.0,26.788917679888378,0.0,28.084512656966314,24.117998804066175,21.008570859079132
2024-04-05,0.0,0.0,0.0,26.847241585341564,0.0,28.062139016132242,24.09878510256921,20.99183429595698
2024-04-08,0.0,0.0,28.49604221635884,18.77517011526177,0.0,19.56672684349396,16.803221774753506,16.358839050131927
2024-04-15,0.0,0.0,28.460471567267682,18.876560332871012,0.0,19.542302357836338,16.78224687933426,16.338418862690705
2024-04-17,0.0,0.0,28.268356522937044,19.465491114478578,0.0,19.36905909904946,16.668962667034027,16.228130596500893
2024-04-19,0.0,0.0,28.233351678591085,19.565217391304348,0.0,19.34507429829389,16.648321408915795,16.208035222894882
2024-04-22,0.0,39.413626520073294,17.09145427286357,11.894052973513244,0.0,11.710811261036149,10.078294186240214,9.81176078627353
2024-04-26,37.34874675885912,23.34161624891962,11.084701815038894,7.730121002592913,0.0,7.595073465859984,6.536300777873811,6.363439930855661
2024-04-29,37.33167486885512,23.25455627061814,11.097290573792657,7.7983884051700825,0.0,7.603699096857931,6.543723973825104,6.370666810880969
2024-04-30,37.32965606748864,23.155959333765953,11.09669046073978,7.900713822193381,0.0,7.603287908284663,6.54337010599178,6.3703223015358
2024-05-02,37.349853911914295,22.94124012552754,11.102694513580781,8.078130072502976,0.0,7.607401796342388,6.546910507520831,6.373769072611189
2024-05-03,34.65709408575158,21.287277839140476,10.302239180640626,7.495732503263381,7.20955919269003,7.058941660809319,6.074907119188674,5.914248418515915
2024-05-09,34.65883416177135,21.283325802078625,10.302756439222774,7.496108851734699,7.209921172867399,7.0592960787267165,6.0752121303409155,5.914545363257519
2024-05-22,34.86363636363636,20.81818181818182,10.363636363636363,7.540404040404041,7.252525252525252,7.101010101010101,6.111111111111111,5.94949494949495
2024-06-11,35.20501835985312,20.04283965728274,10.465116279069768,7.614239086087311,7.323541411668706,7.170542635658915,6.17095063239494,6.007751937984496
2024-06-13,35.190660685154974,20.05505709624796,10.46084828711256,7.63152528548124,7.320554649265905,7.167618270799347,6.168433931484502,6.005301794453508
2024-06-14,35.17990011211905,20.04892467638365,10.457649577005403,7.65976964631536,7.3183161757211295,7.16542656202222,6.166547752522679,6.003465497910509
2024-06-17,35.172730051971875,20.044838479567918,10.455518190155916,7.6785896260063184,7.316824620401509,7.163966167329053,6.165290940589014,6.002241923978396
2024-06-18,35.16556291390728,20.040753948038716,10.453387671930718,7.697401935812531,7.315333672949567,7.16250636780438,6.164034640855833,6.001018848700968
2024-06-20,35.15839869613935,20.03667108077824,10.451258021798921,7.716206580421718,7.313843332993786,7.161047163084445,6.162778853010085,5.999796271773454
2024-06-21,35.14407901435699,20.028510334996437,10.447001323694124,7.753792892780775,7.3108644740861415,7.158130536605234,6.160268811729966,5.9973526117503315
2024-06-24,35.131558857957145,20.021375133594585,10.443279556211513,7.786655809455952,7.308259962339051,7.155580436663443,6.1580742022494785,5.995216041528831
2024-06-25,35.12440848725385,20.01730015773673,10.441154022286673,7.805424108278634,7.306772502925762,7.154124052307536,6.1568208416017915,5.993995827609017
2024-06-28,35.11011647423834,20.253293321804588,10.436905549056508,7.5987996541376335,7.303799399827068,7.151213061390569,6.154315650272112,5.9915568892731805
2024-07-02,35.01904036557502,20.198019801980198,10.41888804265042,7.976643818227977,7.291190657527292,7.240416349327241,6.387407971566388,5.468392993145469
2024-07-03,33.680046879578086,19.406192010938568,10.020509815411662,11.514796366832698,7.0124035550346715,6.963570661197382,6.143178044730931,5.259302666276003
2024-08-16,35.013706975327445,20.1746370189867,10.417301248857752,8.010965580261956,7.290080211188952,7.239313635902123,6.386435171083359,5.467560158391715
2024-08-23,35.026154080544416,20.18180894825047,10.421004519831396,7.97826418160581,7.292671778985323,7.241887156568991,6.388705499974607,5.469503834238992
2024-08-27,35.03683007366015,20.187960375920753,10.424180848361697,7.9502159004318,7.294894589789179,7.244094488188976,6.390652781305563,5.471170942341884
2024-12-10,35.12605042016806,20.23936847466259,10.196078431372548,7.970460911637383,7.313470842882608,7.2625413801884395,6.406926406926407,5.485103132161956
