date,FUTU SECURITIES INTERNATIONAL,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA INTERNATIONAL CAPITAL CORPORATION,MERRILL LYNCH FAR EAST LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,CITIC SECURITIES BROKERAGE (HK) LTD,INTERACTIVE BROKERS HONG KONG LTD,CLSA LTD
2024-03-01,17.265391186901766,21.464400564102945,11.889887750985356,27.3357914998131,10.408213607837073,6.106473519467589,3.998438463412366,0.0,1.5314034074798073,0.0
2024-03-04,16.67925687729788,20.777858440735347,11.580107530263268,26.465790186704226,10.09063624925175,5.911623015143354,3.3398723070548226,3.664946578507634,1.4899088150417164,0.0
2024-03-05,16.59967191157748,20.695203316508113,11.619726207759678,26.35488392745048,10.015529478442353,5.883400258988253,3.6948737392724937,3.6487133988629608,1.487997761138185,0.0
2024-03-06,16.656275259405096,20.75134473554298,11.711327949039907,26.42820089673033,10.058108770664552,5.838651054953906,3.440656305895231,3.658863798648891,1.4565712291191082,0.0
2024-03-07,16.611175590316556,20.722235338258294,11.944344725190255,26.410118512637304,10.035498719975717,5.8275070159422375,3.332078528320822,3.656360375097293,1.4606811942615234,0.0
2024-03-08,16.53213745222542,20.61527678580207,12.144549379145388,26.29535665714431,9.992256796240323,5.804260230955037,3.5138438430030403,3.6407537050259613,1.4615651504584508,0.0
2024-03-11,16.5006833571978,20.597015290766254,12.167278886560606,26.24435839874041,9.976937340355812,5.732104364971391,3.694680042428556,3.6336926827833356,1.4532496361958327,0.0
2024-03-12,16.535018252458,20.62509098128905,12.085673182367172,26.258910550370178,9.979422789872235,5.733454762839241,3.696728693928586,3.6312391253932264,1.4544616614823127,0.0
2024-03-13,16.509705471406377,20.559717807616927,12.18130058075895,26.17851621986775,9.961018983970838,5.715901206828597,3.6906754416820897,3.620121716777959,1.5830425710905125,0.0
2024-03-14,16.48541856596557,20.723405273078555,12.276065990794272,26.051410722107548,9.923401959462419,5.68973737787044,3.6669304558681617,3.601764753626033,1.5818649012270019,0.0
2024-03-15,16.53183079952959,21.065045273610078,12.191390748788153,26.006844563370734,9.947453551121294,5.6798028263764975,3.435652044062392,3.5956032132221365,1.5463769799191214,0.0
2024-03-18,16.515578946873166,21.021668010289225,12.214934508245745,25.956017043004227,9.94888747867555,5.672716724362188,3.5234130710140614,3.58857600178537,1.558208215750469,0.0
2024-03-19,16.508093273367237,21.02296535771215,12.233864529384139,25.97405662859677,9.931397234313259,5.672413522600626,3.5070716064313814,3.589654352624768,1.5604834949696673,0.0
2024-03-20,16.523394568090126,21.020536698533544,12.218295171621167,25.972544325360126,9.927405884622905,5.672083254231211,3.5132920858302845,3.589445350004441,1.5630026617061976,0.0
2024-03-21,16.604766715611923,20.991095003951703,12.264250757941422,25.933442124538086,9.87918215132705,5.663543815980267,3.551304010787498,3.578027302349671,1.5343881175123828,0.0
2024-03-22,16.610852468821726,21.750466748406826,12.226958463781527,25.900732576112638,9.868323381499883,5.656400454145814,2.869286840629092,3.577518697015479,1.5394603695870144,0.0
2024-03-25,16.638840816166187,21.709692022961267,12.296378151588105,25.875758304265172,9.825404222751168,5.64894615241876,2.8967356444924426,3.570268710145815,1.5379759752110838,0.0
2024-03-26,16.667740624107953,21.640679691791824,12.340998095116156,25.8382676077369,9.796871781397067,5.638625767651961,2.979102237705631,3.569735704404553,1.5279784900879538,0.0
2024-03-27,16.712514566065455,21.614510604971606,12.322794644817602,25.810594507199912,9.782390339576613,5.630592294333083,3.054093480930865,3.558134172726103,1.514375389378761,0.0
2024-03-28,16.74698923542049,21.610110214869497,12.313839459746966,25.783012269052048,9.771618071810508,5.626227266515615,3.0796263034666587,3.5553757853610897,1.5132013937571318,0.0
2024-04-02,16.78368042627372,21.597526176812245,12.322079448128985,25.782739943576615,9.767728410923587,5.625569980454897,3.05653628180583,3.5553382327512173,1.5088010992729026,0.0
2024-04-03,16.859052341039845,21.535549837616998,12.291399818307445,25.76445846169127,9.767580014915174,5.596038228248567,3.1384033768768465,3.5530369931668284,1.4944809281370244,0.0
2024-04-05,16.91678361748624,21.45109862653949,12.038672562786235,25.686703301135914,9.742867571914541,5.5390413275559505,3.59254809342573,3.5423141998943217,1.489970699261576,0.0
2024-04-08,17.001796468321004,21.433140219859055,12.015779841055725,25.668762885338904,9.735467586787346,5.530212229181377,3.5862689973382498,3.539840134270379,1.4887316378479631,0.0
2024-04-09,17.086903879810748,21.420438434229226,11.952763496395463,25.633617410373105,9.749482077217042,5.520658839529393,3.5968141330139503,3.534993412074313,1.5043283173567634,0.0
2024-04-10,17.15398826034077,21.40638603318326,11.92038829555375,25.61514240431122,9.752157480501115,5.516085904816473,3.579767518508619,3.552840005198389,1.5032440975864012,0.0
2024-04-11,17.228259976544894,21.40477928107719,11.856484832455273,25.59546337399688,9.76900105517217,5.51184812936225,3.582161475718768,3.549516953768604,1.5024849219039735,0.0
