date,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,BOCOM INTERNATIONAL SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),SINOPAC SECURITIES (ASIA) LTD
2024-04-26,5760800.0,1313757.0,2759325.0,254097358.0,240600.0,0.0,50200.0,0.0,0.0
2024-04-29,5509800.0,871520.0,2743525.0,254862758.0,257800.0,0.0,1200.0,0.0,3168000.0
2024-04-30,5570400.0,1905781.0,2761125.0,253286958.0,241000.0,0.0,4400.0,3000.0,2957200.0
2024-05-02,5589600.0,1945181.0,2585925.0,8709400.0,269000.0,0.0,9400.0,2000.0,2955200.0
2024-05-03,5604600.0,2126923.0,2683125.0,8861600.0,276800.0,7751400.0,5200.0,0.0,0.0
2024-05-06,5588200.0,2126123.0,2683325.0,0.0,236600.0,7749600.0,0.0,0.0,0.0
2024-05-07,5512800.0,2199117.0,2720125.0,0.0,228800.0,0.0,10883406.0,4000.0,0.0
2024-05-08,5520000.0,2741158.0,2760125.0,253749958.0,0.0,0.0,0.0,2000.0,0.0
2024-05-09,5598800.0,2432716.0,2817125.0,253809558.0,226800.0,0.0,0.0,0.0,0.0
2024-05-10,5594400.0,2159716.0,2778125.0,253693558.0,231400.0,0.0,0.0,0.0,2913800.0
2024-05-13,5531200.0,2113916.0,2885125.0,252738358.0,249200.0,0.0,0.0,12000.0,2912000.0
2024-05-14,5544000.0,2114516.0,2809525.0,252536558.0,288200.0,0.0,10888206.0,116000.0,0.0
2024-05-16,5558000.0,2128516.0,2818525.0,252226158.0,385400.0,0.0,10903406.0,0.0,0.0
2024-05-17,5536600.0,2498189.0,2871725.0,251587758.0,384400.0,0.0,10997006.0,117000.0,2894800.0
2024-05-20,5551800.0,2412586.0,2750725.0,251757758.0,506400.0,0.0,11021406.0,0.0,0.0
2024-05-21,0.0,2462386.0,2798325.0,250759958.0,620200.0,0.0,11026406.0,147000.0,2919800.0
2024-05-22,5604400.0,3298074.0,2781925.0,250125158.0,670000.0,0.0,11108206.0,93000.0,2910600.0
2024-05-23,5665800.0,2508074.0,2863525.0,250789158.0,1005200.0,0.0,11107006.0,0.0,0.0
2024-05-24,5643600.0,2790274.0,2925125.0,250307958.0,989200.0,0.0,11133406.0,0.0,2900600.0
2024-05-27,5647400.0,2482574.0,2946125.0,10804200.0,1043600.0,0.0,11063206.0,0.0,0.0
2024-05-28,5617200.0,2287574.0,2945125.0,10661000.0,1113600.0,0.0,11022406.0,103000.0,2880600.0
2024-05-29,5641200.0,2600260.0,2945525.0,10689400.0,0.0,0.0,11028206.0,172800.0,0.0
2024-05-30,5641600.0,2397260.0,2941125.0,10925800.0,0.0,0.0,11024406.0,192800.0,0.0
2024-05-31,5659600.0,2122474.0,2913325.0,10990000.0,1123600.0,0.0,11021806.0,213000.0,0.0
2024-06-03,5902000.0,2443631.0,2810925.0,249886158.0,1624200.0,0.0,11035206.0,0.0,2865600.0
2024-06-04,5980600.0,2083331.0,2769925.0,249725958.0,1828200.0,0.0,11075806.0,273000.0,0.0
2024-06-05,6016400.0,2024331.0,2727125.0,249486158.0,2056000.0,0.0,11099606.0,0.0,0.0
2024-06-06,6004000.0,2026531.0,2713325.0,249152758.0,2086000.0,0.0,0.0,313000.0,2855600.0
2024-06-07,6035800.0,2452931.0,2741525.0,248956758.0,2166000.0,0.0,11101806.0,0.0,2849600.0
2024-06-11,6275600.0,2789237.0,2661325.0,248589358.0,2277400.0,0.0,10875000.0,0.0,2843600.0
2024-06-12,6329400.0,3626396.0,2617525.0,247417276.0,2292000.0,0.0,10924800.0,0.0,0.0
2024-06-13,6385600.0,3948796.0,2545725.0,247383076.0,2282000.0,0.0,10875000.0,333000.0,0.0
2024-06-14,6412400.0,4022796.0,2338925.0,247166276.0,2413600.0,0.0,0.0,0.0,0.0
2024-06-17,6497600.0,4782633.0,2304525.0,246912076.0,2491200.0,0.0,10876400.0,0.0,0.0
2024-06-18,6477800.0,4903233.0,2166325.0,246543676.0,2479800.0,0.0,0.0,343000.0,0.0
2024-06-19,6790000.0,5190833.0,2079125.0,246512476.0,0.0,0.0,10876200.0,0.0,0.0
2024-06-20,6794800.0,5435633.0,2016325.0,246303076.0,2537800.0,0.0,10875000.0,0.0,0.0
2024-06-21,6783600.0,5748433.0,1921525.0,245870676.0,2604400.0,0.0,0.0,0.0,0.0
2024-06-24,6873400.0,6668433.0,1766925.0,244840476.0,2709200.0,0.0,0.0,353000.0,0.0
2024-06-25,7064800.0,7202533.0,1702725.0,244368476.0,2745000.0,0.0,0.0,0.0,0.0
2024-06-26,7818800.0,7892933.0,1666925.0,243040476.0,0.0,0.0,10875800.0,368000.0,2873600.0
2024-06-28,7796800.0,9175133.0,1663125.0,241354396.0,2807000.0,0.0,0.0,0.0,0.0
2024-07-03,7795200.0,9358933.0,0.0,10115200.0,2797000.0,0.0,0.0,378000.0,0.0
2024-07-04,7874800.0,9845955.0,1415125.0,10013600.0,0.0,0.0,0.0,397600.0,0.0
2024-07-10,8259200.0,9702633.0,1398525.0,9628600.0,0.0,0.0,10875000.0,0.0,0.0
2024-07-17,8232000.0,9961033.0,957125.0,237044996.0,0.0,0.0,0.0,3825600.0,0.0
2024-07-18,8250000.0,10254988.0,924725.0,10019200.0,2807200.0,0.0,0.0,0.0,0.0
2024-07-19,8234600.0,10346967.0,906725.0,10001000.0,0.0,0.0,10875400.0,0.0,0.0
2024-07-22,8219000.0,10448788.0,888325.0,9972400.0,2805200.0,0.0,10875000.0,0.0,0.0
2024-07-24,8252000.0,10302644.0,0.0,235806196.0,0.0,0.0,10875200.0,5025600.0,0.0
2024-07-25,8270200.0,10230844.0,0.0,232578396.0,0.0,0.0,10875600.0,8225600.0,0.0
2024-07-26,8241200.0,10715828.0,0.0,229189796.0,0.0,0.0,10875000.0,9825600.0,4465800.0
2024-07-29,8230800.0,10718228.0,0.0,225255596.0,0.0,0.0,0.0,11411000.0,6689400.0
2024-07-30,8231000.0,10692478.0,732065.0,223322596.0,0.0,0.0,0.0,0.0,8689400.0
2024-07-31,8231800.0,10707028.0,733065.0,9585600.0,0.0,0.0,10876200.0,0.0,0.0
2024-08-01,8239200.0,10806028.0,0.0,9688600.0,2795200.0,0.0,10876000.0,0.0,0.0
2024-08-07,8732000.0,10997106.0,668265.0,9639800.0,0.0,0.0,10875800.0,0.0,0.0
2024-08-08,8795000.0,10997306.0,658265.0,9551800.0,0.0,0.0,10875000.0,0.0,0.0
2024-08-21,8991600.0,10692106.0,723865.0,10359200.0,2756800.0,0.0,10876000.0,0.0,0.0
2024-08-22,8901400.0,10695706.0,721865.0,10604600.0,2766800.0,0.0,10875000.0,11361000.0,0.0
2024-08-30,9271000.0,11110406.0,756065.0,224266196.0,2793000.0,0.0,0.0,0.0,0.0
2024-09-02,9677600.0,11137406.0,1088465.0,224007196.0,0.0,0.0,10876200.0,0.0,0.0
2024-09-04,10054800.0,11311606.0,1058465.0,223612196.0,2801600.0,0.0,10875800.0,0.0,0.0
2024-09-05,10140400.0,11445323.0,1057465.0,223479396.0,0.0,0.0,10875283.0,0.0,0.0
2024-09-09,10138600.0,11590206.0,1059465.0,223687196.0,0.0,0.0,10875600.0,0.0,0.0
2024-09-11,10358600.0,11836406.0,1050740.0,11252800.0,2806000.0,0.0,0.0,0.0,0.0
2024-09-12,10474200.0,11864206.0,1048740.0,223544196.0,2829200.0,0.0,0.0,0.0,0.0
2024-09-13,10642000.0,11393406.0,1092740.0,10165600.0,2852600.0,0.0,0.0,0.0,0.0
2024-09-24,10879000.0,11893406.0,1070140.0,9890600.0,2902600.0,0.0,10876000.0,0.0,0.0
2024-09-25,11060400.0,11851806.0,0.0,222050796.0,2906800.0,0.0,10875000.0,0.0,0.0
2024-10-02,11240800.0,12362606.0,1059140.0,9439800.0,2897600.0,0.0,0.0,0.0,0.0
2024-10-03,11225600.0,12700956.0,1075340.0,9291000.0,2901000.0,0.0,0.0,0.0,0.0
2024-10-10,11437800.0,12345856.0,1075540.0,220338396.0,2925000.0,0.0,0.0,0.0,0.0
2024-10-14,14754600.0,11959238.0,1049540.0,220127996.0,2915000.0,0.0,0.0,0.0,0.0
2024-10-15,19445200.0,11891638.0,1036140.0,197844796.0,3065000.0,7746600.0,0.0,0.0,0.0
2024-10-21,24810400.0,11639149.0,2057740.0,0.0,3142400.0,0.0,10877889.0,0.0,0.0
2024-10-22,27368600.0,11151789.0,2487340.0,9156600.0,3151400.0,0.0,10876489.0,0.0,0.0
2024-11-01,29279000.0,10728478.0,2834340.0,0.0,3005800.0,0.0,10875400.0,0.0,0.0
2024-11-04,29217200.0,10730478.0,2903140.0,9076200.0,3011000.0,0.0,10875000.0,0.0,0.0
2024-11-12,31669400.0,11396732.0,4793705.0,8797200.0,2998200.0,0.0,10875600.0,0.0,0.0
2024-11-13,31695400.0,11458532.0,4812305.0,8778000.0,0.0,0.0,10875000.0,0.0,0.0
2024-11-14,31671800.0,11454732.0,4882305.0,8768400.0,0.0,0.0,10875600.0,0.0,0.0
2024-11-15,31672200.0,11453532.0,4896305.0,8766600.0,0.0,0.0,10875000.0,0.0,0.0
2024-11-21,31649200.0,11467132.0,5382705.0,8747600.0,0.0,0.0,10876000.0,0.0,0.0
2024-11-25,31500600.0,11475132.0,5567705.0,8719600.0,0.0,0.0,10876200.0,0.0,8679400.0
2024-11-27,31470600.0,11475532.0,5641929.0,8668200.0,0.0,0.0,10875200.0,0.0,0.0
2024-11-28,31481600.0,11462932.0,5658129.0,199840876.0,0.0,0.0,10875000.0,0.0,0.0
2024-11-29,31472600.0,11456532.0,5666929.0,199817076.0,2988200.0,0.0,10875800.0,0.0,0.0
2024-12-04,31096000.0,11193732.0,6381018.0,8589000.0,2989600.0,0.0,0.0,0.0,0.0
2024-12-05,32292600.0,11184532.0,6270818.0,186952476.0,0.0,0.0,10875000.0,0.0,0.0
2024-12-09,32331400.0,10792878.0,6176218.0,8547200.0,0.0,0.0,10875800.0,0.0,0.0
2024-12-10,32338200.0,10800678.0,6155018.0,8546800.0,0.0,0.0,10875000.0,0.0,0.0
2024-12-12,37102600.0,10789878.0,6203818.0,8526000.0,2988200.0,0.0,0.0,0.0,0.0
2024-12-23,37095800.0,10783678.0,6436818.0,8415800.0,0.0,0.0,0.0,0.0,8678400.0
2024-12-30,37115800.0,10742478.0,6488018.0,0.0,2978200.0,0.0,0.0,0.0,8626400.0
2025-01-02,37131400.0,10693078.0,6525418.0,185972716.0,3134000.0,0.0,0.0,11621000.0,0.0
2025-01-03,37112200.0,10685478.0,6558418.0,185730316.0,3210600.0,0.0,0.0,11841800.0,8608800.0
2025-01-06,37079600.0,10614278.0,6569418.0,8349000.0,3235200.0,0.0,0.0,0.0,0.0
2025-01-07,37036600.0,10600478.0,6575418.0,8288600.0,3334400.0,0.0,0.0,0.0,0.0
2025-01-08,36985200.0,10858678.0,6594218.0,8228000.0,3406800.0,0.0,0.0,0.0,0.0
2025-01-09,36921200.0,10598078.0,6639818.0,8142400.0,3397800.0,0.0,10875600.0,0.0,0.0
2025-01-10,36900400.0,10592878.0,6646418.0,8099600.0,3413800.0,0.0,0.0,0.0,0.0
2025-01-15,36838000.0,10557478.0,6634818.0,8089000.0,3608400.0,0.0,0.0,0.0,0.0
2025-01-20,36702200.0,10535078.0,6809018.0,8034200.0,3647800.0,0.0,0.0,0.0,0.0
2025-01-21,36683800.0,10532678.0,6813618.0,0.0,3670800.0,0.0,10876200.0,0.0,0.0
2025-01-22,36610600.0,10512678.0,6862218.0,8007800.0,3701800.0,0.0,10875000.0,0.0,0.0
2025-01-23,36581000.0,10521278.0,6872218.0,7995600.0,3662800.0,0.0,0.0,0.0,0.0
2025-01-24,36518200.0,10516278.0,6844618.0,7984200.0,3709600.0,0.0,10876000.0,0.0,0.0
2025-02-03,36430400.0,10758078.0,6854018.0,7973200.0,3783800.0,0.0,10875000.0,0.0,0.0
2025-02-04,36290000.0,10480278.0,6826418.0,0.0,3884400.0,0.0,10875800.0,0.0,0.0
2025-02-05,36237800.0,10716078.0,6826218.0,0.0,3956400.0,0.0,10875000.0,0.0,0.0
2025-02-07,35840800.0,10449878.0,6889818.0,7972200.0,4125400.0,0.0,0.0,0.0,0.0
2025-02-10,35836200.0,10471878.0,6896018.0,7972000.0,4056600.0,0.0,0.0,0.0,0.0
2025-02-11,35303200.0,10503878.0,6943418.0,7966200.0,4099000.0,0.0,10875200.0,0.0,0.0
