date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-03-01,0.0,236918.0,234180.0,296245.0,0.0,129035.0,126830.0,48275.0,71270.0,0.0
2024-03-04,461964.0,240005.0,233219.0,296110.0,209055.0,129095.0,126765.0,48175.0,0.0,0.0
2024-03-05,461879.0,235989.0,233824.0,294440.0,208850.0,128255.0,126705.0,48170.0,0.0,0.0
2024-03-06,462259.0,235319.0,233314.0,292180.0,208270.0,126630.0,126830.0,48010.0,72705.0,0.0
2024-03-07,460929.0,233649.0,232981.0,290415.0,207450.0,128610.0,125860.0,47685.0,72790.0,0.0
2024-03-08,460754.0,235714.0,232671.0,288975.0,207100.0,128460.0,125500.0,47500.0,71640.0,0.0
2024-03-11,459679.0,235594.0,232161.0,288540.0,205595.0,129010.0,125140.0,47375.0,71970.0,0.0
2024-03-12,459649.0,237172.0,231896.0,285200.0,204940.0,128810.0,124940.0,47210.0,71270.0,0.0
2024-03-13,459109.0,234682.0,230306.0,284405.0,204820.0,128510.0,124455.0,46985.0,0.0,0.0
2024-03-14,455165.0,235532.0,230296.0,282625.0,204370.0,128360.0,124215.0,46715.0,0.0,0.0
2024-03-15,453915.0,235669.0,0.0,281885.0,204365.0,0.0,124015.0,46205.0,0.0,0.0
2024-03-18,454290.0,235674.0,230291.0,283950.0,204330.0,128410.0,124290.0,46200.0,0.0,0.0
2024-03-19,453665.0,231539.0,230261.0,286445.0,204200.0,0.0,124125.0,46015.0,71660.0,0.0
2024-03-20,451665.0,226379.0,230241.0,285935.0,203640.0,128615.0,124100.0,46235.0,76805.0,0.0
2024-03-21,451675.0,223104.0,230171.0,286005.0,0.0,128410.0,124025.0,46265.0,80720.0,0.0
2024-03-22,451525.0,223004.0,229971.0,284145.0,203505.0,128460.0,124075.0,46370.0,84435.0,0.0
2024-03-25,451270.0,214184.0,231861.0,280245.0,203180.0,128540.0,124420.0,46445.0,90695.0,0.0
2024-03-26,453200.0,211379.0,232011.0,280220.0,203170.0,128360.0,124435.0,46750.0,106530.0,0.0
2024-03-27,454655.0,210864.0,231661.0,280545.0,203240.0,128625.0,124505.0,46860.0,0.0,0.0
2024-03-28,454990.0,210139.0,231641.0,280315.0,202900.0,128360.0,124495.0,46915.0,0.0,0.0
2024-04-02,455865.0,205658.0,231881.0,280070.0,202830.0,0.0,124490.0,46845.0,111220.0,0.0
2024-04-03,457098.0,203549.0,0.0,279925.0,204457.0,128380.0,123790.0,46700.0,116530.0,0.0
2024-04-05,457743.0,203184.0,229901.0,274610.0,203417.0,128400.0,123410.0,46965.0,0.0,0.0
2024-04-08,458858.0,202944.0,229283.0,271310.0,202532.0,128100.0,121980.0,46910.0,0.0,0.0
2024-04-09,458538.0,208523.0,228978.0,270715.0,202237.0,128120.0,122365.0,46965.0,118530.0,0.0
2024-04-10,460393.0,204564.0,229013.0,273580.0,202027.0,128060.0,122330.0,47435.0,0.0,0.0
2024-04-11,460238.0,203592.0,229078.0,270960.0,201932.0,128080.0,122545.0,47440.0,0.0,0.0
2024-04-12,449519.0,203352.0,229183.0,270740.0,201712.0,0.0,122610.0,47925.0,119530.0,0.0
2024-04-15,449599.0,201267.0,229268.0,270830.0,201657.0,0.0,122595.0,48375.0,0.0,0.0
2024-04-16,448484.0,203262.0,233128.0,271215.0,200832.0,128060.0,122425.0,48445.0,0.0,0.0
2024-04-17,445894.0,206278.0,233228.0,271125.0,200987.0,0.0,122755.0,48015.0,119830.0,0.0
2024-04-18,447314.0,206448.0,234328.0,270315.0,201032.0,0.0,122965.0,48335.0,0.0,0.0
