date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,BNP PARIBAS,TOTAL_CCASS_PCT
2024-03-01,25.39188628055885,4.580838174033298,4.238172875346939,5.188036655967136,5.052441553875835,4.203289553348215,3.7244958603062734,3.0300457157653606,2.033937619164037,0.6923591386986326,58.135503427064585
2024-03-04,25.308854818579746,4.584967727448787,4.226913880618319,5.280064610677904,5.036400379625452,4.200617437145889,3.7187500467981036,3.02401921933655,2.0339269647342118,0.6884775755932198,58.102992660558186
2024-03-05,25.378044580165493,4.567164175210979,4.234836643588718,5.2888037164843,5.03307682114239,4.1250179261838795,3.7055088841874313,3.0345320446018005,2.0340719516527748,0.6831774195500472,58.084234162767814
2024-03-06,25.38584737510165,4.564004713972991,4.231538981289257,5.2766528571924,5.031365347653018,4.150878129946248,3.6957071681239113,3.0362744772429164,2.033869824012352,0.6902496250124801,58.096388499547224
2024-03-07,25.344349998692845,4.583295024245724,4.239620376881497,5.2888896072548945,5.023299193814556,4.142881134772812,3.6984577761872313,3.0375773512345194,2.034424699952928,0.6759139205648212,58.06870908360183
2024-03-08,25.330763465551883,4.607955589945161,4.238442872128144,5.296190650421409,5.003222464010227,4.153612301860382,3.720766831007216,3.0335492685792693,2.03344331915335,0.672747810878063,58.090694573535096
2024-03-11,25.31071421741178,4.615358727494296,4.2409162219089795,5.313929620748273,5.0043052310110765,4.140073407127375,3.6834486229877084,3.03518609764064,2.03331278124825,0.6742290514403998,58.05147397901877
2024-03-12,25.304370318330964,4.626835049337633,4.240695311608041,5.337915183924831,4.989544490916465,4.13760376737121,3.678236894484136,3.0360443711543317,2.032809909072297,0.6842948028779587,58.06835009907787
2024-03-13,25.30756376170376,4.628769219436117,4.239344365843775,5.355347458878871,4.980251407608517,4.138193756422777,3.6748470100614368,3.041331262009577,2.0317849064156865,0.6727714133996896,58.070204561780216
2024-03-14,25.286683647725106,4.648589841269552,4.24621684302647,5.356689747918905,4.99330317927315,4.127910011968637,3.67478312576197,3.039605709452222,2.0281845018751037,0.6773526173969533,58.07931922566807
