date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,BOCI SECURITIES LTD,BOCOM INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,TOTAL_CCASS_PCT
2024-03-04,0.0,0.0,7.258552184763792,0.0,0.0,13.093306239270936,0.9697559591347793,0.0,0.0,21.321614383169507
2024-03-06,0.0,18.20654744556222,7.258552184763792,0.0,0.0,4.745364479756497,0.9697559591347793,0.0,0.0,31.180220069217285
2024-03-07,0.0,18.20654744556222,7.258552184763792,0.0,0.0,4.745364479756497,0.9697559591347793,0.2965164066838648,0.0,31.476736475901152
2024-03-15,0.0,18.206095576609634,7.249876300874231,0.0,0.0,4.745364479756497,0.9697559591347793,0.2969682756364461,0.0,31.468060592011586
2024-03-18,0.0,18.206095576609634,7.249876300874231,0.0,0.0,4.745364479756497,0.9697559591347793,0.29714902321747866,0.0,31.468241339592623
2024-03-19,0.0,18.206095576609634,7.249876300874231,0.0,0.0,4.745364479756497,0.9697559591347793,0.2903709889287588,0.0,31.461463305303898
2024-03-28,0.0,18.206095576609634,7.249876300874231,0.0,0.0,4.745364479756497,0.9697559591347793,0.29073248409082386,0.0,31.461824800465966
2024-04-02,0.0,18.206095576609634,7.249876300874231,0.0,0.0,4.745364479756497,0.9697559591347793,0.2925399599011491,0.0,31.463632276276293
2024-04-03,0.0,18.206095576609634,7.249876300874231,0.0,0.0,4.745725974918562,0.9697559591347793,0.31115696074749966,0.0,31.48261077228471
2024-04-08,0.0,18.206366697981185,7.249876300874231,0.0,0.0,4.745725974918562,0.9697559591347793,0.31115696074749966,0.0,31.482881893656256
2024-04-09,0.0,18.206366697981185,7.249876300874231,0.0,0.0,4.745725974918562,0.9679484833244542,0.322182563190484,0.0,31.492100020288916
2024-04-10,0.0,18.20654744556222,7.249876300874231,0.0,0.0,4.745725974918562,0.9815045519018939,0.322182563190484,0.0,31.505836836447386
2024-04-18,0.0,18.20654744556222,7.249876300874231,0.0,0.0,4.745725974918562,0.9815045519018939,0.3171216309215732,0.0,31.50077590417848
2024-04-22,0.0,18.20654744556222,7.249876300874231,0.0,0.0,4.745725974918562,0.9815045519018939,0.31775424745518704,0.0,31.501408520712094
2024-04-24,0.0,18.20654744556222,7.204689405616098,0.0,0.0,4.745725974918562,0.9815045519018939,0.3227248059335816,0.0,31.46119218393235
