date,MORTON SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL
2024-04-10,0.0,100.0,0.0,0.0
2024-05-28,0.0,73.48894891279522,0.0,26.511051087204766
2024-06-04,0.0,73.49081558984942,0.0,26.509184410150578
2024-06-06,0.0,52.85093823936708,28.084975224214435,19.064086536418472
2024-08-14,0.0,52.85881051597965,28.07426330524963,19.06692617877072
2024-08-29,0.0,52.85877902220159,28.074246578338652,19.066974399459763
2024-09-13,0.0,52.85035136053675,28.07926554574658,19.07038309371667
2024-10-22,0.0,52.80315199969502,28.054188637976875,19.142659362328104
2024-10-24,0.0,52.04399139963931,27.650848422972178,20.305160177388508
2024-10-30,0.0,52.04417464420506,27.65059368484573,20.30523167094922
2024-11-13,0.0,52.044205185091464,27.65055122831692,20.30524358659162
2024-11-19,0.0,52.047019191750124,27.64892871667735,20.304052091572533
2025-01-03,0.0,52.046988651004575,27.648912492522555,20.304098856472862
2025-01-10,93.63054569499141,3.3151091592587454,1.7610848470430363,1.2932602987068114
2025-01-15,93.6303987170494,3.3151039553168253,1.761239059041551,1.2932582685922183
2025-01-27,93.63040571598856,3.3151042031232127,1.7612317156240287,1.2932583652641971
2025-03-03,93.63040571598856,3.3141698191982956,1.7612317156240287,1.2941927491891148
2025-03-19,93.6304932028163,3.314079477428393,1.7612333612921698,1.2941939584631452
2025-04-10,93.6304967022928,3.3140758637540855,1.7612334271189591,1.2941940068341535
