date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,BNP PARIBAS,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,MERRILL LYNCH FAR EAST LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,TOTAL_CCASS_PCT
2024-03-01,54.05606593377254,5.791790822634651,2.914540688131559,0.7779269492102259,0.7562167879746245,0.2994402654257935,0.9559590253515136,0.0,0.49549279142460034,0.4367016604084394,66.48413492433394
2024-03-04,54.067010407761096,5.8270043430967915,2.908105564616267,0.827556622427401,0.756353167373185,0.2586495797750368,0.9581445842502679,0.9475833570847614,0.44854540990357467,0.43757379085486964,67.43652682714325
2024-03-05,54.059992537583135,5.873497726212297,2.8931158225682463,0.7968794339742147,0.7591768532179619,0.25344830280883224,0.9300293334916234,0.9662251453772093,0.4684652508571133,0.4372467419374583,67.43807714802809
2024-03-06,54.04764851226066,5.676466887885208,2.88804656434837,0.8230658592342726,0.7533164636668677,0.3927891293165325,0.9290186978286695,0.9667157187533262,0.4625088179406059,0.4320139592588764,67.3715906104934
2024-03-07,54.00431480324443,5.7744064829214965,2.875849820055042,0.5502063310466293,0.7538343456275886,0.27572333203295596,0.9282338894431881,0.9667429728297773,0.4522091208927226,0.432259245946935,67.01378034404075
2024-03-08,53.95216990581974,5.657471886761955,2.872795728247949,0.9919496140414236,0.751313888637405,0.193709438538166,0.9338389082979369,0.9667429728297773,0.4290055997920679,0.4615754748384667,67.21057341780488
2024-03-11,54.097907373086784,5.558936899171519,2.880613996143126,0.9729029391892203,0.7503873590543785,0.296286914272266,0.9329752811233595,0.9695773967806758,0.4210211910468455,0.42671751105770517,67.30732686092587
2024-03-12,54.30094784428762,5.473137850522915,2.8727787217042433,0.931008626966659,0.7497676013558839,0.3712161105936322,0.9290593064025814,0.9695773967806758,0.3745724501085664,0.3892033104778813,67.36126921920065
2024-03-13,54.3164835399951,5.383052771303483,2.876076464954808,0.592098789991992,0.7459741609628295,0.31630459736026356,0.9397038220257222,0.9681056766523246,0.48265617592435706,0.38542436925349877,67.00588036842437
2024-03-14,54.29016553205393,5.508456517212003,2.855186160847004,0.620404219696111,0.7461247124811445,0.3042116910982137,0.9581191289428627,0.9681056766523246,0.37665776851413413,0.3755311395018049,67.00296254699953
