date,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA SECURITIES (INTERNATIONAL),CITIBANK N.A.,CITIC SECURITIES BROKERAGE (HK) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,MERRILL LYNCH FAR EAST LTD
2024-10-24,11946600.0,643200.0,501402550.0,688800.0,172250396.0,214492200.0,113284200.0,2551200.0,166853265.0,23172200.0
2024-10-28,36263302.0,1475400.0,527386850.0,1584000.0,152588805.0,215027400.0,128506376.0,4394400.0,156368497.0,32036480.0
2024-10-29,28471169.0,2253600.0,523114988.0,2125800.0,223368458.0,215326800.0,131176026.0,4852800.0,144717636.0,21050400.0
2024-10-30,30430419.0,4804800.0,531158172.0,3301800.0,219281951.0,215478000.0,133614046.0,4865400.0,146606943.0,11400780.0
2024-10-31,30420459.0,4262400.0,534258005.0,2890200.0,218584551.0,215487000.0,135390221.0,4990200.0,147709243.0,10586405.0
2024-11-01,29426003.0,4869000.0,532119243.0,3151200.0,215763859.0,215360400.0,136881174.0,4935000.0,149966385.0,11563680.0
2024-11-04,30315841.0,5337000.0,541086544.0,3002400.0,213944659.0,216115800.0,127196854.0,4638000.0,152101436.0,11114400.0
2024-11-05,30333442.0,5734800.0,541415644.0,2343600.0,211992859.0,216393000.0,126109445.0,4121400.0,151583641.0,8563283.0
2024-11-06,30707292.0,6087600.0,543782044.0,2251800.0,206269659.0,216573600.0,123216321.0,4030800.0,151102054.0,8193607.0
2024-11-07,30505392.0,7089600.0,543128244.0,2634600.0,195277659.0,217170600.0,122059523.0,4035000.0,150681441.0,7624205.0
2024-11-08,32850492.0,6409800.0,546075444.0,2639400.0,172706659.0,217388400.0,124025723.0,4042200.0,148552841.0,7735205.0
2024-11-11,33917292.0,6636600.0,545384244.0,2908800.0,170534859.0,217455600.0,118231521.0,4099800.0,148435641.0,8410207.0
2024-11-12,35696453.0,7356000.0,546254844.0,3450000.0,169849059.0,217444200.0,113945121.0,4401600.0,148408241.0,5928207.0
2024-11-13,40936173.0,5697600.0,546752644.0,2991600.0,167455659.0,217467600.0,109963884.0,4429200.0,146617877.0,6481408.0
2024-11-14,44909238.0,7130400.0,544797091.0,3278400.0,167396859.0,217501800.0,108930487.0,4582800.0,145146077.0,5782605.0
2024-11-15,47023038.0,7203600.0,549781842.0,3408600.0,167455059.0,217555200.0,105301687.0,4698600.0,146319077.0,5277405.0
