date,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,OSHIDORI SECURITIES LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,CCB INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,ORIENT SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-05-16,28.242486525332378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,28.244067553000356,0.0,0.0,0.0,0.0,0.0,0.0,6.064189723320158,0.0,0.0
2024-05-20,28.251886453467478,3.0586901042040964,0.0,0.0,0.3894552928494431,0.0,0.0,0.0,0.0,17.244593144089112
2024-05-21,28.253105282069708,0.0,0.0,0.0,0.39238738052461375,0.0,0.0,0.0,0.0,17.24490934962271
2024-05-22,28.254830039525693,3.055930492274524,0.0,0.0,0.3935084728710025,0.0,0.0,6.0636148041681635,0.0,0.0
2024-05-23,28.257589651455262,3.055643032698527,0.0,0.0,0.0,3.696638160258714,0.0,0.0,0.0,0.0
2024-05-24,0.0,3.05328586417535,0.0,0.0,0.39347110312612293,0.0,0.0,0.0,0.0,0.0
2024-05-27,28.25807833273446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,0.0,0.0,0.0,0.0,0.3934653539346029,0.0,0.0,0.0,0.0,0.0
2024-05-29,28.259104563420767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,28.258500898311173,3.052136025871362,0.0,0.0,0.39616747394897595,0.0,0.0,0.0,0.0,0.0
2024-06-03,28.257178584261588,0.0,0.0,0.0,0.396454933524973,0.0,0.0,0.0,0.0,0.0
2024-06-04,28.25804096298958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-05,28.259363277039167,0.0,0.0,0.0,0.3977485016169601,0.0,0.0,0.0,0.0,0.0
2024-06-07,0.0,3.0519348041681638,0.0,0.0,0.39803596119295725,0.0,0.0,0.0,0.0,0.0
2024-06-11,0.0,3.052181846927776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,0.0,3.051175738411786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24499558749551
2024-06-13,0.0,3.049997154150198,0.0,0.0,0.3977485016169601,0.0,0.0,0.0,0.0,0.0
2024-06-14,0.0,3.048962299676608,0.0,0.0,0.39771975565936035,0.0,0.0,0.0,0.0,17.246174171757097
2024-06-17,0.0,3.0480424290334174,0.0,0.0,0.3989270858785483,0.0,0.0,0.0,0.0,0.0
2024-06-19,28.270746676248653,2.997363305785124,0.0,0.0,0.40194541142651813,0.0,0.0,6.064592166726554,0.0,17.25183712540424
2024-06-20,28.276610851598992,2.9770111678045277,0.0,0.0,0.40289402802730867,3.6978454904779015,0.0,6.064793388429752,0.0,17.252440790513834
2024-06-21,28.28333740567733,2.94378084081926,0.0,0.0,0.4078670786920589,3.697902982393101,0.0,0.0,0.0,17.253159439453828
2024-06-24,28.28500467121811,2.935875702479339,0.0,0.0,0.4101380093424362,3.6980179662235,0.0,0.0,0.0,17.253763104563422
2024-06-25,28.2860970176069,2.9317362845849804,0.0,0.0,0.41341504850880345,3.6985928853754944,0.0,0.0,0.0,17.254280531800216
2024-06-26,28.286901904419693,2.9265332662594323,0.0,0.0,0.4159446927775781,0.0,0.0,6.055939633489041,0.0,17.254711721164213
2024-06-27,28.28848293208768,2.896062551203737,0.0,0.0,0.408556981674452,0.0,0.0,0.0,0.0,17.25476921307941
2024-06-28,28.29223427955444,2.8925842903341716,0.0,0.0,0.4078958246496587,0.0,0.0,0.0,0.0,0.0
2024-07-02,28.29295292849443,2.887956191160618,0.0,0.0,0.4101380093424362,3.6994552641034857,0.0,0.0,0.0,0.0
2024-07-03,28.295885016169603,2.8600650808480057,0.0,0.0,0.41769819619116066,0.0,0.0,0.0,0.0,17.255344132231404
2024-07-04,28.313132590729428,2.855321997844053,0.0,0.0,0.41798565576715774,0.0,0.0,6.054962270930651,0.0,0.0
2024-07-05,28.314857348185413,2.872389565217391,0.0,0.0,0.4168933093783687,0.0,0.0,0.0,0.0,0.0
2024-07-08,28.315690980955804,2.8727632626661874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.254453007545813
2024-07-09,28.314713618397413,2.8734531656485807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,0.0,2.8735106575637803,0.0,0.0,0.4169220553359684,0.0,0.0,0.0,0.0,0.0
2024-07-11,28.314684872439816,2.8737406252245776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-12,0.0,2.873711879266978,0.0,0.0,0.41729575278476466,0.0,0.0,0.0,0.0,17.254424261588213
2024-07-15,0.0,2.8734819116061803,0.0,0.0,0.4176119583183615,0.0,0.0,0.0,0.0,17.254165547969816
2024-07-16,28.308648221343873,2.8744017822493713,0.0,0.0,0.41792816385195836,0.0,0.0,0.0,0.0,0.0
2024-07-17,28.30838950772548,2.874344290334172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
