date,FIRST SHANGHAI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,86.01374503027331,0.0,13.986254969726685,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,75.93692064412555,0.0,12.347714116747689,11.715365239126758,0.0,0.0,0.0,0.0
2024-03-14,0.0,75.93621414758148,0.0,12.347599236959613,11.7161866154589,0.0,0.0,0.0,0.0
2024-03-25,0.0,66.68980308077847,12.17654997763344,10.844087644833342,10.289559296754746,0.0,0.0,0.0,0.0
2024-03-28,0.0,66.7645397916057,12.07976559977265,10.855422197702119,10.300272410919534,0.0,0.0,0.0,0.0
2024-04-02,0.0,66.76508593085705,12.079864413217061,10.855510995920017,10.299538660005862,0.0,0.0,0.0,0.0
2024-04-03,0.0,62.15992325900329,11.245886785350065,10.10674547985252,9.588360090780366,0.0,6.899084385013753,0.0,0.0
2024-04-05,0.0,62.160396663485365,11.245972433029952,10.106822451932898,9.587671523721074,0.0,6.899136927830712,0.0,0.0
2024-04-09,0.0,62.15992325900329,11.245886785350065,10.10674547985252,9.588360090780366,0.0,6.899084385013753,0.0,0.0
2024-04-10,0.0,62.160396663485365,11.245972433029952,10.106822451932898,9.587671523721074,0.0,6.899136927830712,0.0,0.0
2024-04-26,0.0,62.16229035352397,11.24326857933996,10.107130351979011,9.58796360805503,0.0,6.899347107102025,0.0,0.0
2024-05-03,0.0,62.161816920197445,11.243182949643655,10.107053375208737,9.588652193866526,0.0,6.899294561083639,0.0,0.0
2024-05-10,0.0,62.1145099774879,11.23462656184768,10.175464510639836,9.581354951886304,0.0,6.89404399813828,0.0,0.0
2024-05-14,0.0,56.75954807783118,10.266076746074042,9.298226248830577,8.755335544616829,8.62111268622664,6.299700696420735,0.0,0.0
2024-05-20,0.0,56.758758654547016,10.26732478364296,9.298096927217724,8.755213773637784,8.62099278204628,6.299613078908238,0.0,0.0
2024-05-21,0.0,56.733114346296595,10.307867114693373,9.293895932174912,8.751258059909512,8.617097711019921,6.2967668359056885,0.0,0.0
2024-05-28,0.0,56.732719999470994,10.307795465626997,9.29383133113193,8.751892321788826,8.617037814341105,6.296723067640153,0.0,0.0
2024-06-03,0.0,56.80260488259107,10.320492884001222,9.305279721343434,8.639490460216187,8.627652512182175,6.30447953966592,0.0,0.0
