date,CHINA MERCHANTS BANK CO LTD,CMB INTERNATIONAL SECURITIES LTD,SHANXI SECURITIES INTERNATIONAL LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,WOCOM SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-06,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-12,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-14,0.0,99.52650561141222,0.0,0.0,0.0,0.4734943885877778,0.0
2024-03-15,0.0,99.50645635664068,0.0,0.0,0.0,0.49354364335931994,0.0
2024-03-19,0.0,99.50244747497129,0.0,0.0,0.0,0.49755252502870495,0.0
2024-04-05,0.0,99.48641517794204,0.0,0.0,0.0,0.5135848220579646,0.0
2024-04-12,0.0,99.48240791090166,0.0,0.0,0.0,0.5175920890983424,0.0
2024-04-15,0.0,90.54737451521268,0.0,0.0,0.0,0.48026990288658433,8.972355581900743
2024-04-17,0.0,90.54571472965466,0.0,0.0,0.0,0.482094156893254,8.972191113452087
2024-04-19,0.0,90.54405500494518,0.0,0.0,0.0,0.48391834402189504,8.972026651032927
2024-04-23,0.0,90.54239534108089,0.0,0.0,0.0,0.48574246427618506,8.971862194642927
2024-04-25,0.0,90.5340979343202,0.0,0.0,0.0,0.4948620625610668,8.97104000311873
2024-04-30,0.0,26.45132615412626,0.0,0.0,0.0,0.14565472333634996,2.621066653100786
2024-05-02,0.0,90.52248411941663,0.0,0.0,0.0,0.5076266924665642,8.969889188116802
2024-05-14,0.0,90.51584899146872,0.0,0.0,0.0,0.5149192964329643,8.969231712098322
2024-05-20,0.0,90.48931820367419,0.0,0.0,0.029310654531921353,0.5147683702168687,8.966602771577021
2024-05-22,0.0,74.84961604303237,0.0,17.274387053416653,0.030305942198976588,0.42882908211551873,7.416861879236472
2024-05-23,0.0,74.84621361549692,0.0,17.273601814249428,0.03030456458640251,0.43335527358555587,7.4165247320817
2024-05-24,0.0,74.84507954172344,0.0,17.273340083724335,0.030304105410042692,0.4348639126341126,7.416412356508071
2024-05-27,0.0,74.84394550231653,0.0,17.27307836113063,0.030303646247597592,0.43637250596540533,7.416299984339833
2024-05-28,0.0,74.84281149727464,0.0,17.272816646467952,0.03030318709906658,0.4378810535815121,7.4161876155768285
