date,MERRILL LYNCH FAR EAST LTD,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES (INTERNATIONAL),CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,HUATAI FINANCIAL HOLDINGS (HONG KONG),CS WEALTH SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-04-24,0.625,1.2815,0.00125,0.00075,0.5337500000000001,0.0805,3.6317500000000003,0.10250000000000001,0.0,0.058,6.3149999999999995
2024-04-26,0.01875,1.804375,0.001,0.69025,1.2195,0.43175,3.7935000000000003,0.11875,0.0,0.29550000000000004,8.373375
2024-04-29,0.073,2.257625,0.001,0.67925,1.36625,0.66075,3.80325,0.1485,0.0,0.37425,9.363875
2024-04-30,0.059000000000000004,2.199875,0.001,0.688,1.37435,0.638,3.80325,0.17600000000000002,0.0,0.406,9.345475
2024-05-02,0.0845,1.9148749999999999,0.001,0.6415,1.38235,0.61375,3.8282499999999997,0.15025,0.0,0.36725,8.983725
2024-05-03,0.0845,1.8998749999999998,0.001,0.6595,1.34485,0.63975,4.828,0.129,0.0,0.34925,9.935725
2024-05-06,0.1085,2.080425,0.001,0.626,1.3751,0.63175,4.828,0.11275,0.0,0.388,10.151525
2024-05-07,0.10675000000000001,2.0466249999999997,0.001,0.63675,1.85294675,0.9605,4.25825,0.128,0.0,0.38375000000000004,10.37457175
2024-05-08,0.02330025,2.159375,0.00075,0.7439497500000001,1.8526967500000002,0.9740000000000001,4.02,0.14175,0.0,0.3765,10.29232175
2024-05-09,0.02325,2.261625,0.00075,0.7295,1.91569675,0.9755,3.98125,0.1405,0.0,0.376,10.40407175
2024-05-10,0.02675,2.344375,0.00075,0.73925,1.9686967499999999,0.9127500000000001,3.98125,0.16225,0.0,0.3425,10.47857175
2024-05-13,0.051500000000000004,2.371325,0.00075,0.7374999999999999,1.9491967499999998,0.9135000000000001,3.98125,0.16774999999999998,0.0,0.33275,10.50552175
2024-05-14,0.04125,2.4713249999999998,0.00075,0.7284999999999999,1.92719675,0.8245,3.98125,0.17149999999999999,0.0,0.3145,10.460771750000001
2024-05-16,0.041,2.5868249999999997,0.00075,0.831,1.9896967500000002,0.8732500000000001,3.5876912499999998,0.17049999999999998,0.0,0.32299999999999995,10.403713
2024-05-17,0.0445,2.429825,0.00075,0.7192500000000001,2.15844675,1.10625,3.09719125,0.16975,0.0,0.4175,10.143463
2024-05-20,0.04625,2.442825,0.00075,0.839,2.0218030000000002,1.13425,2.9659412499999998,0.17575,0.0,0.41574999999999995,10.04231925
2024-05-21,0.08750000000000001,2.2685750000000002,0.00075,0.853,1.994303,1.17275,2.9659412499999998,0.1805,0.0,0.4225,9.94581925
2024-05-22,0.08625,2.209575,0.00075,0.8517500000000001,1.931553,1.21625,5.57269125,0.19175,0.0,0.40049999999999997,12.46106925
2024-05-23,0.0765,2.216575,0.00075,0.8522500000000001,1.8158029999999998,1.2035,5.57269125,0.19975,0.0,0.406,12.343819250000001
2024-05-24,0.06949999999999999,2.298575,0.00075,0.84975,1.804053,1.1575,5.57269125,0.19849999999999998,0.0,0.40175000000000005,12.353069249999999
2024-05-27,0.062,2.418325,0.00075,0.84975,1.7970529999999998,1.1435,5.57269125,0.2075,0.0,0.3975,12.44906925
2024-05-28,0.058,2.434325,0.00075,0.84975,1.796053,1.13625,5.57269125,0.20625000000000002,0.0,0.37675000000000003,12.430819249999999
2024-05-29,0.07225000000000001,2.416825,0.00075,0.8492500000000001,1.794053,1.1159999999999999,5.57269125,0.20775,0.0,0.37575,12.40531925
2024-05-30,0.06237499999999999,2.411075,0.00075,0.8484999999999999,1.8089279999999999,1.1192499999999999,5.57269125,0.20850000000000002,0.0,0.381,12.41306925
2024-05-31,0.049624999999999996,2.4633249999999998,0.00075,0.849,1.838178,1.1105,5.57269125,0.20725000000000002,0.0,0.37474999999999997,12.46606925
2024-06-03,0.057125,2.407825,0.00075,0.849,1.8249279999999999,1.0705,5.57269125,0.21375,0.0,0.3605,12.35706925
2024-06-04,0.031875,2.3640749999999997,0.00075,0.84575,1.812928,1.05925,5.57269125,0.20425000000000001,0.0,0.35375,12.24531925
2024-06-05,0.017875000000000002,2.36,0.00075,0.8455,1.809928,1.0915,5.57269125,0.20675,0.0,0.33325,12.23824425
2024-06-06,0.031875,2.5075,0.00075,0.845,1.8879279999999998,1.13225,5.57269125,0.20825000000000002,0.0,0.34225,12.52849425
2024-06-07,0.046125,2.460125,0.00075,0.8500000000000001,1.984928,1.1287500000000001,5.57269125,0.19949999999999998,0.0,0.383,12.62586925
2024-06-11,0.057125,2.494625,0.0005,0.75275,2.034678,1.21225,5.57269125,0.1885,0.0,0.37374999999999997,12.686869249999999
2024-06-12,0.066125,2.4665625,0.0005,0.7585,2.2223195000000002,1.21875,5.57269125,0.1735,0.0,0.3405,12.81944825
2024-06-13,0.069375,2.5033125,0.0005,0.75575,2.2280695,1.24525,5.60544125,0.1735,0.0,0.34475,12.92594825
2024-06-14,0.088375,2.5495625,0.0005,0.75625,2.2493195,1.26875,5.60544125,0.168,0.0,0.359,13.04519825
2024-06-17,0.141625,2.5210625,0.0005,0.75975,2.27866875,1.28425,5.60544125,0.17275000000000001,0.0,0.33525,13.0992975
2024-06-18,0.15562499999999999,2.5010625,0.0005,0.76224375,2.28816875,1.29625,5.60544125,0.1845,0.0,0.33325,13.12704125
2024-06-19,0.157125,2.5010625,0.0005,0.76524375,2.2912475000000003,1.30525,5.60544125,0.1645,0.0,0.33825,13.12862
2024-06-20,0.8406250000000001,2.5470625,0.0005,0.09624375,2.2869975,1.282,5.60544125,0.18625,0.0,0.33525,13.18037
2024-06-21,0.8303750000000001,2.5813125,0.0005,0.09424375,2.2754975,1.21375,5.60544125,0.16975,0.0,0.332,13.10287
2024-06-24,0.791375,2.7030624999999997,0.0005,0.11100000000000002,2.2917475,1.1804999999999999,5.60544125,0.17675,0.0,0.32125000000000004,13.18162625
2024-06-25,0.7893749999999999,2.7165624999999998,0.0005,0.11225,2.2949975,1.18375,5.60544125,0.18075000000000002,0.0,0.3085,13.19212625
2024-06-26,0.0475185,2.7320625,0.0005,0.8416065,2.3048912500000003,1.234,5.60544125,0.17525,0.0,0.327,13.26827
2024-06-27,0.0390185,2.6788125,0.0005,0.8516064999999999,2.28464125,1.22925,5.60544125,0.17725,0.0,0.328,13.19452
2024-06-28,0.0602685,2.6933124999999998,0.0005,0.8591065,2.2633912499999997,1.2445,5.60544125,0.179,0.0,0.33349999999999996,13.239020000000002
2024-07-02,0.0915185,2.7135625,0.0005,0.87285025,2.26864125,1.2595,5.60544125,0.17825,0.0,0.34475,13.33501375
2024-07-03,0.0795185,2.6715625,0.0005,0.88110025,2.27514125,1.29775,5.617941249999999,0.1725,0.0,0.34825,13.34426375
2024-07-04,0.0425185,2.6728125,0.0005,0.88110025,2.28639125,1.3050000000000002,5.63044125,0.14300000000000002,0.0,0.34475,13.30651375
2024-07-05,0.0407685,2.6745625,0.0005,0.88235025,2.28839125,1.29325,5.63044125,0.14250000000000002,0.0,0.3485,13.30126375
2024-07-08,0.012768499999999999,2.7070625,0.0005,0.8948502500000001,2.25964125,1.295,5.63044125,0.14300000000000002,0.0,0.347,13.290263750000001
2024-07-09,0.010211,2.7130625,0.0005,0.89690775,2.2553912499999997,1.3,5.63044125,0.145,0.0,0.35025,13.301763750000001
2024-07-10,0.011711,2.7370625,0.0005,0.9079077499999999,2.26711375,1.2815,5.64294125,0.14475,0.0,0.35625,13.34973625
2024-07-11,0.016461,2.7340625,0.0005,0.9461715,2.26785,1.278,5.64294125,0.145,0.0,0.35575,13.38673625
2024-07-12,0.015211,2.6185625,0.0005,0.9274215,2.26785,1.27475,5.65544125,0.14425,0.0,0.35575,13.259736250000001
2024-07-15,0.017211,2.5880625,0.0005,0.9291715,2.29115125,1.27425,5.65544125,0.1455,0.0,0.35825,13.259537499999999
2024-07-16,0.023461,2.5765625,0.0005,0.91893525,2.2956375,1.2477500000000001,5.65544125,0.14300000000000002,0.0,0.361,13.222287499999998
2024-07-17,0.027211,2.5633125,0.0005,0.91743525,2.3063875,1.25625,5.65544125,0.14300000000000002,0.0,0.362,13.231537500000002
2024-07-18,0.029211,2.5215625,0.0005,0.89543525,2.3031375,1.25625,5.65544125,0.14325,0.0,0.375,13.179787500000002
2024-07-19,0.041461,2.5128125,0.0005,0.8991852499999999,2.3056375,1.25725,5.65544125,0.14325,0.0,0.3605,13.176037500000001
2024-07-22,0.049461000000000005,2.5125625,0.00025,0.8966852500000001,2.3036375000000002,1.248,5.65544125,0.13725,0.0,0.36,13.163287500000001
2024-07-23,0.065211,2.5528125,0.00025,0.89993525,2.2856375,1.26275,5.65544125,0.13475,0.0,0.36424999999999996,13.2210375
