date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,ICBC (ASIA) SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,FUTU SECURITIES INTERNATIONAL,UOB KAY HIAN (HONG KONG) LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,4.226841922803304,0.0,6.411444736804752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.638286659608056
2024-03-04,4.226841922803304,0.0,6.416006670840107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.64284859364341
2024-03-05,4.226841922803304,0.0,6.4274115059284975,0.0,0.0,0.3323927781675987,0.0,0.0,0.0,0.0,10.986646206899401
2024-03-06,4.223420472276787,12.786211523965244,6.438816341016887,0.0,0.0,0.3327729393372117,0.0,0.0,0.0,0.8343454213671476,24.615566697963274
2024-03-07,4.223420472276787,12.789252813322147,6.44185763037379,0.0,0.0,0.3323927781675987,0.0,0.0,0.0,0.8343454213671476,24.62126911550747
2024-03-08,4.223420472276787,12.786211523965244,6.4532624654621795,0.00961627182565269,0.0,0.33201261699798573,0.0,0.0,0.0,0.8343454213671476,24.638868771894998
2024-03-12,4.223420472276787,12.786211523965244,6.460865688854439,0.00961627182565269,0.0,0.33771503454218044,0.0,0.0,0.6613331226733572,0.8343454213671476,25.313507535504808
2024-03-13,4.222279988767949,12.786211523965244,6.46466730055057,0.00961627182565269,0.0,0.33125229465875977,0.0,0.0,0.6613331226733572,0.8339652601975347,25.30932576263907
2024-03-14,4.222279988767949,12.786211523965244,6.476072135638958,0.00961627182565269,0.0,0.33163245582837275,0.0,0.0,0.6613331226733572,0.8548741245262484,25.34201962322578
2024-03-15,4.22056926350469,12.786211523965244,6.483675359031217,0.00961627182565269,0.0,0.33125229465875977,0.4560061741595396,0.0,0.6613331226733572,0.8544939633566355,25.803157973175097
2024-03-18,4.214866845960495,12.786211523965244,6.487476970727347,0.00961627182565269,0.0,0.33125229465875977,0.4560061741595396,0.0,0.6613331226733572,0.8544939633566355,25.80125716732703
2024-03-19,4.207263622568236,12.786211523965244,6.495080194119607,0.00961627182565269,0.0,0.33125229465875977,0.4560061741595396,0.0,0.6613331226733572,0.8544939633566355,25.80125716732703
2024-03-20,4.204602494380945,12.786211523965244,6.502303256342254,0.00961627182565269,0.0,0.33125229465875977,0.4560061741595396,0.0,0.6613331226733572,0.8533534798477966,25.80467861785355
