date,KINGSWAY FINANCIAL SERVICES GROUP LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CHINA INDUSTRIAL SECURITIES,BOCI SECURITIES LTD,PRUDENTIAL BROKERAGE LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD
2024-03-04,0.0,35.291121732914725,55.376796836640764,0.0,0.0,0.0,0.0,0.0,0.0,9.332081430444514
2024-03-05,61.51004654695497,13.76459636533289,21.085565326185783,0.0,0.0,0.0,0.0,0.0,0.0,3.639791761526366
2024-03-07,56.43164389248939,12.56065713405729,18.811727083484172,0.0,8.87453948886775,0.0,0.0,0.0,0.0,3.321432401101391
2024-03-11,56.64653056638691,12.536572637845383,18.62194105140737,0.0,8.873800078805711,0.0,0.0,0.0,0.0,3.321155665554624
2024-03-12,57.067136291458574,12.529316479890984,18.215649914666916,0.0,8.868663930602558,0.0,0.0,0.0,0.0,3.319233383380973
2024-03-14,57.06438388991153,12.528712179197035,18.219594450635018,0.0,8.868236186616981,0.0,0.0,0.0,0.0,3.319073293639432
2024-03-15,57.0630077886988,12.528410050709027,18.22156657593601,0.0,8.86802233009669,0.0,0.0,0.0,0.0,3.3189932545594805
2024-03-18,57.06383344146203,12.528591326053217,18.22183022637045,0.0,8.868150642771136,0.0,0.0,0.0,0.0,3.317594363343162
2024-04-02,57.05695373174344,12.527080858453898,18.23168953717083,0.0,8.867081483927722,0.0,0.0,0.0,0.0,3.317194388704107
2024-04-03,55.23209071420258,12.10579136544186,17.648582066342787,0.0,8.583483990279218,0.0,0.0,0.0,3.218951911658527,3.2110999520750374
2024-04-05,55.22049053127008,12.103248832784383,17.665878016947357,0.0,8.581681234251015,0.0,0.0,0.0,3.2182758476069355,3.2104255371402246
2024-04-12,55.22177919985285,12.101197605410869,17.66629028170213,0.0,8.581881503080348,0.0,0.0,0.0,3.218350951810748,3.2105004581430485
