date,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,EVERBRIGHT SECURITIES INVESTMENT,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,0.0,38.17397778721355,19.62688499946952,28.73828888219561,0.0,0.0,0.0,13.460848331121312
2024-03-04,0.0,38.21033097101796,19.61223052077184,28.719961263242478,0.0,0.0,0.0,13.457477244967727
2024-03-05,0.0,38.11047390474732,19.59173004268496,28.85247812928544,0.0,0.0,0.0,13.445317923282275
2024-03-06,0.0,38.10488004753616,19.589250780228717,28.861298797251767,0.0,0.0,0.0,13.44457037498335
2024-03-07,0.0,38.10593937652796,19.592575403224497,28.861406142708752,0.0,0.0,0.0,13.440079077538803
2024-03-08,0.0,38.039747296312385,19.66095955084167,28.861807326877532,0.0,0.0,0.0,13.43748582596842
2024-03-11,0.0,38.114220395849024,19.64768546795617,28.82194408153284,0.0,0.0,0.0,13.416150054661962
2024-03-12,0.0,38.28754776699376,19.586658854406693,28.715786161060326,0.0,0.0,0.0,13.410007217539219
2024-03-13,0.0,38.259278614236216,19.595631083367465,28.728940247734357,0.0,0.0,0.0,13.416150054661962
2024-03-14,0.0,38.231621733179516,19.58379984787603,28.7808013607716,0.0,0.0,0.0,13.40377705817285
2024-03-15,0.0,32.64974114652326,16.69206664968105,24.486819353850066,0.0,14.693551288779247,0.0,11.477821561166381
2024-03-18,0.0,32.685589421960124,16.70797308705682,24.473354760750865,0.0,14.662685077160608,0.0,11.470397653071586
2024-03-19,0.0,32.67977564762754,16.698067828652995,24.504156067080014,0.0,14.655553875647968,0.0,11.462446580991486
2024-03-20,0.0,32.6778724783161,16.708047186147276,24.501394982172783,0.0,14.653902513793168,0.0,11.458782839570679
2024-03-21,0.0,32.63507920261397,16.71090700303767,24.549350043206488,0.0,14.65173023614334,0.0,11.452933514998529
2024-03-22,0.0,32.65444062710832,16.70625115398961,24.542510314638292,0.0,14.647648097199001,0.0,11.449149807064774
2024-03-25,0.0,32.64728002174889,16.73044276541526,24.53297990661042,0.0,14.64443609829614,0.0,11.44486120792929
2024-03-26,0.0,32.64844098765151,16.747632790467968,24.535037683446266,0.0,14.644956867283998,0.0,11.423931671150255
2024-03-27,0.0,32.62258542092395,16.755260395110263,24.546929383511486,0.0,14.648516446889651,0.0,11.426708353564651
2024-03-28,0.0,32.619684754587176,16.750806723035836,24.556602223838663,0.0,14.647213960958721,0.0,11.4256923375796
2024-04-02,0.0,32.62304409739144,16.76273420624606,24.54857736801136,0.0,14.643134337847593,0.0,11.422509990503544
2024-04-03,0.0,32.637715339305096,16.770923911764964,24.527131774616183,0.0,14.642006332645519,0.0,11.42222264166824
2024-04-05,0.0,32.58630028902626,16.8782670041228,24.503174357291773,0.0,14.627704429781321,0.0,11.404553919777841
2024-04-08,0.0,32.570354287092314,16.87425654765457,24.49563383697076,0.0,14.658711005642019,0.0,11.401044322640335
2024-04-10,0.0,32.5572524474266,16.86806022597156,24.525414866667475,0.0,14.652814352519702,0.0,11.396458107414663
2024-04-11,0.0,32.56523082813618,16.866656251397526,24.522513545117455,0.0,14.651080945509854,0.0,11.394518429838989
2024-04-12,0.0,32.54012527901895,16.89171475175574,24.520403605214074,0.0,14.65229428735067,0.0,11.395462076660566
2024-04-15,0.0,32.54124237747618,16.900154845134104,24.516342921260332,0.0,14.649867804603645,0.0,11.39239205152574
2024-04-16,0.0,32.54914196400887,16.891910559101415,24.57236259094483,0.0,14.62020848190247,0.0,11.366376404042413
2024-04-17,0.0,32.55272491049318,16.89160348672811,24.571057322743357,0.0,14.619431865768806,0.0,11.365182414266542
2024-04-18,76.48226640715687,7.660880872651689,3.9718449256725714,5.773455634739271,0.0,3.4392551852072497,0.0,2.672296974572342
2024-04-22,76.48332837414752,7.660987245056537,3.971900075296153,5.772147285961717,0.0,3.4393029397476247,0.0,2.672334079790447
2024-04-23,76.47908068312185,7.666115520775405,3.971679485990439,5.771826715469471,0.0,3.439111929542625,0.0,2.672185665100218
2024-04-24,77.43958389100308,7.657557235973952,3.972204390542397,4.818346297969018,0.0,3.4394462113260222,0.0,2.672861973185533
2024-04-25,77.39981806355209,7.6536250208916705,3.986263795036761,4.851262439589074,0.0,3.4376800289978853,0.0,2.6713506519325234
2024-04-26,77.40078485580779,7.660660002209981,3.9843705603865844,4.8467430448469475,0.0,3.4377229686650925,0.0,2.669718568083613
2024-04-29,77.39895871293356,7.6646427918950515,3.9837214184220766,4.846628694000364,0.0,3.4376418613053366,0.0,2.6684065214436083
2024-04-30,47.81744266761548,4.692038780990507,2.46399140253437,3.013819213865455,0.0,2.123791396528112,0.0,1.6485541662939622
2024-05-02,77.45149575530228,7.574819217490468,3.9783600688007263,4.88493468004366,0.0,3.440086303468945,0.0,2.6703039748939186
2024-05-03,77.45751525414963,7.564998576115209,3.9814731045668252,4.884885160441563,0.0,3.440736192878841,0.0,2.670391711847939
2024-05-06,77.46655434474059,7.570743783415154,3.9918014408790907,4.85961507540646,0.0,3.44113771784443,0.0,2.670147637714272
2024-05-07,77.46214214412134,7.550725206263362,3.9989367138612293,4.877397573353562,0.0,3.440941723713827,0.0,2.6698566386866753
2024-05-08,77.44234723619759,7.549073435444624,4.031524272920964,4.869207085394742,0.0,3.43867359452125,0.0,2.6691743755208295
2024-05-09,77.45062974371284,7.546269493735498,4.025427291872605,4.871533510059967,0.0,3.439041362814768,0.0,2.6670985978043262
2024-05-10,77.47311976863858,7.542764343571819,4.0100626581246,4.8648897398896285,0.0,3.441429360192539,0.0,2.667734129582834
2024-05-13,77.47075178253961,7.54781325112565,3.9984086502696,4.874466353473024,0.0,3.4413241720071417,0.0,2.6672357905849804
2024-05-14,77.47075178253961,7.528918362724799,4.006466764440551,4.886275658723557,0.0,3.4413241720071417,0.0,2.6662632595643485
2024-05-16,77.48216250182152,7.53002730218849,3.987186533925445,4.893526174485695,0.0,3.4418310469655142,0.0,2.665266440613338
2024-05-17,77.4767796682681,7.5324219969108945,3.9649564140020175,4.920280255451128,0.0,3.441591936400622,0.0,2.6639697289672504
2024-05-20,77.48851520752395,7.539121540016573,3.967919395282594,4.898235301743821,0.0,3.442113240169896,0.0,2.6640953152631743
2024-05-21,77.48776144221398,7.546552233022295,3.967185980025841,4.892907041145477,0.0,3.4420797572008848,0.0,2.663513546391528
2024-05-22,77.35103453033612,7.542391773535358,3.9424299495532016,4.869153226593641,0.19573153079633618,3.4360062182718982,0.0,2.6632527709134357
2024-05-23,77.34030601404388,7.541900447102728,3.959636618727652,4.864871703853437,0.19570438301570453,3.435529647416487,0.0,2.6620511858401255
2024-05-24,77.33590818254827,7.541471589123852,3.9650977987603517,4.864595070787137,0.19569325460228326,3.4353342915759666,0.0,2.6618998126021425
2024-05-27,77.33440659853636,7.541325160984187,3.9636339260138973,4.868661272526522,0.1956894549460918,3.435267589791905,0.0,2.6610159972010368
2024-05-28,77.3197156030622,7.550569541893141,3.968982100028468,4.870093643295034,0.19565228038145233,3.4346150018581003,0.0,2.6603718294816043
2024-05-29,77.31832185694012,7.540311283388176,3.9691878754183207,4.869589877264938,0.19564875360170494,3.447171117675965,0.0,2.659769235710776
2024-05-30,77.32014445813186,7.534942512456075,3.977185225724331,4.867070071336095,0.19565336557003168,3.4454497589621713,0.0,2.6595546078194245
2024-05-31,47.810583337855064,4.659199739762516,2.4604759960321565,3.0124473479133713,0.12098142864933586,2.1303935014225126,0.0,1.6440098603276867
2024-06-03,77.30996043527313,7.5339500669902275,3.9787410507492105,4.8692019107103,0.19562759559299245,3.4541464970980043,0.0,2.6583724435861362
2024-06-04,77.29238590747379,7.536950254163713,3.9625891371822326,4.90136216766345,0.19558312444596682,3.453361281411765,0.0,2.657768127659084
2024-06-05,77.27995996772046,7.54031207136104,3.9623678625689727,4.911661465866602,0.19555168145074028,3.4528061004747883,0.0,2.657340850557402
2024-06-07,77.27942445668594,7.539705461276111,3.9610930964075086,4.914676407985771,0.1955503263764975,3.452782174274935,0.0,2.6567680769932367
2024-06-11,77.28949330608565,7.538747309368059,3.967846550378879,4.898961011321536,0.1955758049149337,3.4532320423215355,0.0,2.656143975609408
2024-06-12,77.28585107896919,7.545322120292056,3.967659567676813,4.896512527786834,0.19556658850699116,3.4530693105601284,0.0,2.656018806207988
2024-06-13,77.26539671158078,7.543325185684263,3.994876696690213,4.895216623494301,0.1955148301217968,3.4521554259705205,0.0,2.6535145264581206
2024-06-14,77.25843827020444,7.546109647858764,4.009203460557063,4.885354212489628,0.19549722225926697,3.452398737431369,0.0,2.652998449199464
2024-06-17,77.25576228031619,7.5458482742979545,4.0069863825905525,4.890726897117245,0.1954904508488986,3.452279157171679,0.0,2.6529065576574844
2024-06-18,77.25768897434938,7.546036461436575,4.005146600813632,4.890848867751571,0.1954953262170793,3.452365254123631,0.0,2.6524185153081263
2024-06-19,77.25758193327084,7.546026006349292,4.005418153079506,4.890842091445617,0.1954950553569119,3.4523604708469726,0.0,2.6522762896508607
2024-06-20,77.25726081181486,7.544054939348486,4.0087267078215865,4.8908217626404165,0.195494242780913,3.452346121096525,0.0,2.6512954144972016
2024-06-21,77.26261318462132,7.54430047100574,4.007895953994576,4.886449567122667,0.19550778659618528,3.452585299178984,0.0,2.650647737480528
2024-06-24,77.26379080616611,7.544276897901529,4.007679917861424,4.88652404542531,0.19551076648739243,3.4526379228046418,0.0,2.6495796433535923
2024-06-25,77.2647543414042,7.544370980479682,4.007729896522625,4.886584983907107,0.19551320464776448,3.452680979691552,0.0,2.6483656133470745
2024-06-27,77.2658249642992,7.541704209524967,4.0091710847828335,4.8866526951139395,0.1955159137861673,3.4527288219365375,0.0,2.6484023105563543
2024-06-28,77.2695723780965,7.536527095628588,4.010335536194907,4.886889699115912,0.19552539636185,3.452896280235619,0.0,2.648253614366631
