date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,SHANGHAI COMMERCIAL BANK LTD,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,HANG SENG BANK LTD,THE BANK OF EAST ASIA LTD,UOB KAY HIAN (HONG KONG) LTD
2024-03-01,23.8810093733787,4.122680622392641,1.694594026634196,0.6595986135546258,0.6234173063675655,0.9266231551877262,0.27614189803814254,0.0,0.8989447010493897,0.4956960310531029
2024-03-04,23.90037728062086,4.0533868247323666,1.7030689344344228,0.6481089295036735,0.6250725998325332,0.8997700108969818,0.2781866723183968,0.0,0.8999184030876061,0.4967671032951408
2024-03-05,23.949257122939315,4.003240098691984,1.7204982009184946,0.6477194486883869,0.6252673402401764,0.8994779002855171,0.0,0.0,0.9001131434952493,0.49774080533335713
2024-03-06,23.844828553042657,4.047374506756992,1.79097933084417,0.6472228606488967,0.6287726675777552,0.8973044025958105,0.26397062256043885,0.0,0.9004052541067142,0.5011487624671142
2024-03-07,23.76766451654789,4.030021773253124,1.8399565433664495,0.6551098471584487,0.0,0.9048992784938977,0.2625100695031144,0.0,0.9010868455334655,0.50329090695119
2024-03-08,23.632109613595567,4.025348003469686,1.8470256201639002,0.657154621438703,0.6288700377815768,0.9118125629652335,0.27117601764323945,0.0,0.0,0.5054330514352658
2024-03-11,23.635407542399005,4.2035790009443765,1.8479993222021165,0.6581283234769192,0.0,0.9114926044754756,0.27176023886616923,0.0,0.0,0.0
2024-03-12,23.630516734431247,4.191573254813171,1.8400149654887428,0.6625099826488926,0.0,0.9310846579268334,0.2716628686623476,0.0,0.0,0.0
2024-03-13,23.6260133625045,4.208223559666669,1.8449299212670471,0.0,0.6283831867624686,0.8911948117868185,0.2718576090699909,0.0,0.9005999945143575,0.5052383110276226
2024-03-14,23.583578161866384,4.214582905048463,1.8614448815372338,0.659589266015059,0.6255594508516413,0.8923241114107419,0.26445747357954696,0.0,0.9001131434952493,0.5035830175626549
2024-03-15,23.566940515139382,4.182894064325325,1.8597895880722661,0.6606603382570969,0.625364710443998,0.8898764192270737,0.2466387262801887,0.0,0.0,0.5037777579702982
2024-03-18,23.59544583704857,4.1753095096688435,1.8570632223652603,0.6611471892762051,0.0,0.8921107732941685,0.24712557729929685,0.0,0.8997236626799628,0.0
2024-03-19,23.529631466251658,4.301309766630759,1.8486893848366004,0.653260202766653,0.622248863921706,0.8810784370905665,0.24693083689165363,0.0,0.0,0.5029987963397251
2024-03-20,23.574294010302193,4.316011304224971,1.8464498701487027,0.6528707219513665,0.6204962002529166,0.8792928622928855,0.23144897448401444,0.0,0.0,0.0
2024-03-21,23.604725801693995,4.350710539539662,1.8472288317792758,0.6529680921551881,0.0,0.8727690586368363,0.2313516042801928,0.0,0.0,0.5028040559320819
2024-03-22,23.635759340945413,4.352450252971344,1.8455735383143081,0.6544286452125125,0.0,0.8696020927575379,0.23047527244579813,0.0,0.8996262924761411,0.5029987963397251
2024-03-25,23.647952524718978,4.310839972700005,1.8441129852569837,0.6541365346010477,0.6235146765713871,0.0,0.215772371668732,0.0,0.0,0.5023172049129737
2024-03-26,23.6829379310627,4.3133328446582455,1.8334022628366045,0.6477101011488201,0.6233199361637439,0.0,0.21548026105726714,0.0,0.0,0.5025119453206169
2024-03-27,23.69269754133215,4.303764177358491,1.8341332209566934,0.6475153607411769,0.6228330851446356,0.872182403158811,0.0,1.9404067614753655,0.0,0.5021224645053305
