date,THE HONGKONG AND SHANGHAI BANKING,ICBC (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,GREAT BAY SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,HANG SENG SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,65.38359008945369,0.0,13.683801671905027,0.0,20.932608238641283,0.0,0.0
2024-03-06,0.0,0.0,0.0,46.093066878500544,0.0,9.741022635267713,14.528427423857668,14.75673192868578,14.8807511336883,0.0
2024-03-07,0.0,0.0,35.0108742881881,29.953595386389644,0.0,6.334298184300616,9.441303565281805,9.589667326377098,9.67026124946274,0.0
2024-03-08,0.0,0.0,35.01034250774673,29.95384048487344,0.0,6.334350015370004,9.441380819753565,9.589745794851131,9.670340377405132,0.0
2024-03-11,31.961707355868953,0.0,23.795127489753433,20.358425599166594,0.0,4.377502056271769,6.416928375826048,6.517766106753117,6.572543016360087,0.0
2024-03-12,31.963375772832464,0.0,23.793459072789926,20.358425599166594,0.0,4.377502056271769,6.416928375826048,6.517766106753117,6.572543016360087,0.0
2024-03-13,32.001412475156584,0.0,23.75406567218292,20.324719377095125,0.0,4.40634367355556,6.403181150563453,6.506975033016399,6.6033026184299555,0.0
2024-03-14,31.98809219640245,0.0,23.744178271851975,20.35788344285426,0.0,4.404509575574296,6.400515888275265,6.504266567527468,6.6005540575142865,0.0
2024-03-19,31.97744395473118,0.0,23.736274275984638,20.35110668163061,0.0,4.4363315385245405,6.398385275434065,6.50210141801245,6.598356855682518,0.0
2024-03-20,31.97919044572587,0.0,23.73215896524816,20.352218184620085,0.0,4.436573834722212,6.398734731828388,6.5024565390030205,6.598667298852262,0.0
2024-03-21,31.973864958276966,0.0,23.74484830772239,20.348834229991482,0.0,4.435836167484815,6.397670816936333,6.501375378330368,6.597570141257644,0.0
2024-03-22,31.97386717542654,0.0,23.74484301999514,20.34883564103169,0.0,4.43583647507704,6.397671260567191,6.501375829152364,6.597570598750033,0.0
2024-03-26,31.959815230587502,0.0,23.735231188042768,20.34059850135284,0.0,4.475629556288227,6.395081504930933,6.498744094258332,6.594899924539396,0.0
2024-03-27,31.943983837272892,0.0,23.72312746710521,20.33052272297909,0.0,4.523294249373897,6.391913681529793,6.495524921272978,6.591633120466138,0.0
2024-03-28,23.596959658694065,26.05731682049643,17.519669206792457,15.01421064324931,0.0,3.42643460021998,4.720465859910403,4.796983370045748,4.867959840591608,0.0
2024-04-02,23.584410672646374,26.043459403695696,17.510350621362,15.006226007829984,0.0,3.4246124044535162,4.717955491580271,4.847614364237809,4.865371034194348,0.0
2024-04-03,23.59029338333401,25.91337176826633,17.526124203364354,15.060689962162455,0.0,3.4276973457979825,4.760088338193084,4.851981166727579,4.869753832154208,0.0
2024-04-05,23.605540748245495,25.89640896279837,17.514640408956293,15.050831285479003,0.0,3.4602350099955417,4.75697240047517,4.848805076275073,4.866566107775058,0.0
2024-04-08,23.600981762479737,25.515186434118974,17.45473402753654,15.514997960307559,0.0,3.494402345644014,4.74125984307284,4.832789190186252,4.845648436654087,0.0
2024-04-09,23.466238525090283,25.526883476426715,17.49999174534888,15.446913684341524,0.0,3.5151017992740403,4.78399408996397,4.808105786415084,4.9527708931395065,0.0
2024-04-10,22.940205135993793,24.952500135485835,17.106222418418945,15.053728618578571,0.0,3.406260947413057,4.6069388907287765,4.699918045136419,4.841328025656553,2.3928977825880446
2024-04-11,22.95788715431419,24.93939366505312,17.097237258730537,15.073570961195518,0.0,3.404471785679725,4.604519064738242,4.692494128359849,4.838785085178492,2.391640896750325
2024-04-12,22.96202435186548,24.92667131526136,17.088020160998333,15.101541090414427,0.0,3.4027350601804875,4.602170158307269,4.690100343150048,4.836316672463749,2.390420847358852
2024-04-15,22.963846023175282,24.928648850050454,17.08144241451582,15.102739157436599,0.0,3.4030050130704854,4.602535267289463,4.690472427993454,4.836700357246604,2.390610489221837
2024-04-16,22.96520720011017,24.93013186747192,17.082458597817084,15.103637626720554,0.0,3.385375174096355,4.60280907434677,4.702639656738016,4.8369880948987864,2.39075270780034
2024-04-17,22.974823619606287,24.940571076839472,17.087381714140744,15.070318208953076,0.0,3.3867927614728663,4.60473644833185,4.704608833644814,4.8390135286870795,2.3917538083238123
