date,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,INNOVAX SECURITIES LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,53.2159219949772,0.0,0.0,15.153010690116158,0.0,23.344908088967582,0.0,8.286159225939057,0.0,0.0
2024-03-04,32.51183719648152,0.0,29.335758737131957,9.24126238365345,0.0,14.294607444822201,0.0,5.036200236723657,9.580334001187211,0.0
2024-03-05,32.467960760970776,0.0,29.36357331422465,9.264390293769443,0.0,14.305287647994744,0.0,4.997877751558233,9.600910231482153,0.0
2024-03-06,32.46889364720922,0.0,29.355797248461386,9.264656483022172,0.0,14.29420566806868,0.0,5.0037678565904615,9.612679096648082,0.0
2024-03-07,29.95586356105558,0.0,27.061995740806417,8.549102904787018,7.760595344153838,13.190196033975992,0.0,4.617303015610909,8.864943399610246,0.0
2024-03-08,29.97627948323091,0.0,27.06127825518084,8.5488762452862,7.760389590089775,13.128867197375321,0.0,4.638390730551942,8.88591849828501,0.0
2024-03-11,24.268831054521474,18.8718480503685,21.96207934723766,6.9652255241747545,6.36119976359899,10.591674861488688,0.0,3.7612581443784823,7.217883254231457,0.0
2024-03-12,24.482588393278068,18.266949690657245,22.038319629221025,7.10821747096551,6.362832900276897,10.667135423847336,0.0,3.8499412599143508,7.224015231839566,0.0
2024-03-13,24.458193362315168,18.259917776262743,22.07260845440459,7.105481142372078,6.360383509600348,10.665167706594966,0.0,3.848459214043418,7.229788834406683,0.0
2024-03-14,23.27076873349498,17.349142019305138,21.054971910588172,6.779518383995435,6.061425261993311,10.072247376436035,0.0,3.6565041682026664,6.873242337737223,4.882179808247039
2024-03-15,23.34905172498003,17.407504626596893,20.968814031341925,6.810479884976909,5.808617915638151,10.187682116771239,0.0,3.6688046679387347,6.90044154431161,4.898603487444511
2024-03-18,23.339059196856322,17.400054860259758,20.99856061043692,6.793299821850504,5.806132042611463,10.20166343426026,0.0,3.6672345556165475,6.897488411267506,4.896507066840723
2024-03-19,23.289787311075017,17.40892435303046,21.41909484598637,6.798801591558173,5.780546252649462,9.96218873240879,0.0,3.5406495715157726,6.901004332572989,4.899003009202964
2024-03-20,23.27981933336525,17.401473371723323,21.4425368766534,6.795891719440728,5.778072191575952,9.957924937557477,0.0,3.539134181291914,6.908241141694524,4.896906246697427
2024-03-21,23.27066710981802,17.39615514592718,21.452283318966213,6.7938147638934545,5.776306301301905,9.96914383684476,0.0,3.538052553644824,6.9081673118769364,4.895409657726702
2024-03-22,23.263415832414736,17.39225717921718,21.447476493232053,6.792292469825516,5.775012000953328,9.999502130431322,0.0,3.5474448068500455,6.888286346668932,4.894312740406893
2024-03-25,23.301863308686517,17.42100138428267,21.3156122680554,6.8035181000358795,5.784556370467909,10.011947576224744,0.0,3.553307673293192,6.90579174179518,4.902401577158514
2024-03-26,23.44782672516941,17.443067397973863,21.311966979452045,6.842780004584547,5.791883279940713,9.906137572682864,0.0,3.557808409734132,6.82464876735435,4.873880863108079
