date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,ICBC (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BANK OF COMMUNICATIONS TRUSTEE LTD
2024-03-01,48.04507661650519,0.0,0.0,43.10451453308596,0.0,0.0,0.0,8.85040885040885,0.0
2024-03-04,48.031874699457305,0.0,0.0,43.09267019303428,0.0,0.0,0.0,8.875455107508415,0.0
2024-03-05,36.53525239883187,0.0,24.009178139340843,32.72841051314143,0.0,0.0,0.0,6.727158948685857,0.0
2024-03-06,36.64281610696193,0.0,23.789627617903587,32.7779808847339,0.0,0.0,0.0,6.789575390400585,0.0
2024-03-07,36.41210600595892,0.0,23.809523809523807,32.81584862265433,0.0,0.0,0.0,6.962521561862944,0.0
2024-03-08,32.4241295848073,0.0,21.201824613665984,29.221746415937446,0.0,10.947681995903928,0.0,6.204617389685347,0.0
2024-03-11,32.42111142139068,0.0,21.199851065810297,29.219026342734804,0.0,10.946662943311924,0.0,6.213348226752304,0.0
2024-03-12,32.409044384479394,0.0,21.191960547129433,29.208151111938214,0.0,10.942588629384945,0.0,6.248255327068019,0.0
2024-03-14,32.3909606621408,0.0,21.180135776062496,29.066307077094766,0.0,10.93648284199758,0.0,6.426113642704362,0.0
2024-03-15,24.939793723274015,22.9966862761732,16.307889809002745,22.315494441166656,0.0,8.420671093474086,0.0,5.019464656909298,0.0
2024-03-18,24.684533824912936,23.009042882186375,16.32381666523411,22.434949259240998,0.0,8.425195698185346,0.0,5.12246167024024,0.0
2024-03-19,24.681881405511906,23.006570498783358,16.322062627328073,22.432538563738362,0.0,8.42429038829836,0.0,5.132656516339944,0.0
2024-03-20,24.676578276399916,23.001627325620237,16.318555682129503,22.42771872661336,0.0,8.422480352066842,0.0,5.153039637170146,0.0
