date,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,THE CORE SECURITIES COMPANY LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,HUATAI FINANCIAL HOLDINGS (HONG KONG),UBS SECURITIES HONG KONG LTD
2024-03-01,60.63853219443559,15.333952489394742,9.02190142341879,5.334170820470574,0.0,3.404015803483683,0.0,1.8642301922623734,1.9500598341018305,2.453137242432424
2024-03-04,60.71764615226333,15.350105028496882,8.86311461494205,5.675032699107945,0.0,3.370814167439737,0.0,1.875403642239384,1.953483456054943,2.1944002394557294
2024-03-05,57.5410797757416,14.534719365826977,8.433263127734143,5.388627932888096,5.183237100103058,3.20867559986415,0.0,1.7830585843710482,1.8551141517412815,2.072224361729653
2024-03-06,57.47411499466571,14.505689936854523,8.42786145366145,5.512872926960159,5.154004577871145,3.2099456082354036,0.0,1.7855764837884966,1.8555334173328428,2.074400600630258
2024-03-07,57.42279988974502,14.473956480128214,8.394058265683038,5.609847018547481,5.147691136975635,3.24708355100854,0.0,1.7784434788024457,1.8517834164025453,2.074336762707072
2024-03-08,57.427525187349815,14.477967095055554,8.374147726059052,5.6403571687947585,5.13164088092463,3.242351289434722,0.0,1.7788399655433658,1.8523030943028453,2.0748675925352513
2024-03-11,57.415583710158735,14.470494782220324,8.373383191947406,5.656728123028256,5.131738295278931,3.2494417097694495,0.0,1.7753336453354898,1.8523895623466642,2.0749069799147426
2024-03-12,57.41831175837938,14.464648055101126,8.374450990430148,5.657046416366068,5.130537987208685,3.23514015214092,0.0,1.7776369587704481,1.852058877667267,2.0901688039359603
2024-03-13,57.45515826330997,14.46979502536345,8.354111276500339,5.6753856105779805,5.130365695608831,3.1921970620753832,0.0,1.7793146637127228,1.8527376078242734,2.090934795027049
2024-03-14,57.45985955985721,14.476422402741326,8.396982249748888,5.674154947331949,5.132689119830725,3.1290781915582877,0.0,1.7830107503883146,1.8543114673393288,2.0934913112039726
2024-03-15,57.46199442269674,14.464030827047983,8.414408795818048,5.697659138733136,5.105866751457445,3.1312888042054494,0.0,1.7765940710829728,1.8539614053887123,2.094195783569513
2024-03-18,57.500487503103024,14.471043630674002,8.413075220529892,5.681672682619126,5.107186545901424,3.134707568757457,0.0,1.7755548658139515,1.8548602881013996,2.061411694499721
2024-03-19,58.141246076499954,14.63579417718953,7.271300187438912,5.904873337299884,5.162113069035829,3.128036404132105,0.0,1.7984379680642477,1.876101461495507,2.0820973188440335
