date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,ABN AMRO CLEARING HONG KONG LTD,BOCI SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD
2024-03-01,27907833.0,28182500.0,15123850.0,5061900.0,0.0,0.0,2792200.0,4610300.0,5641000.0,0.0
2024-03-04,27915633.0,28164800.0,0.0,5060200.0,10898800.0,4981001.0,2852400.0,0.0,5637900.0,3502800.0
2024-03-05,27876033.0,28091900.0,15158850.0,5069700.0,10906800.0,4967201.0,3115900.0,4608300.0,5600900.0,3504800.0
2024-03-06,27403133.0,27832600.0,14886450.0,4984000.0,10831300.0,4955101.0,4852600.0,4559200.0,5552400.0,3430500.0
2024-03-07,26863233.0,27281500.0,14437350.0,4955700.0,10654300.0,5084632.0,2493100.0,4484900.0,5456300.0,3400600.0
2024-03-08,26462533.0,26966500.0,14067550.0,4807500.0,10570900.0,4572532.0,5378000.0,4416700.0,5139300.0,3351600.0
2024-03-11,26093733.0,26387200.0,13730750.0,4866000.0,10428000.0,4501032.0,667700.0,4281600.0,4997700.0,3156100.0
2024-03-12,25867433.0,25995000.0,13577850.0,4741200.0,10348300.0,4496532.0,2632800.0,4244000.0,4893600.0,3112200.0
2024-03-13,25024633.0,23503300.0,13313150.0,4578700.0,9999800.0,4335732.0,9467900.0,4080300.0,4818200.0,2910700.0
2024-03-14,24410633.0,22477100.0,12822250.0,4274600.0,9785400.0,4263032.0,1724300.0,4051400.0,4705500.0,2759400.0
2024-03-15,24221433.0,22231600.0,12555150.0,3998100.0,9603700.0,4455105.0,3331900.0,4021000.0,4724200.0,2756000.0
2024-03-18,24081833.0,21984900.0,12166850.0,3989600.0,9576200.0,4441905.0,4608800.0,3993800.0,4661200.0,2726600.0
2024-03-19,23948933.0,21938300.0,12118850.0,3975800.0,9533000.0,4425305.0,1466100.0,3960300.0,4162700.0,2713600.0
2024-03-20,23702633.0,21465200.0,11959450.0,3902800.0,9460500.0,4390505.0,3117500.0,3957300.0,4118900.0,2642400.0
2024-03-21,23794533.0,21369000.0,11932450.0,3864500.0,9398500.0,4384605.0,1069200.0,3955800.0,4073100.0,2643400.0
2024-03-22,23774133.0,21339000.0,11713950.0,3860400.0,9359200.0,4379205.0,2076400.0,3951300.0,3975100.0,0.0
2024-03-25,23163133.0,20447700.0,11024750.0,3661500.0,8930100.0,4246705.0,1002000.0,3869900.0,3788000.0,2563400.0
2024-03-26,23195833.0,20482200.0,11082850.0,3699700.0,9013400.0,4143405.0,988000.0,3896900.0,3793200.0,2570200.0
2024-03-27,23238433.0,19769200.0,11079150.0,3674000.0,9024100.0,4128405.0,1587400.0,3861900.0,3821500.0,2571800.0
2024-03-28,23190733.0,20265200.0,11067150.0,3698200.0,9016200.0,4118005.0,1308900.0,3862000.0,3823200.0,0.0
2024-04-02,23232633.0,20309000.0,11068250.0,3696700.0,8997000.0,4113305.0,1759400.0,3849300.0,3888000.0,2566800.0
2024-04-03,23294133.0,20521000.0,11050250.0,3678100.0,8913800.0,4064805.0,1961600.0,3812000.0,4011000.0,2560800.0
2024-04-05,22583333.0,19252700.0,10566250.0,3533900.0,8431200.0,3923405.0,1669400.0,3759800.0,3898800.0,2455400.0
2024-04-08,21830133.0,16704600.0,10226450.0,3447900.0,8164600.0,3821905.0,1985300.0,3665900.0,3538400.0,2394400.0
2024-04-09,20953033.0,15723400.0,9594050.0,3361500.0,7983100.0,3695305.0,1915200.0,3619700.0,3422300.0,2276600.0
2024-04-10,20208533.0,15178900.0,8940550.0,3315400.0,7621100.0,3559605.0,1998500.0,3596200.0,3136100.0,2276800.0
2024-04-11,19928033.0,14960600.0,8679250.0,3230700.0,7544700.0,3492205.0,1383200.0,3360500.0,3096800.0,2236800.0
2024-04-12,19810833.0,14788900.0,8322650.0,3198200.0,7346000.0,3460105.0,2806500.0,3350200.0,2920500.0,2164900.0
2024-04-15,19422333.0,14309700.0,8316750.0,3173700.0,7254500.0,3597332.0,1798100.0,3259600.0,2858500.0,2160800.0
2024-04-16,18835033.0,13758100.0,8084050.0,2979800.0,7103600.0,3282632.0,4645600.0,3198900.0,2760300.0,2113800.0
2024-04-17,18750833.0,13604800.0,8075650.0,2944800.0,6890300.0,3202032.0,793100.0,3163100.0,2681100.0,2110400.0
2024-04-18,18639033.0,13426400.0,8059550.0,2889700.0,6643400.0,3131032.0,1591100.0,3175800.0,2773400.0,2104400.0
2024-04-19,18513833.0,13402300.0,8067850.0,2873300.0,6629800.0,3123432.0,2189800.0,3180300.0,2767300.0,2085200.0
2024-04-22,18152433.0,13327300.0,8064050.0,2815300.0,6619800.0,3112032.0,3481900.0,3154600.0,2710000.0,1898100.0
2024-04-23,17964633.0,13389700.0,8047450.0,2741500.0,6762500.0,3059932.0,3740900.0,3048500.0,2782000.0,1899000.0
2024-04-24,16862433.0,13261500.0,7977150.0,2688700.0,6475200.0,3058332.0,2733900.0,3010200.0,2699100.0,1845200.0
2024-04-25,16488433.0,13089000.0,7757850.0,2698700.0,6400300.0,3040332.0,3870100.0,2942600.0,2665700.0,1856700.0
2024-04-26,16622133.0,13114800.0,7759550.0,2727200.0,6410100.0,0.0,3818000.0,2932300.0,2714900.0,1857800.0
2024-04-29,16735433.0,13147800.0,7704450.0,2753100.0,6408400.0,3037832.0,3629500.0,2927300.0,2726400.0,1900400.0
2024-04-30,16823133.0,13269900.0,7781850.0,2802100.0,6430500.0,0.0,3016300.0,2962300.0,2769000.0,1951100.0
2024-05-02,16693633.0,13293300.0,7707850.0,2793800.0,6373300.0,0.0,3357500.0,2953300.0,2730800.0,1875100.0
2024-05-03,16788133.0,13338300.0,7823050.0,2820300.0,6378800.0,3167276.0,2799900.0,2955300.0,2732100.0,1910100.0
2024-05-06,16812933.0,13595300.0,7770750.0,2845000.0,6368400.0,3475374.0,2778800.0,2956900.0,2789300.0,1916100.0
2024-05-07,16969433.0,13726000.0,7736250.0,2863900.0,6393700.0,0.0,2482800.0,2896600.0,2851700.0,1925100.0
2024-05-08,16690433.0,13937900.0,7795850.0,2809000.0,6395700.0,3464374.0,2576700.0,2891700.0,2782100.0,1936400.0
2024-05-09,16700633.0,13978400.0,7799850.0,2850700.0,6393700.0,0.0,2489200.0,2902000.0,2789900.0,1937400.0
2024-05-10,16766733.0,14071400.0,7803150.0,2839600.0,6400400.0,3453274.0,2282000.0,2913600.0,2778200.0,1962700.0
2024-05-13,16869333.0,13976400.0,7804850.0,2847500.0,6391400.0,0.0,2203500.0,2922700.0,2791200.0,1965200.0
2024-05-14,16789433.0,13721900.0,7725850.0,3029900.0,6327400.0,3438274.0,2629600.0,3023800.0,2766900.0,1927200.0
2024-05-16,16811333.0,13676700.0,7714450.0,2927700.0,6304900.0,0.0,2903200.0,3007700.0,2797200.0,1917100.0
2024-05-17,16907533.0,13767700.0,7699750.0,2925500.0,6324300.0,3359474.0,2779600.0,2987700.0,2815800.0,1917600.0
2024-05-20,16651333.0,13731300.0,7565650.0,2861600.0,6339900.0,3249974.0,861900.0,2973700.0,2820300.0,1913100.0
2024-05-21,16649133.0,13876800.0,7590450.0,2857900.0,6376400.0,3248974.0,778900.0,0.0,2783100.0,1915500.0
2024-05-22,16489833.0,14407000.0,7908550.0,2927800.0,6401900.0,3212274.0,551300.0,2942600.0,2824400.0,1909000.0
2024-05-23,16523733.0,14517500.0,7850550.0,2880400.0,6278900.0,3190274.0,186400.0,2962000.0,2907400.0,1936500.0
2024-05-24,16472533.0,14441300.0,7836550.0,2887400.0,6271400.0,3115274.0,645800.0,0.0,2900000.0,1935500.0
2024-05-27,16965033.0,14359600.0,8064450.0,2960700.0,6154600.0,3512964.0,583700.0,2938800.0,2879500.0,1932800.0
2024-05-28,17117133.0,14711600.0,8074850.0,2944700.0,6219200.0,0.0,17900.0,2949800.0,2903300.0,1940300.0
2024-05-29,17161133.0,14707600.0,8047050.0,2981400.0,6239700.0,3429364.0,2280100.0,2970800.0,2801400.0,1933800.0
2024-05-30,17184633.0,14924600.0,8053550.0,3020800.0,6248700.0,0.0,1839200.0,2978000.0,2810500.0,1939800.0
2024-05-31,17193133.0,14952300.0,8044550.0,3032800.0,6266700.0,0.0,1703400.0,2980900.0,2816300.0,1940000.0
2024-06-03,17404733.0,14987000.0,8017750.0,3056900.0,6268800.0,0.0,1376200.0,2974800.0,2905500.0,1913200.0
2024-06-04,17395133.0,14993900.0,8025350.0,3052100.0,6262600.0,0.0,2929800.0,3005800.0,2902000.0,1907200.0
2024-06-05,17444933.0,15030500.0,8033050.0,3112800.0,6297400.0,3664968.0,2454400.0,3030300.0,2867500.0,1924800.0
