date,KINGSTON SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,ICBC (ASIA) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HAFOO SECURITIES LTD
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,87.72339109343051,0.0,0.0,0.0,12.276608906569493,0.0
2024-03-20,0.0,0.0,0.0,87.71209964530644,0.0,0.0,0.0,12.287900354693555,0.0
2024-03-28,0.0,0.0,0.0,87.69596791902954,0.0,0.0,0.0,12.304032080970464,0.0
2024-04-05,0.0,0.0,0.0,87.61539821272189,0.0,0.0,0.0,12.384601787278111,0.0
2024-04-17,0.0,0.0,0.0,86.97613129810759,0.0,0.0,0.0,13.023868701892402,0.0
2024-04-18,0.0,0.0,0.0,51.56796007752321,40.69940146674632,0.0,0.0,7.732638455730456,0.0
2024-04-26,90.76384452455054,0.0,0.0,4.738576582610307,3.7794974005023145,0.0,0.0,0.7180814923368427,0.0
2024-04-29,90.77690055168394,0.0,0.0,4.72552055547691,3.7794974005023145,0.0,0.0,0.7180814923368427,0.0
2024-04-30,90.7787527494425,0.0,0.0,4.724571568790821,3.778738395717322,0.0,0.0,0.7179372860493545,0.0
2024-05-09,82.57222473428753,0.0,9.042881852523827,4.297463597326378,3.4371350847312456,0.0,0.0,0.6502947311310197,0.0
2024-05-10,73.47823272292685,0.0,8.046955006769577,3.8241676464305407,3.0585903730791437,11.012566196427079,0.0,0.5794880543668053,0.0
2024-05-14,73.47823272292685,0.0,8.046955006769577,3.8241676464305407,3.0585903730791437,10.98818380984783,0.0,0.6038704409460537,0.0
2024-05-16,73.4800243412862,0.0,8.047151215521374,3.824260891037966,3.0586649506303862,10.986013436416476,0.0,0.6038851651075988,0.0
2024-05-21,73.4806215668217,0.0,8.04721662056495,3.824291973584263,3.0586898106223286,10.985289955085758,0.0,0.6038900733210125,0.0
2024-05-28,73.48241330167862,0.0,8.044974464692295,3.824385224254794,3.0587643930228765,10.985557817911443,0.0,0.6039047984399766,0.0
2024-05-29,73.48539972062254,0.0,8.045301422709391,3.8204765246761663,3.058888705106787,10.986004284984348,0.0,0.6039293419007769,0.0
2024-05-30,73.48539972062254,0.0,8.045301422709391,3.8204765246761663,3.058888705106787,10.986817110478158,0.0,0.603116516406967,0.0
