date,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,KGI ASIA LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,42.73249422856307,38.18608423416304,11.56025153902122,6.044308619095702,0.7033087383614623,0.6109198224858257,0.0,0.08025348069289213,0.0,0.08237933761678515
2024-03-04,42.661006982510266,38.09984296391817,9.213459333619003,7.839813310126464,0.8344502826893073,0.648997891337596,0.0,0.15211722130458954,0.46656316794802055,0.0837488465465858
2024-03-05,42.5143246653238,38.06587122028641,9.120470148087383,7.892641425889739,1.0423487430074077,0.6928663935935664,0.0,0.11805663722360879,0.46757495949984706,0.08584580708823446
2024-03-06,41.472163618997584,37.09898068719762,8.870358030996984,7.967381757738597,1.1592226788233708,0.7495599184970441,2.0460308757496026,0.09621383345476565,0.45597252638346586,0.08411607216096477
2024-03-07,41.47100013850324,37.096601215568285,8.831768353002449,7.893844194268847,1.2673596144912411,0.8091905392290337,2.046223067157924,0.07062398453019492,0.42835084161455494,0.08503805163422298
2024-03-08,41.40634676037263,37.19880467588298,8.79567041142528,7.876414510750626,1.2582198930040565,0.8200643323929984,2.0492319195740323,0.08096665722314915,0.42899113496184516,0.08528970441239692
2024-03-11,41.292914567245134,37.15364230706767,8.740439511777662,8.089171836197327,1.3246610943822053,0.7670594564040092,2.0451032223792716,0.09698681163553519,0.4044608861239463,0.0855603067872327
2024-03-12,41.282107379301344,37.15102533769861,8.80856431609598,7.961509393350548,1.4008162261977426,0.7738399321427841,2.045818166456509,0.09319157029965858,0.3975602589183771,0.08556741953844677
2024-03-13,41.24908453556593,37.12259496925475,8.811001018310103,8.107509947327564,1.3798045095966038,0.7184785585752689,2.044051759631916,0.08630829343496972,0.39650982000545626,0.08465658829743948
2024-03-14,41.27243676929075,37.136974375935914,8.847092153074417,7.858591483813535,1.48995315752573,0.7222684352817854,2.04485721572771,0.14313773142646727,0.4013417456941024,0.08334693222959673
2024-03-15,41.17717916109056,37.05487468056176,8.869766857127637,7.903184192932558,1.6265937150296501,0.7150287057556135,2.0402111468335056,0.12798134076142154,0.40167016175289066,0.0835100381544101
2024-03-18,41.22618670504093,37.097462493217456,8.875240630738796,7.80020032538616,1.6225254290981774,0.7174405265106533,2.0422578642722926,0.11829026533899212,0.4145537676643608,0.08584199273217744
2024-03-19,41.272443670101595,37.10751165270269,9.016076499734366,7.601427445222766,1.6168196660575334,0.7166128326924535,2.0427275469512107,0.11586156004192535,0.42475366114931856,0.08576546534614511
2024-03-20,41.24261909315317,37.1205897117638,9.090032665333087,7.492501427126366,1.6410562888424098,0.7126987302670955,2.0437258248503887,0.14587089927460942,0.42431669571100555,0.08658866367806506
2024-03-21,41.24313366907828,37.096660408470825,9.096131667089882,7.404638328736316,1.8014462428914437,0.6508800532429638,2.0432514904558645,0.1576207724744863,0.41897271525574215,0.08726465230418896
2024-03-22,41.22533464598663,37.05207721771339,9.156495583110333,7.387648026776931,1.8619148858590309,0.6078778872870685,2.0415341182453632,0.16222452652131067,0.4174576653392762,0.08743544316066414
2024-03-25,41.20292633141596,37.01092881114261,9.155244719565436,7.462906262194409,1.9784106199542997,0.5490741075728225,2.040080273312016,0.1548385089980786,0.35829058745944,0.08729977838492954
2024-03-26,41.192704033046766,37.011470909684846,9.17184978877961,7.389785185257468,2.043367869193087,0.5554040398179487,2.040454455421533,0.1484150462253346,0.3583918849407396,0.08815678763266005
2024-03-27,41.231386128998224,36.99756371939598,9.235077158765643,7.313501333688897,2.032673203626957,0.5544050045712132,2.061216426387915,0.12905364129104244,0.35824346087826503,0.08687992239586217
2024-03-28,41.2114141400043,36.98255211480915,9.237425639682066,7.319090228309255,2.0584533091961332,0.5555471958097757,2.060576288109067,0.12742639925597563,0.3581322035888706,0.08938248123539633
2024-04-02,41.228664673278956,36.992895170813654,9.25720772387441,7.265168820337313,2.057189245312378,0.5440556212893529,2.061322224018082,0.14708711718734985,0.3583395188805854,0.0880698850079186
2024-04-03,41.21238511586548,36.982206811738855,9.272446134595398,7.201438584982106,2.1225125557862743,0.5556783011525179,2.060726646083524,0.1487558009787431,0.3583351827631995,0.08551486605389987
2024-04-05,41.1780396605893,36.96950642112628,9.293361142132811,7.192894781734307,2.162083973000946,0.5557399236021185,2.059300866024838,0.14711635977829512,0.358087257033273,0.08386961497782999
2024-04-08,41.16793891066633,36.94011288220374,9.298896166519615,7.1843085397786055,2.1753751386963263,0.5763047553292623,2.0583635097039843,0.15662053933441922,0.3579953462190945,0.08408421154862347
2024-04-09,41.17204174072951,36.94315611202262,9.297942301505675,7.176554131008103,2.175525173161943,0.5763445027615375,2.058505473939822,0.157770968122001,0.35802003696760404,0.0841395597811777
2024-04-10,41.148485540715626,36.934863889861155,9.321587153057274,7.15537400019713,2.1946763960513582,0.5877617328433927,2.0579716588143535,0.1577300546873711,0.3579271946053303,0.083622379167008
2024-04-11,41.14372930973049,36.936551680939914,9.331901997251162,7.0600856786598625,2.2622222014680693,0.6070521101113502,2.0576211674544025,0.16060865886496545,0.35788993225053306,0.08233726326925923
2024-04-12,41.1310393932307,36.91962428625206,9.322951667601227,7.078648604851227,2.298800010455737,0.6128102347816812,2.0566630238665846,0.15907318472706955,0.336605228660732,0.08378436557298015
2024-04-15,41.124363032974806,36.91603660098302,9.323117760086705,7.064297144297034,2.332959450096611,0.6369785485003496,2.0563159500329142,0.1603431577785607,0.3021101428617517,0.0834782123882432
