date,CCB INTERNATIONAL SECURITIES LTD,KINGSTON SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,KAISER SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,GET NICE SECURITIES LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,61.798772725301745,38.20122727469826,0.0
2024-03-06,0.0,0.0,0.0,0.0,0.0,61.82475790854818,38.17524209145182,0.0
2024-03-08,0.0,0.0,0.0,0.0,0.0,61.824798668270084,38.175201331729916,0.0
2024-03-11,0.0,0.0,0.0,0.0,0.0,61.82083830017993,38.17916169982007,0.0
2024-03-12,0.0,0.0,0.0,0.0,0.0,61.82097030427502,38.17902969572497,0.0
2024-03-14,0.0,89.17649623201176,0.0,0.0,0.0,6.67011616563114,4.1533876023571015,0.0
2024-03-18,0.0,89.17665031777483,0.0,0.0,0.0,6.669954903336972,4.153394778888194,0.0
2024-03-25,0.0,89.17693794595726,0.0,0.0,0.0,6.669976416446052,4.153085637596686,0.0
2024-03-26,0.0,89.17817065918341,0.0,0.0,0.0,6.668340713443892,4.153488627372699,0.0
2024-03-27,0.0,89.17827338682393,0.0,0.0,0.0,6.668348394952747,4.153378218223323,0.0
2024-04-02,0.0,64.27836647149996,27.921503045680453,0.0,0.0,4.806445848431746,2.9936846343878476,0.0
2024-04-03,0.0,64.28188376440093,27.923030901938134,0.0,0.0,4.801236885749348,2.9938484479115934,0.0
2024-04-05,0.0,64.28210260717935,27.923125963770595,0.0,0.0,4.800912788809378,2.993858640240663,0.0
2024-04-08,0.0,64.28226273698567,27.92319552161906,0.0,0.0,4.800675643308883,2.9938660980863885,0.0
2024-04-10,0.0,64.28228942536428,27.923207114627495,0.0,0.0,4.800636118943934,2.9938673410642886,0.0
2024-04-11,0.0,64.28255631036926,27.9233230452413,0.0,0.0,4.80024087348939,2.9938797709000546,0.0
2024-04-12,0.0,64.28258299899164,27.923334638355623,0.0,0.0,4.800201348763429,2.993881013889308,0.0
2024-04-15,0.0,64.28298333098671,27.923508536225672,0.0,0.0,4.8002312429290495,2.9932768898585658,0.0
2024-04-23,0.0,64.28351711473665,27.92374040342171,0.0,0.0,4.799440736842875,2.993301744998761,0.0
2024-04-24,0.0,64.28365056205925,27.923798370822396,0.0,0.0,4.7992431082700495,2.9933079588483067,0.0
2024-04-26,0.0,64.23824328215007,27.95933124510575,0.0,0.0,4.805350117773442,2.997075354970745,0.0
2024-04-29,0.0,64.23829669140613,27.959354491181703,0.0,0.0,4.805354113059768,2.9969947043523857,0.0
2024-04-30,0.0,64.23832339606749,27.959366114234175,0.0,0.0,4.805356110705423,2.996954378992915,0.0
2024-05-02,0.0,64.23179158904539,27.964485845989817,0.0,0.0,4.80623603531375,2.997486529651052,0.0
2024-05-03,0.0,64.23182897865235,27.964502124239406,0.0,0.0,4.806197254160769,2.997471642947474,0.0
2024-05-08,0.0,64.2322028771162,27.96466490777761,0.0,0.0,4.806225231408169,2.9969069836980338,0.0
2024-05-10,0.0,64.23767831748944,27.967048740939198,0.0,0.0,4.798110488112704,2.9971624534586585,0.0
2024-05-13,0.0,64.23781187647748,27.967106888288633,0.0,0.0,4.798120464045803,2.9969607711880877,0.0
2024-05-14,0.0,64.23779050700207,27.967097584696475,0.0,0.0,4.798118867893719,2.996993040407736,0.0
2024-05-16,0.0,64.23234175479715,27.964725370717336,0.0,0.0,4.804198241458953,2.9987346330265554,0.0
2024-05-17,0.0,64.23033876945281,27.963853334395044,0.0,0.0,4.804048430033648,3.0017594661184934,0.0
2024-05-20,0.0,64.23044559218431,27.96389984162595,0.0,0.0,4.803890107786428,3.001764458403317,0.0
2024-05-21,0.0,64.21578749380718,27.957518170268898,0.0,0.0,4.825739618883597,3.0009547170403192,0.0
2024-05-22,0.0,64.21584088093077,27.957541413330073,0.0,0.0,4.825660493793054,3.0009572119461136,0.0
2024-05-23,0.0,64.21998628051587,27.959382386523867,0.0,0.0,4.819493139808133,3.0011381931521313,0.0
2024-05-24,0.0,64.21967659605507,27.959247559552384,0.0,0.0,4.819968751890393,3.0011070925021635,0.0
2024-05-27,0.0,64.21964989925863,27.959235936598482,0.0,0.0,4.8199667481785795,3.001147415964318,0.0
2024-05-28,0.0,64.19470726685587,27.959235936598482,0.0,0.0,4.844909380581335,3.001147415964318,0.0
2024-05-29,0.0,64.19444040380098,27.95911970759095,0.0,0.0,4.844889239866111,3.001550648741952,0.0
2024-05-30,0.0,64.1948673857538,27.95930567446685,0.0,0.0,4.844879893933153,3.0009470458461975,0.0
2024-05-31,0.0,64.19860372014438,27.960932990163297,0.0,0.0,4.839341579700716,3.0011217099916085,0.0
2024-06-03,0.0,64.1986837892126,27.960967863287028,0.0,0.0,4.839306041741364,3.0010423057590123,0.0
