date,WEST BULL SECURITIES LTD,SDICS INTERNATIONAL SECURITIES (HONG,REALORD ASIA PACIFIC SECURITIES LTD,GRAND CHINA SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,QUAM SECURITIES LTD,VALUABLE CAPITAL LTD,GET NICE SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHANGJIANG SECURITIES BROKERAGE (HK) LTD
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,0.0,77.66052861490506,0.0,22.33947138509494,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,77.69662792701322,0.0,22.30337207298679,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,53.95176502183976,0.0,15.46020530577717,0.0,30.588029672383065,0.0
2024-03-11,0.0,0.0,0.0,0.0,54.302010025955106,0.0,15.354667465395044,0.0,30.343322508649855,0.0
2024-03-12,0.0,0.0,0.0,0.0,54.32239852541031,0.0,15.347816865851586,0.0,30.329784608738102,0.0
2024-03-13,0.0,0.0,0.0,0.0,54.47981728724749,0.0,15.212033635250888,0.0,30.308149077501618,0.0
2024-03-14,0.0,0.0,0.0,0.0,54.463575748740126,0.0,15.217461267903886,0.0,30.318962983355984,0.0
2024-03-18,0.0,0.0,0.0,0.0,54.519565209181145,0.0,15.204681196225575,0.0,30.275753594593287,0.0
2024-03-19,0.0,0.0,0.0,0.0,54.56410147513376,0.0,15.160144930272953,0.0,30.275753594593287,0.0
2024-03-20,0.0,0.0,0.0,0.0,54.57300872832429,0.0,15.15123767708243,0.0,30.275753594593287,0.0
2024-03-21,0.0,0.0,0.0,0.0,54.59891121456408,0.0,15.130727706248651,0.0,30.270361079187264,0.0
2024-03-22,0.0,0.0,0.0,0.0,54.62076387146008,0.0,15.111570586760648,0.0,30.26766554177928,0.0
2024-03-25,0.0,0.0,0.0,0.0,54.657212803898204,0.0,15.105355938831003,0.0,30.237431257270785,0.0
2024-03-26,0.0,0.0,0.0,0.0,54.70494120208082,0.0,15.065704636540053,0.0,30.229354161379128,0.0
2024-03-27,0.0,0.0,0.0,0.0,54.73165344434419,0.0,15.038992394276685,0.0,30.229354161379128,0.0
2024-03-28,0.0,0.0,0.0,0.0,54.740557525098644,0.0,15.030088313522228,0.0,30.229354161379128,0.0
2024-04-02,0.0,0.0,0.0,0.0,54.809220869674924,0.0,14.977566222201085,0.0,30.213212908123992,0.0
2024-04-03,0.0,0.0,0.0,0.0,54.818120196010156,0.0,14.968666895865852,0.0,30.213212908123992,0.0
2024-04-05,0.0,0.0,0.0,0.0,49.902077138076386,0.0,13.704279108941133,8.960801520140482,27.432842232842,0.0
2024-04-08,0.0,0.0,0.0,0.0,49.922307528259005,0.0,13.6811025343101,8.961526926320285,27.43506301111061,0.0
2024-04-09,0.0,0.0,0.0,0.0,49.92228236227154,0.0,13.669338190893537,8.964429725899969,27.443949720934956,0.0
2024-04-10,0.0,0.0,0.0,0.0,49.92632537072012,0.0,13.662346611611703,8.965155719652728,27.446172298015448,0.0
2024-04-11,0.0,0.0,0.0,0.0,49.946550239760725,0.0,13.66788115013332,8.96878745299205,27.416781157113906,0.0
2024-04-12,0.0,0.0,0.0,0.0,49.974917000636935,0.0,13.662346611611703,8.965155719652728,27.39758066809863,0.0
2024-04-16,0.0,0.0,0.0,0.0,49.98301560562307,0.0,13.654248006625567,8.965155719652728,27.39758066809863,0.0
