date,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,QUAM SECURITIES LTD,CMB WING LUNG BANK LTD,FULBRIGHT SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,JIN YI FINANCIAL GROUP LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-05,0.0,0.0,0.0,86.22225757696285,0.0,0.0,0.0,0.0,0.0,13.777742423037148
2024-04-05,0.0,0.08893335556667223,0.0,60.24679006169752,0.0,0.0,0.0,30.03724084264354,0.0,9.627035740092268
2024-04-22,93.84935693626797,0.0054699732655056656,0.0,3.705565014050994,0.0,0.0,0.0,1.8474834704245384,0.0,0.5921246059909883
2024-04-24,70.9024131331472,17.805218855653674,6.6497405552556605,2.7995237271194013,0.0,0.0,0.0,1.3957584852249512,0.0,0.4473452435991146
2024-04-26,70.89728590576986,17.803931291499765,6.649259686829321,2.799321282744621,0.0,0.0,0.0,1.3956575525373125,0.0,0.45454428061910995
2024-05-03,70.88996258144154,17.802092237133984,6.658902337304159,2.799032127279911,0.0,0.0,0.0,1.3955133883034079,0.0,0.4544973285370093
2024-05-21,70.88996258144154,17.802092237133984,6.657869388830212,2.799032127279911,0.0,0.0,0.0,1.3955133883034079,0.0,0.45553027701095694
2024-06-18,70.89362405448053,17.803011716823207,6.653048259262798,2.799176697544813,0.0,0.0,0.0,1.3955854666973124,0.0,0.4555538051913507
2024-06-26,70.84971132578505,17.791984225509147,6.648927246871297,2.7974428394083533,0.0,0.0,0.0,1.3947210170830096,0.0,0.5172133453431442
2024-06-28,70.85336864193515,17.792902661308432,6.649270469568269,2.7924251692515765,0.0,0.0,0.0,1.3947930136459488,0.0,0.5172400442906145
2024-07-03,69.59595985204378,17.477138532759017,6.530254207853646,2.7428690222365324,0.0,1.7756774777469886,0.0,1.3700401327448213,0.0,0.5080607746152149
2024-07-09,69.5987830386005,17.477847499524625,6.527476706598212,2.7429802877606644,0.0,1.774735374279014,0.0,1.3700957089433985,0.0,0.5080813842935918
2024-07-12,69.97934530888152,17.259059898604242,6.445765788320711,2.70864367528322,0.0,1.752519246416724,0.0,1.3529448582337111,0.0,0.5017212242598735
2024-07-16,70.74552436531133,16.818578824356038,6.281258691441034,2.6395144015653136,0.0,1.7077919226321465,0.0,1.318415364272017,0.0,0.4889164304221174
2024-07-23,70.7626436753583,16.808736827218954,6.277582986691894,2.6379697946484737,0.0,1.706792546680776,0.0,1.3176438460375592,0.0,0.48863032336403933
2024-07-29,70.76298875462055,16.808818796266493,6.277613599789332,2.637495001511738,0.0,1.7068008699807864,0.0,1.317650271625167,0.0,0.48863270620592797
2024-08-19,72.10599721059972,15.465810340287328,6.277613599789332,2.637495001511738,0.0,1.7068008699807864,0.0,1.317650271625167,0.0,0.48863270620592797
2024-08-20,72.11021702023896,15.466715435259692,6.272128749085589,2.6376493538161423,0.0,1.706900755913192,0.0,1.317727383564984,0.0,0.4886613021214338
2024-08-23,72.1172511339804,15.468224162317709,6.262985904501781,2.637906647807638,0.0,1.7070672584499829,0.0,1.3178559235233869,0.0,0.4887089694191094
2024-09-20,72.11654766085293,15.468073276366617,6.2629248117367045,2.6378809161496743,0.0,1.7070506067345588,0.0,1.3178430683990792,0.0,0.4896796597604276
2024-10-03,72.11760287569075,15.468299606397142,6.262528715450009,2.6369440420623422,0.0,1.7070755844295196,0.0,1.3178623511795893,0.0,0.48968682479063935
2024-10-04,70.96944505774049,15.222034500302382,6.162825300221746,2.594962226296641,0.0,1.6798978622099776,1.5920632025572847,1.2968811496261028,0.0,0.48189070104537646
2024-10-07,70.9714889123548,15.222472880867812,6.1630027839109145,2.592157050974369,0.0,1.6799462417202649,1.5921090525103196,1.2969184986080444,0.0,0.4819045790534703
2024-10-09,70.97506594121332,15.22324010761798,6.158273312228945,2.592287698093645,0.0,1.6800309125687913,1.5921892962830517,1.2969838645031069,0.0,0.48192886749116187
2024-10-16,70.98273221735228,15.22488442539137,6.158938489825114,2.5817663352647773,0.0,1.6802123788446859,1.5923612744650923,1.2971239564680976,0.0,0.4819809223885899
2024-10-24,70.96427354283766,15.22298435677497,6.158169853071764,2.5814441303106084,0.0,1.6800026880043006,1.592162547460076,1.2969620751393203,0.0,0.5040008064012902
2024-10-25,69.13415135984438,14.830393550559275,6.015253825146833,2.5522801242003665,2.459223373611163,1.6394822490741086,1.5511017171074781,1.2635142718192363,0.0,0.5545995286371629
2024-10-28,69.14191110445974,14.832058141275068,6.053342936246633,2.5057991619275666,2.459499401376833,1.6377955701885665,1.5512758156240647,1.2636560909907213,0.0,0.5546617779108052
2024-10-29,69.14579163003012,14.832890576768376,6.049005668531233,2.5059397975791815,2.4596374384973716,1.6369520887508653,1.5513628795390344,1.2637270125156679,0.0,0.5546929077881503
