date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,MIB SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CHINA MERCHANTS BANK CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CGS INTERNATIONAL SECURITIES HK LTD,FUTU SECURITIES INTERNATIONAL
2024-03-11,96.54054054054055,0.0,3.4594594594594597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,96.5521383950024,0.0,3.447861604997597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,94.27565982404693,0.0,3.378299120234604,0.0,0.0,0.0,2.346041055718475,0.0,0.0,0.0
2024-03-19,93.97252265419468,0.0,3.68897983045893,0.0,0.0,0.0,2.33849751534639,0.0,0.0,0.0
2024-03-22,90.63944964475019,0.0,3.5524980263899852,0.0,3.5524980263899852,0.0,2.255554302469832,0.0,0.0,0.0
2024-03-26,90.63944964475019,0.0,3.4848313973158906,0.0,3.6201646554640803,0.0,2.255554302469832,0.0,0.0,0.0
2024-03-27,90.37953331459094,0.0,3.193702558335676,0.0,3.609783525442789,0.0,2.249086308687096,0.0,0.0,0.5678942929434917
2024-03-28,90.37953331459094,0.0,2.7719988754568456,0.0,3.609783525442789,0.0,2.249086308687096,0.0,0.0,0.9895979758223221
2024-04-02,90.35413153456999,0.0,2.450815064643058,0.0,3.608768971332209,0.0,2.2484541877459248,0.0,0.0,1.337830241708825
2024-04-08,66.66079158134833,26.23934060807133,1.741790000259195,0.0,2.7122158575464606,0.0,1.6588476192944714,0.0,0.0,0.9870143334802104
2024-04-09,66.66079158134833,27.350768512998624,0.6303620953318991,0.0,2.7122158575464606,0.0,1.6588476192944714,0.0,0.0,0.9870143334802104
2024-04-11,66.66079158134833,27.346621393950386,0.6303620953318991,0.0,2.7122158575464606,0.0,1.6588476192944714,0.0,0.0,0.9911614525284466
2024-04-15,66.66079158134833,27.3590627510951,0.6179207381871905,0.0,2.7122158575464606,0.0,1.6588476192944714,0.0,0.0,0.9911614525284466
2024-04-16,66.66079158134833,27.8981882273658,0.07879526191648739,0.0,2.7122158575464606,0.0,1.6588476192944714,0.0,0.0,0.9911614525284466
2024-04-17,66.66079158134833,27.64936108447163,0.016588476192944714,0.0,3.023249786164174,0.0,1.6588476192944714,0.0,0.0,0.9911614525284466
2024-04-18,66.66079158134833,27.64936108447163,0.02488271428941707,0.0,3.023249786164174,0.0,1.6588476192944714,0.0,0.0,0.9828672144319742
2024-04-19,66.66079158134833,26.94435084627148,0.5598610715118841,0.0,3.189134548093621,0.0,1.6588476192944714,0.0,0.0,0.9870143334802104
2024-04-22,66.66079158134833,26.23934060807133,1.0989865477825873,0.0,3.3550193100230685,0.0,1.6588476192944714,0.0,0.0,0.9870143334802104
2024-04-23,66.66079158134833,25.69606801275239,1.5800523573779839,0.0,3.417226095746611,0.0,1.6588476192944714,0.0,0.0,0.9870143334802104
2024-04-24,66.66079158134833,25.156942536481687,2.119177833648687,0.0,3.417226095746611,0.0,1.6588476192944714,0.0,0.0,0.9870143334802104
2024-04-29,66.66079158134833,24.617817060210985,2.6583033099193902,0.0,3.417226095746611,0.0,1.6588476192944714,0.0,0.0,0.9870143334802104
