date,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HUATAI FINANCIAL HOLDINGS (HONG KONG),FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,27.431126241765018,0.0,0.0,0.0,66.03715390209362,3.756536749534758,2.7751831066066006,0.0
2024-03-04,0.0,23.46214677442552,20.99367467219234,0.0,0.0,0.0,50.544461669994035,2.875524878066661,2.1241920053214445,0.0
2024-03-05,0.0,23.09752837513232,20.653508328228842,0.0,0.0,0.0,49.75908997075213,2.8302810184366383,2.085467309100769,1.5741249983493015
2024-03-06,0.0,23.096926524388124,20.652970161150716,0.0,0.0,0.0,49.75809995364002,2.8302379252094316,2.0876814541316784,1.5740839814800363
2024-03-07,0.0,23.090309254529178,20.659311547093708,0.0,0.0,0.0,49.7603766667418,2.830723184695771,2.080957825194906,1.5783215217446462
2024-03-08,3.451903155930272,22.27820761597023,19.954961638636032,0.0,0.0,0.0,48.051033631529,2.7333060212764497,2.002813567260392,1.527774369397626
2024-03-11,3.451927679374278,22.27747784690952,19.95510340518112,0.0,0.0,0.0,48.051375001717986,2.7333254395724262,2.0030054040404575,1.5277852232042102
2024-03-12,3.4517509140117606,22.25913956038954,19.95408154973827,0.0,0.0,0.0,48.048914400132276,2.736234255808856,2.021609934143107,1.5282693857761975
2024-03-13,3.4515567995006933,22.25102100660416,19.95295940133292,0.0,0.0,0.0,48.04855055160488,2.733090963667794,2.021496245805301,1.5413250314842462
2024-03-14,3.4528731193668505,22.259506876226094,19.926754851355994,0.0,0.0,0.0,48.06687482244993,2.7341036728269255,2.031120413408997,1.5287662443652044
2024-03-15,3.452864940368393,22.2594541489853,19.934406092272578,0.0,0.0,0.0,48.06676096396703,2.734126805808717,2.0236244255001545,1.5287626230978357
2024-03-18,3.453219740039901,22.239976281780756,19.94089632073876,0.0,0.0,0.0,48.08241977346129,2.7286925511784412,2.024128487706754,1.5306668450941
2024-03-19,3.4529801314999227,22.238433116663213,19.94632306969099,0.0,0.0,0.0,48.07918218012558,2.728532825784542,2.023958429132172,1.5305902471035813
