date,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,PLUTUS SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA),INTERACTIVE BROKERS HONG KONG LTD,EVERBRIGHT SECURITIES INVESTMENT,CITIBANK N.A.
2024-03-01,0.0,78.36661813905627,0.0,0.0,0.0,10.314343113858225,0.0,0.0,0.0,11.319038747085507
2024-03-05,0.0,78.36455100131387,0.0,0.0,0.0,10.314071044341318,0.0,0.0,0.0,11.321377954344804
2024-03-06,0.0,78.48736063020966,0.0,0.0,0.0,9.65870284200768,0.0,0.0,0.0,11.853936527782652
2024-03-07,0.0,78.4845217788797,0.0,0.0,0.0,9.659977423937752,0.0,0.0,0.0,11.855500797182557
2024-03-08,64.65689594018141,23.073079015318335,0.0,0.0,0.0,2.7822517774508855,0.0,0.0,6.0172263347118875,3.4705469323374794
2024-03-11,64.51533573550438,23.226856077182674,0.0,0.0,0.0,2.7794815815873073,0.0,0.0,6.011235181920567,3.4670914238050625
2024-03-13,64.46831358839187,23.209927131049614,0.0,0.0,0.0,2.777455750204181,0.0,0.0,6.006853879679329,3.537449650675003
2024-03-26,55.71977800528528,20.08760420363496,0.0,0.0,7.929814352705853,2.400547016150674,0.0,5.609142682925715,5.19170653079073,3.061407208506781
2024-03-27,55.790013414499086,20.04243140025106,0.0,0.0,7.921708513371957,2.3980931821060287,0.0,5.603409029227607,5.18639957943783,3.0579448811064345
2024-03-28,48.2784771168933,17.290430599595982,13.341833686072727,0.0,7.027386725257495,2.075710779832604,0.0,4.850127014482642,4.489177316330991,2.6468567615342624
2024-04-02,48.27917282522942,17.289238728179456,13.342025946174305,0.0,7.027487992153592,2.0757406914905343,0.0,4.850196906368152,4.4892420068156085,2.6468949035889313
2024-04-05,48.28014685058596,17.28757005048631,13.342295119625685,0.0,7.027629770711437,2.0757825692599488,0.0,4.850294758392006,4.489332576626365,2.646948304312293
2024-04-08,48.28195585909309,17.284470898988545,13.342795041994412,0.0,7.027893088925433,2.075860346743484,0.0,4.850476494054642,4.489500787399369,2.647047482801026
2024-04-09,48.26201953467545,17.306292784401368,13.342064398859549,0.0,7.027508245883042,2.0757466739255697,0.0,4.850210884986974,4.489254945136264,2.646902532131779
2024-04-11,48.24200998991619,17.315065181797326,13.339719190602043,0.0,7.026272981993192,2.075381808482363,0.0,4.84935833666476,4.505755239071386,2.6464372714727387
2024-04-12,48.315285328836445,17.270047070032238,13.327660168097577,0.0,7.0199212752742035,2.0735056763407296,0.0,4.844974547135273,4.5016820645876345,2.6469238696959025
2024-04-18,48.30986112294471,17.26810821589053,13.326163913396508,0.0,7.01913317067994,2.07327289034703,0.0,4.855657304075988,4.501176674829274,2.6466267078360217
