date,FORTUNE (HK) SECURITIES LTD,SOOCHOW SECURITIES INTERNATIONAL,TFI SECURITIES AND FUTURES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,TIGER BROKERS (HK) GLOBAL LTD,SILVERBRICKS SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,27.34037357564924,47.526291574181315,0.0,0.0,18.653815817394133,6.479519032775322
2024-03-04,96.31547916718637,0.0,0.0,1.0720942135938998,1.6694323240297542,0.0,0.0,0.6796275091035144,0.2633667860864575
2024-03-05,96.25384659672217,0.0,0.0,1.0779175133947447,1.7340890797568853,0.0,0.0,0.677581293182212,0.2565655169439856
2024-03-06,96.16441530538316,0.0,0.0,1.0776553318205004,1.742354073447094,0.0,0.0764436260752751,0.6774164852744478,0.26171517799953276
2024-03-07,96.19451600304959,0.0,0.0,1.078479760856187,1.7506417480311744,0.0,0.036512369278605676,0.6779347231592541,0.26191539562519806
2024-03-08,96.18388484696186,0.0,0.0,1.0767972429170698,1.7576881669786653,0.0,0.03651427388239415,0.6831864112769616,0.2619290579830407
2024-03-11,96.18180148453162,0.0,0.0,1.0833567628486824,1.7570465941730273,0.0,0.036500945827065194,0.6829370417750835,0.2583571708445224
2024-03-12,96.30525323517925,0.0,0.0,0.9956253004600825,1.7540776394284232,0.0,0.003477286278445049,0.6831346224397701,0.25843191621403605
2024-03-13,96.39080486962303,0.0,0.0,0.9073015445529752,1.7547488334729058,0.0,0.0034786168545772513,0.6851353308643308,0.2585308046321813
2024-03-14,96.3855492255427,0.005105697441730151,0.0,0.9070136686987705,1.7550331779461865,0.0,0.0034791805395094724,0.6852463521347625,0.258572697696344
2024-03-15,96.38047907843726,0.004582090662411801,0.0,0.9066714083218981,1.7648045215848074,0.0,0.003477867675454878,0.6780320400029001,0.2619529933152614
2024-03-18,96.43092214642257,0.00457969634926451,0.0,0.873983342008027,1.7534541943674549,0.0,0.0034760503599730623,0.6752445077395172,0.258340062753198
2024-03-19,96.39672043837717,0.0045769996244024655,0.0,0.8682576972500251,1.7576326893610519,0.0,0.0034740035099828956,0.7111502310154362,0.2581879408619288
2024-03-20,96.42036248592694,0.004573424803293126,0.0,0.8502231021408618,1.759731197590697,0.0,0.0034712901732775157,0.7036522136869353,0.25798628567798493
2024-03-21,96.33067361253995,0.00456645806859475,0.0,0.8541269539611417,1.8487263465427606,0.0,0.0034660023291041746,0.7008473334594211,0.25759329309902224
2024-03-22,96.24115608048159,0.004559425742386842,0.0,0.8528116020465955,1.9410475950022203,0.0,0.003460664700103865,0.6997680315153771,0.2571966005117192
