date,FUNDERSTONE SECURITIES LTD,YUANTA SECURITIES (HONG KONG) CO LTD,CITIBANK N.A.,KGI ASIA LTD,TFI SECURITIES AND FUTURES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT
2024-03-11,57.18558487734281,0.0,0.0,42.81441512265719,0.0,0.0,0.0,0.0
2024-03-12,57.698726080508855,0.0,0.0,42.301273919491145,0.0,0.0,0.0,0.0
2024-03-13,57.507817675425784,0.0,0.0,42.161311232521534,0.0,0.0,0.0,0.33087109205268295
2024-04-12,57.54343350880067,0.0,0.0,42.12569539914664,0.0,0.0,0.0,0.33087109205268295
2024-04-23,58.08408185943142,0.0,0.0,41.58504704851589,0.0,0.0,0.0,0.33087109205268295
2024-04-26,59.15255686067798,0.0,0.0,40.516572047269335,0.0,0.0,0.0,0.33087109205268295
2024-04-30,60.67708055279727,0.0,0.0,38.99228034209936,0.0,0.0,0.0,0.33063910510337363
2024-05-03,62.20748760548241,0.0,0.0,37.46187328941421,0.0,0.0,0.0,0.33063910510337363
2024-05-06,63.510437782282445,0.0,0.0,36.159180625200044,0.0,0.0,0.0,0.33038159251751487
2024-05-07,65.22148949641107,0.0,0.0,34.448072504286095,0.0,0.0,0.0,0.3304379993028434
2024-05-08,66.51389195070438,0.0,0.0,33.15578754240121,0.0,0.0,0.0,0.33032050689441833
2024-05-09,67.80794836448348,0.0,0.0,31.86113693599347,0.0,0.0,0.0,0.33091469952304114
2024-05-14,69.08275746549248,0.0,0.0,30.58615565003867,0.0,0.0,0.0,0.33108688446885326
2024-05-20,69.10521911002688,0.0,0.0,30.563934542993998,0.0,0.0,0.0,0.3308463469791129
2024-05-22,69.13237167398466,0.0,0.0,30.53707275069207,0.0,0.0,0.0,0.3305555753232613
2024-05-23,69.41085221673124,0.0,0.0,30.258621609794105,0.0,0.0,0.0,0.33052617347465196
2024-05-24,69.40769575644575,0.0,0.0,30.26174396344978,0.0,0.0,0.0,0.33056028010446986
2024-05-27,69.40715147331453,0.0,0.0,30.26228236541616,0.0,0.0,0.0,0.33056616126931715
2024-05-28,70.70317086970292,0.0,0.0,28.966255911353713,0.0,0.0,0.0,0.33057321894337555
2024-05-29,72.24788175518316,0.0,0.0,27.42180361034962,0.0,0.0,0.0,0.3303146344672121
2024-06-21,73.71388977720925,0.0,0.0,25.95601037558185,0.0,0.0,0.0,0.3300998472088974
2024-06-24,74.93570433942425,0.0,0.0,24.73429196623945,0.0,0.0,0.0,0.3300036943362983
2024-06-25,76.5361183637946,0.0,0.0,23.13386973588391,0.0,0.0,0.0,0.3300119003214863
2024-06-26,77.42612736147326,0.0,0.0,22.24385253181195,0.0,0.0,0.0,0.33002010671479015
2024-06-27,79.71720245119646,0.0,0.0,19.95258271366215,0.0,0.0,0.0,0.33021483514139877
2024-06-28,79.72419331341119,0.0,0.0,19.94570566643807,0.0,0.0,0.0,0.33010102015073073
2024-07-03,79.73211526644621,0.0,0.0,19.937912687052236,0.0,0.0,0.0,0.3299720465015504
2024-08-05,57.330500141744714,0.0,23.118434729752853,14.33613672873638,4.977665630610728,0.0,0.0,0.2372627691553292
2024-10-04,54.63867841173793,4.511743042895149,22.032475008458302,13.663016412755361,4.743950793376481,0.0,0.18596092386555316,0.22417540691122315
2024-10-07,54.638811404982015,4.511754024700734,22.03179842176235,13.663049669212683,4.743962340387209,0.0,0.1864481863897692,0.22417595256524467
2024-10-08,54.64692521733203,4.51242401595026,22.03409635885164,13.665078619299523,4.730060349045832,0.0,0.18720619703634817,0.224209242484365
2024-10-09,54.836353509641924,4.530508747844185,22.1099868574695,13.71244729552128,4.3832049208761035,0.0,0.20055794683382272,0.22694072181318062
2024-10-10,54.84533009521343,4.534426606008927,22.113850536659736,13.714691991761363,4.339699626915813,0.0,0.22502327195076363,0.2269778714899668
2024-10-14,54.840238536727185,4.534005653154308,22.11277480950531,13.713418790264068,4.340029658294428,0.0,0.23257575202343347,0.2269568000312707
2024-10-15,54.8458661037365,4.534470921382796,22.11504396670307,13.714826026724522,4.330701927986963,0.0,0.23211096370028853,0.22698008976586112
2024-10-16,54.84653612912368,4.534526316818233,22.115802796116125,13.714993574112713,4.328067200609849,0.0,0.23309112054769082,0.22698286267170315
2024-10-18,54.84600010750429,4.5344820003616055,22.11558665578593,13.714859535874668,4.328024901902337,0.0,0.23406615422956076,0.22698064434160953
2024-10-30,54.84734018119802,4.534592793127376,22.116127014532978,13.715194636382295,4.328130650221366,0.0,0.2316285342898191,0.2269861902481455
2024-11-04,54.84680414386239,4.534548475371384,22.11591086786552,13.71506059421423,4.328088350273651,0.0,0.23260359655981233,0.22698397185301017
2024-11-07,54.84667013616562,4.534537396067739,22.115856831858796,13.715027084081596,4.328077775415912,0.0,0.2328473591493375,0.22698341726100163
2024-11-08,54.84010456111206,4.533994576503066,22.11320939095595,13.713385288153813,4.3275596706813575,0.0,0.24479026702171844,0.22695624557203237
2024-11-11,54.67753996497356,4.520554284893081,22.04765836798223,13.672734181470087,4.314731321870577,0.29010076799976614,0.25039764022146066,0.22628347058923828
2024-11-12,54.67540913331206,4.520378114929986,22.046799151409164,13.672201343033835,4.314563173008771,0.2925251423045915,0.2518492898775584,0.22627465212403455
2024-11-13,54.67620817572225,4.520444177057023,22.045659920546964,13.672401152580518,4.314626227296088,0.2925294173525235,0.25185297047669386,0.22627795896793867
2024-11-14,54.6752759618476,4.520367104763204,22.0452840482848,13.672168042010501,4.314552664140061,0.2942294015062207,0.251848676454828,0.22627410099278067
2024-11-15,54.67314530663939,4.520190949388669,22.044424959812947,13.671635247698378,4.3143845292025915,0.2981148619026742,0.25183886209752054,0.2262652832578304
2024-11-18,54.658501546178385,4.518980252745379,22.03852053860576,13.66797341060167,4.313228956146972,0.32481920670091796,0.2517714090920159,0.22620467992890014
2024-11-19,54.65490836756209,4.519170134179983,22.037071755004053,13.667074895852863,4.312945410099898,0.33088476980499953,0.25175485796789515,0.2261898095282153
