date,SOUTH CHINA SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,SOOCHOW SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,BNP PARIBAS,CITIC SECURITIES BROKERAGE (HK) LTD
2024-03-05,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-07,82.82997053326227,0.0,0.0,0.0,11.089845097751045,6.080184368986679,0.0,0.0,0.0,0.0
2024-03-11,67.82185870691664,17.978831199767544,0.0,0.0,9.079915970863642,5.119394122452168,0.0,0.0,0.0,0.0
2024-03-12,65.19636890512102,17.281814759147462,0.0,0.0,8.727899166165978,4.9189829764885316,0.0,3.8749341930770105,0.0,0.0
2024-03-18,65.19704364425264,17.28147971604085,0.0,0.0,8.727729958100067,4.918887612005067,0.0,3.874859069601376,0.0,0.0
2024-03-19,65.1976756389851,17.281647235970265,0.0,0.0,8.726845200284965,4.918935293784586,0.0,3.8748966309750847,0.0,0.0
2024-03-20,65.19641166177257,17.283250883829286,0.0,0.0,8.72667601429233,4.9188399311499476,0.0,3.874821508955864,0.0,0.0
2024-03-21,65.19708638045408,17.28291582262424,0.0,0.0,8.726506834859535,4.918744572212798,0.0,3.8747463898493457,0.0,0.0
2024-03-28,65.21352348432067,17.279565924957176,0.0,0.0,8.709309232249936,4.923605999526733,0.0,3.8739953589454736,0.0,0.0
2024-04-02,65.21950659700593,17.27368051814118,0.0,0.0,8.70829648987261,4.9249715148460265,0.0,3.873544880134246,0.0,0.0
2024-04-03,63.78207164289804,16.846642970062046,2.2518480107087284,0.0,8.515606889354812,4.8159960344106905,0.0,3.7878344525656784,0.0,0.0
2024-04-05,63.78050466528341,16.844727560456004,2.251591982767808,0.0,8.514638691995486,4.821133311634929,0.0,3.7874037878623654,0.0,0.0
2024-04-08,63.787725575842536,16.84313171846607,2.251378670619101,0.0,8.513832029026016,4.816887030635812,0.0,3.7870449754104674,0.0,0.0
2024-04-09,63.79530464524195,16.837447416416506,2.251378670619101,0.0,8.511937261676163,4.816887030635812,0.0,3.7870449754104674,0.0,0.0
2024-04-11,63.79530464524195,16.837447416416506,2.251378670619101,0.0,8.510042494326308,4.8187817979856655,0.0,3.7870449754104674,0.0,0.0
2024-04-12,61.45509222898487,16.21642541180194,2.168340211130809,0.0,8.196163346348756,4.628274654802598,0.0,3.647365949009952,0.0,3.6883381979210728
2024-04-16,55.296074099972515,14.58948530277994,1.9507978385110991,10.026100723279969,7.373869496153748,4.163935228557144,0.0,3.2814378357522225,0.0,3.318299474993358
2024-04-17,55.29974353861421,14.588287752004375,1.9506377108975472,10.025277749443132,7.373264225786029,4.163593439675709,0.0,3.2811684850284903,0.0,3.3180270985505045
2024-04-19,55.3013852014292,14.58664608918939,1.9506377108975472,10.025277749443132,7.373264225786029,4.163593439675709,0.0,3.2811684850284903,0.0,3.3180270985505045
2024-05-07,55.3022930786105,14.586885556665438,1.9506697343172188,10.023800643635965,7.373385271910244,4.163661792963105,0.0,3.2812223516357144,0.0,3.318081570261814
2024-05-08,55.32597622338721,14.58880157956554,1.950925959531777,10.025117294233151,7.341515675882521,4.167492510879491,0.0,3.2816533481730934,0.0,3.3185174083472186
2024-05-09,55.34271471492609,14.568924607371708,1.9513424690991277,10.027257589330697,7.343083040088691,4.165097730610034,0.0,3.282353959085345,0.0,3.3192258894883113
2024-05-10,55.33181043559176,14.566054064711526,1.950957992416522,10.025281899878626,7.341636218604478,4.183980261936977,0.0,3.2817072307015214,0.0,3.318571896158582
2024-05-13,55.314554111828826,14.5615113515252,1.9503495474280066,10.02215531665431,7.337705163277124,4.215503810528491,0.0,3.280683765139445,0.0,3.3175369336185914
2024-05-14,55.30457306537704,14.558883849169959,1.9499976232420002,10.041681516446603,7.333090682192073,4.214743158291008,0.0,3.280091793323361,0.0,3.316938311957952
2024-05-20,55.30677347933193,14.55816709639711,1.9499016223247598,10.041187151415219,7.329447577966522,4.2178177476488425,0.0,3.2799303101415154,0.0,3.316775014774108
2024-05-21,55.3296065348071,14.555539606581814,1.9495496998183375,10.039374896012522,7.3281247432487095,4.218697253824904,0.0,3.2629308697361865,0.0,3.3161763959704333
2024-05-22,55.34809765260997,14.550048827846707,1.9488142721856883,10.035587747773246,7.3253603585130005,4.215465708621859,0.0,3.2616999959989075,0.0,3.3149254364506207
2024-05-23,55.35688410462526,14.547185717897854,1.9484307910305956,10.033612978378091,7.323918898599735,4.21463620337743,0.0,3.2610581695817444,0.0,3.3142731365092875
2024-05-24,55.51543084508079,14.552144767678918,1.9504734536378348,9.994167096441338,7.334683469959241,4.166637688403496,0.0,3.167318280034993,0.0,3.3191443987633886
2024-05-27,55.62865728789013,14.534958701577724,1.9481699467501563,9.982363996686084,7.3260212172838814,4.151875237117297,0.0,3.1127291196185913,0.0,3.315224493076136
